,Column1,Column2,Column3,Year,Name,Time
Event,Year,Name,Time,,,
100m,2000,"Linda Eang, South Bend",13.20,,,
100m,1999,"Neysa Turner, Seattle Lutheran",12.59w,,,
100m,1998,"Neysa Turner, Seattle Lutheran",12.82,,,
100m,1997,"Stephanie Kubalek, Crescent",12.80,,,
100m,1996,"Mashayla Lowe, Bush",12.6,,,
100m,1995,"Melissa Simmons, Dayton",12.91,,,
100m,1994,"Melissa Simmons, Dayton",12.5,,,
100m,1993,"Sherri Dehn, Liberty",12.8,,,
100m,1992,"Thela Brown, Bush",12.1,,,
100m,1991,"Monica Eggleston, Asotin",12.3,,,
100m,1990,"Heidi Bodwell, Ocosta",12.3,,,
100m,1989,"Trisha Stoddard, Waterville-Mans",12.3,,,
100m,1988,"Kim Reid, Dayton",12.4,,,
100m,1987,"Tami Mason, Friday Harbor",12.5,,,
100m,1986,"Tami Mason, Friday Harbor",12.3,,,
100m,1985,"Katrina Berry, Toutle Lake",12.4,,,
100m,1984,"Katrina Berry, Toutle Lake",12.4,,,
100m,Class 1B,,,,,
100m,2024,,,,,
100m,2023,"Brooklyn Patrick, Willapa Valley 12",13.30,,,
100m,2022,"Natalie Schwartz, Evergreen Lutheran 11",13.07,,,
100m,2021,No meet,,,,
100m,2020,No meet,,,,
100m,2019,"Anna Williams, Pateros 10",13.13,,,
100m,2018,"Kaylee Sowle, Mary M. Knight 11",13.35,,,
100m,2017,"Alana Keogh, Cusick 12",13.09,,,
100m,2016,"Alana Keogh, Cusick 11",12.92,,,
100m,2015,"Alana Keogh, Cusick 10",12.99,,,
100m,2014,"Carla van Rooyen, Mt Vernon Chr 12",12.55,,,
100m,2013,"Kassie Guglielmino, Northport 12",12.94,,,
100m,2012,"Kassie Guglielmino, Northport 11",12.81,,,
100m,2011,"Kassie Guglielmino, Northport 10",12.83,,,
100m,2010,"Kassie Guglielmino, Northport 9",13.21,,,
100m,2009,"Anna Schmid, Trout Lake-Glenwood 12",13.54,,,
100m,2008,"Myisha Valentine, North Sound Christian 12",12.74,,,
100m,2007,"Myisha Valentine, North Sound Christian 11",13.45,,,
,Class 4A,,,,,
,2024,"Anna Schneidler, Eastlake 9",56.22,,,
,2023,"Brooke Lyons, Tahoma 12",54.13,,,
,2022,"Ava Simms, Curtis 11",57.1,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Taylor Marks, Hazen 11",56.71,,,
,2018,"Christal Johnson, Puyallup 11",55.24,,,
,2017,"Jai'lyn Merriweather, Union 12",55.36,,,
,2016,"Jai'lyn Merriweather, Union 11",55.01,,,
,2015,"Jai'lyn Merriweather, Union 10",54.73,,,
,2014,"Hannah Derby, Bellarmine Prep 12",55.69,,,
,2013,"Hannah Derby, Bellarmine Prep 11",55.84,,,
,2012,"Hannah Derby, Bellarmine Prep 10",55.51,,,
,2011,"Hannah Derby, Bellarmine Prep 9",56.41,,,
,2010,"Kishia Mitchell, Rogers (Puyallup) 12",56.21,,,
,2009,"Jasmine Cho, Newport (Bellevue) 12",56.56,,,
,2008,"Eleanor Siler, Lewis & Clark 12",55.62,,,
,2007,"Kristen Ballinger, Wenatchee 12",55.54,,,
,2006,"Kayla McKiernan, Richland 11",55.76,,,
,2005,"Becca Noble, Rogers (Spokane) 12",54.14,,,
,2004,"Becca Noble, Rogers (Spokane) 11",54.31,,,
,2003,"Becca Noble, Rogers (Spokane) 10",54.9,,,
,2002,"Kameko Wilson, Bethel 11",56.64,,,
,2001,"Heather Hetzer, Kamiak",57.29,,,
,2000,"Bree Skinner, Pasco",56.97,,,
,1999,"Teresa Brooks, Lewis & Clark",56.06,,,
,1998,"Tiffany Giles, Garfield",54.34,,,
,1997,"Tiffany Giles, Garfield",55.06,,,
,1996,"Chelsie Pentz, Central Kitsap",56.48,,,
,1995,"Chelsie Pentz, Central Kitsap",56.18,,,
,1994,"Kyrah Webb, Wilson",56.64,,,
,1993,"Yashiva Edwards, Central Kitsap",55.87,,,
,1992,"Rhoda Andrews, Wilson",57.36,,,
,1991,"Kristen Adams, Oak Harbor",58.36,,,
,1990,"Camara Jones, Mountain View",54.58,,,
,1989,"Monica Jackson, Renton",54.86,,,
,1988,"Monica Jackson, Renton",55.97,,,
,1987,"Helen Bajocich, Blanchet",56.74,,,
,1986,"Jennifer Bannon, Moses Lake",56.38,,,
,1985,"Brenda Harding, Kamiakin",55.76,,,
,1984,"Brenda Harding, Kamiakin",56.17,,,
,1983,"Pam Board, Kennewick",55.62,,,
,1982,"Pam Board, Kennewick",57.03,,,
,1981,"Elaine Martin, Richland",56.7,,,
,440 yards,,,,,
,1980,"Annie Barrett, Mercer Island",57.2,,,
,1979,"Michelle Williams, Nathan Hale",56.7,,,
,1978,"Lois Jensen, Sammamish",56.9,,,
,1977,"Lois Jensen, Sammamish",55.8,,,
,1976,"Sue Monda, Newport",56.7,,,
,1975,"Sue Monda, Newport",59.6,,,
,1974,"Rachel Yeager, Edmonds",57.6,,,
,1973,"Denise Anderson, Shoreline",59.6,,,
,1972,"Gayle Hawney, Shoreline",60.5,,,
,1971,"Lindy Oliver, Chief Sealth",62.9,,,
,1970,"Lindy Oliver, Chief Sealth",61.3,,,
,1969,"LuAnn Simon, Woodland",60.9,,,
,Class 3A,,,,,
,2024,"Elaine Hudacsko, Interlake 12",57.51,,,
,2023,"Elaine Hudacsko, Interlake 11",56.19,,,
,2022,"Tresley Love, Meadowdale 11",57,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Kate Jendrezak, Eastside Catholic 11",56.46,,,
,2018,"Hannah Carroll, Gig Harbor 11",55.38,,,
,2017,"Hannah Carroll, Gig Harbor 10",55.52,,,
,2016,"Lani Taylor, West Seattle 12",55.74,,,
,2015,"Jordyn Edwards, Lynnwood 11",55.34,,,
,2014,"Ellie Heiden, Kamiakin 12",54.93,,,
,2013,"Ellie Heiden, Kamiakin 11",54.15,,,
,2012,"Ellie Heiden, Kamiakin 10",55.18,,,
,2011,"Megan Kelley, Camas 12",56.33,,,
,2010,"Stephanie Cummings, Glacier Peak 12",56.17,,,
,2009,"Dyneeca Adams, Rainier Beach 12",56.89,,,
,2008,"Jasmine Cho, Newport (Bellevue) 11",56.55,,,
,2007,"Rachel Van Rijn, Auburn Riverside 12",56.69,,,
,2006,"Dyneeca Adams, Rainier Beach 10",56.79,,,
,2005,"Laura Vogel, Mercer Island 10",57.94,,,
,2004,"Whitney Knox, Blanchet 11",57.34,,,
,2003,"Whitney Knox, Blanchet 10",57.19,,,
,2002,"Whitney Knox, Blanchet 9",57.1,,,
,2001,"Brynne Lieb, Tumwater",57.28,,,
,2000,"Lindsey Smith, Holy Names",55.91,,,
,1999,"Elizabeth Anderson, Bellevue",57.16,,,
,1998,"Lindsey Smith, Holy Names",55.95,,,
,1997,"Alex Allen, Blanchet",54.98,,,
,1996,"Alex Allen, Blanchet",55.93,,,
,1995,"Alex Allen, Blanchet",56.95,,,
,1994,"Lisa Malmin, Peninsula",56.77,,,
,1993,"Candy Bates, Olympia",58.07,,,
,1992,"Jamila Godfrey, Lakeside",56.77,,,
,1991,"Jamila Godfrey, Lakeside",58.17,,,
,1990,"Kim Van Hoven, Eastmont",57.72,,,
,1989,"Nikki Douglas, Sedro-Woolley",57.13,,,
,1988,"Freda Everett, Rainier Beach",56.89,,,
,1987,"Shannon O’Neill, Bellingham",57.63,,,
,1986,"Angie Tasker, Washington",57.23,,,
,1985,"Karen Church, Stanwood",56.23,,,
,1984,"Karen Church, Stanwood",56.8,,,
,1983,"Cressy Stewart, Bellingham",56.52,,,
,1982,"Lola Johnston, Lake Stevens",57.21,,,
,1981,"Ericka Harris, Gig Harbor",54.6,,,
,1980,"Ericka Harris, Gig Harbor",54.39,,,
,440 yards,,,,,
,1979,"Ericka Harris, Peninsula",55.4,,,
,1978,"Melanie Washburn, Arlington",56.5,,,
,1977,"Cheryl Byers, Pullman",57.4,,,
,1976,"Melanie Washburn, Arlington",57.8,,,
,1975,"Gloria Brittain, Tumwater",60.7,,,
,Class 2A,,,,,
,2024,"Veronica Garcia, East Valley (Spo) 11",55.75,,,
,2023,"Annabelle Clapp, Tumwater 11",59.1,,,
,2022,"Jayda Darroch, Sehome 10",58.29,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Olivia Martin, Selah 11",56.59,,,
,2018,"Olivia Martin, Selah 10",57.52,,,
,2017,"Alsatta Bakana, Cheney 11",56.25,,,
,2016,"Madeline Liberg, West Valley (Spo) 10",57.66,,,
,2015,"Mia Hodges, Bellingham 12",58.01,,,
,2014,"Brooke Feldmeier, Tumwater 12",55.83,,,
,2013,"Brooke Feldmeier, Tumwater 11",54.37,,,
,2012,"Cherish Morrison, Blaine 12",56.09,,,
,2011,"Cherish Morrison, Blaine 11",57.27,,,
,2010,"Cherish Morrison, Blaine 10",57.52,,,
,2009,"Cherish Morrison, Blaine 9",57.53,,,
,2008,"Aundreaha Martinez, Tumwater 12",57.98,,,
,2007,"Alex Davidson, Steilacoom 10",57.62,,,
,2006,"Alex Davidson, Steilacoom 9",57.8,,,
,2005,"Gwenna Carie, Cascade (Leavenworth) 10",57.94,,,
,2004,"Selena Galaviz, Toppenish 12",59.19,,,
,2003,"Selena Galaviz, Toppenish 11",58.64,,,
,2002,"Selena Galaviz, Toppenish 10",57.77,,,
,2001,"Lydia Boswell, Grandview",59.09,,,
,2000,"Emily Turner, Omak",59.5,,,
,1999,"Alison McGrane, Colville",58.66,,,
,1998,"Alison McGrane, Colville",58.23,,,
,Class 1A,,,,,
,2023,"Casie Kleine, Castle Rock 10",58.3,,,
,2022,"Sheala Bradley, La Center 10",57.57,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Alma Manzo, Connell 12",57.48,,,
,2018,"Faith Kennedy, Lakeside (9MF) 11",57.81,,,
,2017,"Morgan Schepker, Cascade Christian 12",57.44,,,
,2016,"Maya Jackson, Northwest 12",56.74,,,
,2015,"Maya Jackson, Northwest 11",57.37,,,
,2014,"Maya Jackson, Northwest 10",58.23,,,
,2013,"Erin Beezhold, Cedar Park Chr 12",57.99,,,
,2012,"Karlie Storkson, King's 12",57.31,,,
,2011,"Karlie Storkson, King's 11",58.32,,,
,2010,"Li Murphy, Annie Wright 12",58.45,,,
,2009,"Li Murphy, Annie Wright 11",57.43,,,
,2008,"Li Murphy, Annie Wright 10",57.5,,,
,2007,"Laura Martin, Charles Wright 12",56.9,,,
,2006,"Lucretia Lee, Cedar Park Christian 9",58.31,,,
,2005,"Caiti Schmitz, Highland 10",60.55,,,
,2004,"Katherine Reynolds, University Prep 10",57.4,,,
,2003,"Katherine Reynolds, University Prep 9",57.45,,,
,2002,"Terran Legard, Burbank 12",56.96,,,
,2001,"Terran Legard, Burbank 11",58.9,,,
,2000,"Terran Legard, Burbank 10",58.43,,,
,1999,"Holly Plumlee, LaCenter",58.28,,,
,1998,"Holly Plumlee, LaCenter",58.71,,,
,1997,"LaShaunda Fowler, Foster",57.31,,,
,1996,"LaShaunda Fowler, Foster",55.24,,,
,1995,"Hayden Kristianson, Chewelah",58.05,,,
,1994,"Shawna Pankow, Rochester",57.4,,,
,1993,"Heidi Shultz, White Salmon",57.7,,,
,1992,"Stacy Wirth, Seattle Christian",59.6,,,
,1991,"Sara Shands, Sultan",59.7,,,
,1990,"Jessica Brathovd, Tenino",58,,,
,1989,"Jessica Brathovd, Tenino",58.7,,,
,1988,"Jessica Brathovd, Tenino",58.9,,,
,1987,"Sherri Johnson, Foster",58.5,,,
,1986,"Katherine Herr, Winlock",58.6,,,
,1985,"Cheryl Siegmann, Ilwaco",58.3,,,
,1984,"Cheryl Siegmann, Ilwaco",58.9,,,
,1983,"Cheryl Siegmann, Ilwaco",58.3,,,
,1982,"Denise Myrick, Dayton",58.2,,,
,1981,"Marianne Powers, Port Townsend",59.9,,,
,1980,"Liz Page, Peshastin-Dryden",58,,,
,440 yards,,,,,
,1979,"Liz Page, Peshastin-Dryden",58.42,,,
,1978,"Liz Page, Peshastin-Dryden",58.2,,,
,1977,"Leslie Weber, Odessa",57.3,,,
,1976,"Kim Seelye, Port Townsend",58.7,,,
,1975,"Cindy Henry, Tolt",61.9,,,
,1974,"Patsy Walker, Yelm",59.1,,,
,1973,"Susan Schuh, Ephrata",62,,,
,Class 2B,,,,,
,2023,"Anton Wood, Okanogan 12",59.02,,,
,2022,"Olivia Fauth, Stevenson 9",61.67,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Katelyn Hassler, DeSales 10",59.06,,,
,2018,"Ashley Sande, St George's 12",57.67,,,
,2017,"Megan McSheffrey, NW Christian (Lacey) 11",60.14,,,
,2016,"Grace Hamre, Napavine 12",58.65,,,
,2015,"Regyn Gaffney, Adna 12",57.01,,,
,2014,"Regyn Gaffney, Adna 11",56.4,,,
,2013,"Regyn Gaffney, Adna 10",57.36,,,
,2012,"Grace Garguile, Crosspoint Academy 11",59.1,,,
,2011,"Grace Garguile, Crosspoint Academy 10",59.44,,,
,2010,"Annie Schinnell, Morton 12",60.02,,,
,2009,"Jacki Taylor, Mt Vernon Christian 12",58.26,,,
,2008,"Amber Finley, Tacoma Baptist 12",57.52,,,
,2007,"Amber Finley, Tacoma Baptist 11",,,,
,2006,"Amber Finley, Tacoma Baptist 10",57.92,,,
,2005,"Amber Finley, Tacoma Baptist 9",59.44,,,
,2004,"Chrystal Gubler, Republic 12",58.65,,,
,2003,"Jamie Orange, Mt Vernon Christian 12",57.37,,,
,2002,"Baily Cox, Wilbur-Creston 11",59.34,,,
,2001,"Alicia Andrews, Asotin",57.54,,,
,2000,"Baily Cox, Wilbur-Creston 9",60.55,,,
,1999,"Mandi Walters, Sprague-Harrington",57.48,,,
,1998,"Callie Palmer, Christian Heritage",59.66,,,
,1997,"Stephanie Kubalek, Crescent",57.83,,,
,1996,"Stephanie Kubalek, Crescent",59.02,,,
,1995,"Stephanie Kubalek, Crescent",58.35,,,
,1994,"Sarah Levens, DeSales",59.17,,,
,1993,"Sarah Levens, DeSales",58.6,,,
,1992,"Jenny Trull, Rosalia",59.5,,,
,1991,"Megan McCoy, Wahkiakum",60.7,,,
,1990,"Dawn Barlock, Valley Christian",59.3,,,
,1989,"Trisha Stoddard, Waterville-Mansfield",59.7,,,
,1988,"Trisha Stoddard, Waterville-Mansfield",59.6,,,
,1987,"Fonda Tracy, Clallam Bay",59,,,
,1986,"Tami Houk, Friday Harbor",59.3,,,
,1985,"Katrina Berry, Toutle Lake",58,,,
,1984,"Katrina Berry, Toutle Lake",57.8,,,
,Class 1B,,,,,
,2023,"Kennedy Cook, Garfield-Palouse 12",57.3,,,
,2022,"Kennedy Cook, Garfield-Palouse 11",59.41,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Kenna Clark, Valley Christian (Spo) 10",60.91,,,
,2018,"Jaiden Hill, Mt Vernon Chr 9",59.49,,,
,2017,"Alana Keogh, Cusick 12",57.74,,,
,2016,"Anne Hockett, Oakesdale 10",58.3,,,
,2015,"Lexi Blom, Mt Vernon Chr 10",61.96,,,
,2014,"Natalie McPherson, Shoreline Chr 12",59.37,,,
,2013,"Kassie Guglielmino, Northport 12",59.56,,,
,2012,"Kassie Guglielmino, Northport 11",61.46,,,
