"State","Year","Gender","Event","Class","Mark"
"Michigan","1986","Boys","Pole Vault","CLASS A","15-9"
"Michigan","1986","Boys","High Jump","CLASS A","6-10"
"Michigan","1986","Boys","1600m","CLASS A","4:15.35"
"Michigan","1986","Boys","800m","CLASS A","1:53.80"
"Michigan","1986","Boys","100m","CLASS A",":10.55"
"Michigan","1985","Boys","Pole Vault","CLASS A","14-4"
"Michigan","1985","Boys","High Jump","CLASS A","6-10"
"Michigan","1985","Boys","1600m","CLASS A","4:18.00"
"Michigan","1985","Boys","800m","CLASS A","1:53.60"
"Michigan","1985","Boys","100m","CLASS A",":10.78"
"Michigan","1984","Boys","Pole Vault","CLASS A","14-5"
"Michigan","1984","Boys","High Jump","CLASS A","6-10"
"Michigan","1984","Boys","1600m","CLASS A","4:13.1"
"Michigan","1984","Boys","800m","CLASS A","1:55.3"
"Michigan","1984","Boys","100m","CLASS A",":10.5 W"
"Michigan","1983","Boys","Pole Vault","CLASS A","14-5"
"Michigan","1983","Boys","High Jump","CLASS A","6-10"
"Michigan","1983","Boys","1600m","CLASS A","4:17.4"
"Michigan","1983","Boys","800m","CLASS A","1:52.1"
"Michigan","1983","Boys","100m","CLASS A",":10.7"
"Michigan","1982","Boys","Pole Vault","CLASS A","15-8"
"Michigan","1982","Boys","High Jump","CLASS A","6-9"
"Michigan","1982","Boys","1600m","CLASS A","4:18.1"
"Michigan","1982","Boys","800m","CLASS A","1:52.7"
"Michigan","1982","Boys","100m","CLASS A",":10.5"
"Michigan","1981","Boys","Pole Vault","CLASS A","14-10 1/4"
"Michigan","1981","Boys","Mile","CLASS A","4:12.6"
"Michigan","1981","Boys","High Jump","CLASS A","6-9"
"Michigan","1981","Boys","880y","CLASS A","1:54.6"
"Michigan","1981","Boys","100y","CLASS A",":09.6"
"Michigan","1980","Boys","Pole Vault","CLASS A","14-1"
"Michigan","1980","Boys","Mile","CLASS A","4:16.7"
"Michigan","1980","Boys","High Jump","CLASS A","6-7"
"Michigan","1980","Boys","880y","CLASS A","1:52.3"
"Michigan","1980","Boys","100y","CLASS A",":09.7"
"Michigan","1989","Boys","Pole Vault","CLASS B","15-6"
"Michigan","1989","Boys","High Jump","CLASS B","6-8"
"Michigan","1989","Boys","1600m","CLASS B","4:22.1"
"Michigan","1989","Boys","800m","CLASS B","1:52.1"
