"State","Year","Gender","Event","Class","Mark"
"Maryland","1985","Boys","100m","AA","10.6"
"Maryland","1985","Boys","100m","A","10.5"
"Maryland","1985","Boys","100m","B","10.9"
"Maryland","1985","Boys","100m","C","10.6"
"Maryland","1986","Boys","100m","AA","10.7"
"Maryland","1986","Boys","100m","A","10.7"
"Maryland","1986","Boys","100m","B","11.0"
"Maryland","1986","Boys","100m","C","11.2"
"Maryland","1987","Boys","100m","AA","11.0"
"Maryland","1987","Boys","100m","A","10.9"
"Maryland","1987","Boys","100m","B","10.7"
"Maryland","1987","Boys","100m","C","10.9"
"Maryland","1988","Boys","100m","AA","10.55"
"Maryland","1988","Boys","100m","A","10.5"
"Maryland","1988","Boys","100m","B","10.8"
"Maryland","1988","Boys","100m","C","10.9"
"Maryland","1989","Boys","100m","4A","10.58"
"Maryland","1989","Boys","100m","3A","10.86"
"Maryland","1989","Boys","100m","2A","11.11"
"Maryland","1989","Boys","100m","1A","11.31"
"Maryland","1990","Boys","100m","4A","10.64"
"Maryland","1990","Boys","100m","3A","11.05"
"Maryland","1990","Boys","100m","2A","11.35"
"Maryland","1990","Boys","100m","1A","11.16"
"Maryland","1991","Boys","100m","4A","10.58"
"Maryland","1991","Boys","100m","3A","11.21"
"Maryland","1991","Boys","100m","2A","11.11"
"Maryland","1991","Boys","100m","1A","11.41"
"Maryland","1992","Boys","100m","4A","10.3"
"Maryland","1992","Boys","100m","3A","10.8"
"Maryland","1992","Boys","100m","2A","10.9"
"Maryland","1992","Boys","100m","1A","10.9"
"Maryland","1993","Boys","100m","4A","10.80"
"Maryland","1993","Boys","100m","3A","10.65"
"Maryland","1993","Boys","100m","2A","10.76"
"Maryland","1993","Boys","100m","1A","11.14"
"Maryland","1994","Boys","100m","4A","11.02"
"Maryland","1994","Boys","100m","3A","11.01"
"Maryland","1994","Boys","100m","2A","11.1"
"Maryland","1994","Boys","100m","IA","10.93"
"Maryland","1995","Boys","100m","4A","10.85"
"Maryland","1995","Boys","100m","3A","10.99"
"Maryland","1995","Boys","100m","2A","11.21"
"Maryland","1995","Boys","100m","1A","11.07"
"Maryland","1996","Boys","100m","4A","10.99"
"Maryland","1996","Boys","100m","3A","11.03"
"Maryland","1996","Boys","100m","2A","11.37"
"Maryland","1996","Boys","100m","1A","11.48"
"Maryland","1997","Boys","100m","4A","10.67"
"Maryland","1997","Boys","100m","3A","10.72"
"Maryland","1997","Boys","100m","2A","10.79"
"Maryland","1997","Boys","100m","1A","10.97"
"Maryland","1998","Boys","100m","4A","10.68"
"Maryland","1998","Boys","100m","3A","10.97"
"Maryland","1998","Boys","100m","2A","10.90"
"Maryland","1998","Boys","100m","1A","11.03"
"Maryland","1999","Boys","100m","4A","10.87"
"Maryland","1999","Boys","100m","3A","10.63"
"Maryland","1999","Boys","100m","2A","11.01"
"Maryland","1999","Boys","100m","1A","10.83"
"Maryland","2000","Boys","100m","4A","11.06"
"Maryland","2000","Boys","100m","3A","11.00"
"Maryland","2000","Boys","100m","2A","11.27"
"Maryland","2000","Boys","100m","1A","11.60"
"Maryland","2001","Boys","100m","4A","11.35"
"Maryland","2001","Boys","100m","3A","11.27"
"Maryland","2001","Boys","100m","2A","11.16"
"Maryland","2001","Boys","100m","1A","11.41"
"Maryland","2002","Boys","100m","4A","11.14"
"Maryland","2002","Boys","100m","3A","11.02"
"Maryland","2002","Boys","100m","2A","11.03"
"Maryland","2002","Boys","100m","1A","11.23"
"Maryland","2003","Boys","100m","4A","11.04"
"Maryland","2003","Boys","100m","3A","11.02"
"Maryland","2003","Boys","100m","2A","11.18"
"Maryland","2003","Boys","100m","1A","10.85"
"Maryland","2004","Boys","100m","4A","10.92"
"Maryland","2004","Boys","100m","3A","10.64"
"Maryland","2004","Boys","100m","2A","10.91"
"Maryland","2004","Boys","100m","1A","10.83"
"Maryland","2005","Boys","100m","4A","10.99"
"Maryland","2005","Boys","100m","3A","11.17"
"Maryland","2005","Boys","100m","2A","11.19"
"Maryland","2005","Boys","100m","1A","11.30"
"Maryland","2006","Boys","100m","4A","10.82"
"Maryland","2006","Boys","100m","3A","10.67"
"Maryland","2006","Boys","100m","2A","10.76"
"Maryland","2006","Boys","100m","1A","11.28"
"Maryland","2007","Boys","100m","4A","10.73"
"Maryland","2007","Boys","100m","3A","10.63"
"Maryland","2007","Boys","100m","2A","10.79"
"Maryland","2007","Boys","100m","1A","10.82"
"Maryland","2008","Boys","100m","4A","10.88"
"Maryland","2008","Boys","100m","3A","10.64"
"Maryland","2008","Boys","100m","2A","11.10"
"Maryland","2008","Boys","100m","1A","10.98"
"Maryland","2009","Boys","100m","4A","11.08"
"Maryland","2009","Boys","100m","3A",NA
"Maryland","2009","Boys","100m","2A","11.08"
"Maryland","2009","Boys","100m","1A","10.93"
"Maryland","2010","Boys","100m","4A","10.96"
"Maryland","2010","Boys","100m","3A","10.86"
"Maryland","2010","Boys","100m","2A","11.02"
"Maryland","2010","Boys","100m","1A","10.95"
"Maryland","2011","Boys","100m","4A","10.95"
"Maryland","2011","Boys","100m","3A","10.88"
"Maryland","2011","Boys","100m","2A","10.89"
"Maryland","2011","Boys","100m","1A","10.93"
"Maryland","2012","Boys","100m","4A","10.71"
"Maryland","2012","Boys","100m","3A","10.56"
"Maryland","2012","Boys","100m","2A","10.65"
"Maryland","2012","Boys","100m","1A","11.19"
"Maryland","2013","Boys","100m","4A","10.95"
"Maryland","2013","Boys","100m","3A","10.87"
"Maryland","2013","Boys","100m","2A","10.65"
"Maryland","2013","Boys","100m","1A","11.03"
"Maryland","2014","Boys","100m","4A","10.68"
"Maryland","2014","Boys","100m","3A","10.68"
"Maryland","2014","Boys","100m","2A","10.62"
"Maryland","2014","Boys","100m","1A","10.92"
"Maryland","2015","Boys","100m","4A","10.69"
"Maryland","2015","Boys","100m","3A","10.92"
"Maryland","2015","Boys","100m","2A","11.01"
"Maryland","2015","Boys","100m","1A","10.94"
"Maryland","2016","Boys","100m","4A","10.65"
"Maryland","2016","Boys","100m","3A","10.79"
"Maryland","2016","Boys","100m","2A","10.82"
"Maryland","2016","Boys","100m","1A","11.12"
"Maryland","2017","Boys","100m","4A","10.79"
"Maryland","2017","Boys","100m","3A","10.71"
"Maryland","2017","Boys","100m","2A","10.76"
"Maryland","2017","Boys","100m","1A","11.01"
"Maryland","2018","Boys","100m","4A","10.92"
"Maryland","2018","Boys","100m","3A","10.62"
"Maryland","2018","Boys","100m","2A","10.73"
"Maryland","2018","Boys","100m","1A","10.72"
"Maryland","2019","Boys","100m","4A","10.81"
"Maryland","2019","Boys","100m","3A","10.87"
"Maryland","2019","Boys","100m","2A","10.81"
"Maryland","2019","Boys","100m","1A","11.06"
"Maryland","1952","Boys","880y","A","2:08.6"
"Maryland","1952","Boys","880y","B","2:13.3"
"Maryland","1952","Boys","880y","C","3:01.9"
"Maryland","1953","Boys","880y","A","2:08.7"
"Maryland","1953","Boys","880y","B",NA
"Maryland","1953","Boys","880y","C",NA
"Maryland","1954","Boys","880y","A","2:06.9"
"Maryland","1954","Boys","880y","B","2:13.1"
"Maryland","1954","Boys","880y","C","2:14.1"
"Maryland","1955","Boys","880y","A","2:05.5"
"Maryland","1955","Boys","880y","B","2:07.05"
"Maryland","1955","Boys","880y","C","2:12.1"
"Maryland","1956","Boys","880y","A","2:02.5"
"Maryland","1956","Boys","880y","B","2:07.3"
"Maryland","1956","Boys","880y","C","2:13.4"
"Maryland","1957","Boys","880y","A","2:04.8"
"Maryland","1957","Boys","880y","B","2:07.4"
"Maryland","1957","Boys","880y","C","2:07.4"
"Maryland","1958","Boys","880y","A","2:02.2"
"Maryland","1958","Boys","880y","B",NA
"Maryland","1958","Boys","880y","C","2:06.8"
"Maryland","1959","Boys","880y","A","2:99.7"
"Maryland","1959","Boys","880y","B","2:07.7"
"Maryland","1959","Boys","880y","C","2:13.3"
"Maryland","1960","Boys","880y","A","2:06"
"Maryland","1960","Boys","880y","B","2:05.4"
"Maryland","1960","Boys","880y","C","2:05.9"
"Maryland","1961","Boys","880y","AA","2:00.0"
"Maryland","1961","Boys","880y","A","2:07.3"
"Maryland","1961","Boys","880y","B","2:06.2"
"Maryland","1961","Boys","880y","C","2:07.0"
"Maryland","1962","Boys","880y","AA","1:55.1"
"Maryland","1962","Boys","880y","A","2:05.5"
"Maryland","1962","Boys","880y","B","2:00.6"
"Maryland","1962","Boys","880y","C","2:09.0"
"Maryland","1963","Boys","880y","AA","1:58.3"
"Maryland","1963","Boys","880y","A","2:00.4"
"Maryland","1963","Boys","880y","B","2:00.6"
"Maryland","1963","Boys","880y","C","2:05.1"
"Maryland","1964","Boys","880y","AA","1:54.8"
"Maryland","1964","Boys","880y","A","2:01.1"
"Maryland","1964","Boys","880y","B","2:01.9"
"Maryland","1964","Boys","880y","C","1:59.9"
"Maryland","1965","Boys","880y","M","1:55.7"
"Maryland","1965","Boys","880y","A","1:57.9"
"Maryland","1965","Boys","880y","B",NA
"Maryland","1965","Boys","880y","C","2:00.1"
"Maryland","1966","Boys","880y","M","1:57.3"
"Maryland","1966","Boys","880y","A","1:59.0"
"Maryland","1966","Boys","880y","B","2:02.9"
"Maryland","1966","Boys","880y","C","2:05.0"
"Maryland","1967","Boys","880y","AA","1:55.1"
"Maryland","1967","Boys","880y","A","2:00.8"
"Maryland","1967","Boys","880y","B","2:04.3"
"Maryland","1967","Boys","880y","C","2:03.8"
"Maryland","1968","Boys","880y","AA","1:54.5"
"Maryland","1968","Boys","880y","A","1:57.8"
"Maryland","1968","Boys","880y","B","2:02.1"
"Maryland","1968","Boys","880y","C","2:06.0"
"Maryland","1969","Boys","880y","M","1:52.9"
"Maryland","1969","Boys","880y","A","1:59.2"
"Maryland","1969","Boys","880y","B","2:01.8"
"Maryland","1969","Boys","880y","C","2:05.6"
"Maryland","1970","Boys","880y","AA","1:55.3"
"Maryland","1970","Boys","880y","A","1:47.7"
"Maryland","1970","Boys","880y","B","2:00.6"
"Maryland","1970","Boys","880y","C","2:02.7"
"Maryland","1971","Boys","880y","M","1:55.9"
"Maryland","1971","Boys","880y","A","1:56.0"
"Maryland","1971","Boys","880y","B","1:58.3"
"Maryland","1971","Boys","880y","C","2:00.0"
"Maryland","1972","Boys","880y","AA","1:53.2"
"Maryland","1972","Boys","880y","A","1:57.0"
"Maryland","1972","Boys","880y","B","2:00.9"
"Maryland","1972","Boys","880y","C","2:03.0"
"Maryland","1973","Boys","880y","M","1:53.5"
"Maryland","1973","Boys","880y","A","1:57.6"
"Maryland","1973","Boys","880y","B","1:58.9"
"Maryland","1973","Boys","880y","C","2:01.7"
"Maryland","1974","Boys","880y","AA","1:55.7"
"Maryland","1974","Boys","880y","A","1:58.4"
"Maryland","1974","Boys","880y","B","1:59.9"
"Maryland","1974","Boys","880y","C","1:58.4"
"Maryland","1975","Boys","880y","M","1:55.0"
"Maryland","1975","Boys","880y","A","1:58.2"
"Maryland","1975","Boys","880y","B","1:59.2"
"Maryland","1975","Boys","880y","C","2:05.7"
"Maryland","1976","Boys","880y","AA","1:54.8"
"Maryland","1976","Boys","880y","A","1:56.3"
"Maryland","1976","Boys","880y","B","1:56.9"
"Maryland","1976","Boys","880y","C","2:03.3"
"Maryland","1977","Boys","880y","AA","1:56.5"
"Maryland","1977","Boys","880y","A","1:56.7"
"Maryland","1977","Boys","880y","B","1:58.7"
"Maryland","1977","Boys","880y","C","1:59.9"
"Maryland","1978","Boys","880y","AA","1:54.5"
"Maryland","1978","Boys","880y","A","1:54.1"
"Maryland","1978","Boys","880y","B","1:56.6"
"Maryland","1978","Boys","880y","C","1:58.8"
"Maryland","1979","Boys","880y","AA","1:56.4"
"Maryland","1979","Boys","880y","A","1:52.7"
"Maryland","1979","Boys","880y","B","1:58.9"
"Maryland","1979","Boys","880y","C","2:03.5"
"Maryland","1980","Boys","800m","AA","1:51.7"
"Maryland","1980","Boys","800m","A","1:55.4"
"Maryland","1980","Boys","800m","B","1:58.8"
"Maryland","1980","Boys","800m","C","1:59.0"
"Maryland","1981","Boys","800m","AA","1:54.3"
"Maryland","1981","Boys","800m","A","1:55.9"
"Maryland","1981","Boys","800m","B","1:55.5"
"Maryland","1981","Boys","800m","C","1:57.3"
"Maryland","1982","Boys","800m","M","1:51.2"
"Maryland","1982","Boys","800m","A","1:52.4"
"Maryland","1982","Boys","800m","B","1:55.2"
