"Text","Year","Gender","Event","Mark","Class","State","Event.raw"
"AA Meldon Acoma Navajo 10:02.86   ","1976","Boys","2 Mile","10:02.86   ","AA ","New Mexico","2 Mile Run"
"A Sanchez B. Miss  10:43.13   ","1976","Boys","2 Mile","10:43.13   ","A ","New Mexico","2 Mile Run"
"AAAA  Mike King Carlsbad 14.02 ","1976","Boys","120y H","14.02 ","AAAA ","New Mexico","120 Y H"
"AAA Anthony Austin Silver City 14.51 ","1976","Boys","120y H","14.51 ","AAA ","New Mexico","120 Y H"
"AA Crowell Eunice 14.35 ","1976","Boys","120y H","14.35 ","AA ","New Mexico","120 Y H"
"A D. Scott Melrose 15.23 ","1976","Boys","120y H","15.23 ","A ","New Mexico","120 Y H"
"AAA Anthony Austin Silver City 19.01 ","1976","Boys","180 Y","19.01 ","AAA ","New Mexico","180 Y"
"AA Crowell Eunice 19.28 ","1976","Boys","180 Y","19.28 ","AA ","New Mexico","180 Y"
"A K. Phillips Capitan 20.6 ","1976","Boys","180 Y","20.6 ","A ","New Mexico","180 Y"
"AAAA Sandia 42.68 ","1976","Boys","440y Relay","42.68 ","AAAA ","New Mexico","440 Y Relay"
"AAA Portales 43.93 ","1976","Boys","440y Relay","43.93 ","AAA ","New Mexico","440 Y Relay"
"AA Jal 44.22 ","1976","Boys","440y Relay","44.22 ","AA ","New Mexico","440 Y Relay"
"A Melrose 45.66 ","1976","Boys","440y Relay","45.66 ","A ","New Mexico","440 Y Relay"
"AAAA Sandia 01:29.5 ","1976","Boys","880y Relay","01:29.5 ","AAAA ","New Mexico","880 Y Relay"
"AAA Portales 01:31.3 ","1976","Boys","880y Relay","01:31.3 ","AAA ","New Mexico","880 Y Relay"
"AA Jal 01:32.2 ","1976","Boys","880y Relay","01:32.2 ","AA ","New Mexico","880 Y Relay"
"A Melrose 01:35.3 ","1976","Boys","880y Relay","01:35.3 ","A ","New Mexico","880 Y Relay"
"AAAA Hobbs 03:33.4 ","1976","Boys","Mile Relay","03:33.4 ","AAAA ","New Mexico","Mile Relay"
"AAA St. Pius X 03:41.3 ","1976","Boys","Mile Relay","03:41.3 ","AAA ","New Mexico","Mile Relay"
"AA Dexter 03:44.7 ","1976","Boys","Mile Relay","03:44.7 ","AA ","New Mexico","Mile Relay"
"A Tatum 03:46.2 ","1976","Boys","Mile Relay","03:46.2 ","A ","New Mexico","Mile Relay"
"AAAA Alamogordo 03:30.0 ","1976","Boys","Mile Relay","03:30.0 ","AAAA ","New Mexico","Mile Relay"
"AAA Belen 03:30.7 ","1976","Boys","Mile Relay","03:30.7 ","AAA ","New Mexico","Mile Relay"
"AA Laguna-Acoma 03:33.7 ","1976","Boys","Mile Relay","03:33.7 ","AA ","New Mexico","Mile Relay"
"A Tatum 03:39.5 ","1976","Boys","Mile Relay","03:39.5 ","A ","New Mexico","Mile Relay"
"AAAA  Cole Berry  Hobbs 53’-11.00”","1976","Boys","Shot Put","53’-11.00”","AAAA ","New Mexico","Shot Put"
"AAA John Cordova  St. Pius X 50’-11.00”","1976","Boys","Shot Put","50’-11.00”","AAA ","New Mexico","Shot Put"
"AA J. Gallegos  Mesa Vista 45’-07.25”","1976","Boys","Shot Put","45’-07.25”","AA ","New Mexico","Shot Put"
"A Pollard  Hagerman 45’-02.50”","1976","Boys","Shot Put","45’-02.50”","A ","New Mexico","Shot Put"
"AAAA  Dugger  Highland 157’-05.00”","1976","Boys","Discus","157’-05.00”","AAAA ","New Mexico","Discus"
"AAA McDonald  Lovington 145’-10.00”","1976","Boys","Discus","145’-10.00”","AAA ","New Mexico","Discus"
"AA Brown  Jal 133’-11.00”","1976","Boys","Discus","133’-11.00”","AA ","New Mexico","Discus"
"A M. Bliznek  Vaughn 125’-04.00”","1976","Boys","Discus","125’-04.00”","A ","New Mexico","Discus"
"AAAA  Almond Brewer  Gallup 22’-07.00”","1976","Boys","Long Jump","22’-07.00”","AAAA ","New Mexico","Long Jump"
"AAA Denny Martin  Aztec 22’-00.50”","1976","Boys","Long Jump","22’-00.50”","AAA ","New Mexico","Long Jump"
"AA Gutierrez  Pojoaque 21’-04.50”","1976","Boys","Long Jump","21’-04.50”","AA ","New Mexico","Long Jump"
"A A. Bailey  Grady 20’-02.50”","1976","Boys","Long Jump","20’-02.50”","A ","New Mexico","Long Jump"
"AAAA  Craig Dextator  Eldorado 6’-06.00”","1976","Boys","High Jump","6’-06.00”","AAAA ","New Mexico","High Jump"
"AAA Lelton Edwards  Deming 6’-04.00”","1976","Boys","High Jump","6’-04.00”","AAA ","New Mexico","High Jump"
"AA Hunter  Jal 6’-00.00”","1976","Boys","High Jump","6’-00.00”","AA ","New Mexico","High Jump"
"A W. Poyer  NMSD 6’-00.00”","1976","Boys","High Jump","6’-00.00”","A ","New Mexico","High Jump"
"AAAA  Kevin Penderson  Los Alamos 13’-07.00”","1976","Boys","Pole Vault","13’-07.00”","AAAA ","New Mexico","Pole Vault"
"AAA Albert Sanchez  Belen 13’-00.00”","1976","Boys","Pole Vault","13’-00.00”","AAA ","New Mexico","Pole Vault"
"AA Cobos  Dexter 13’-03.00”","1976","Boys","Pole Vault","13’-03.00”","AA ","New Mexico","Pole Vault"
"A B. Pate  Tatum 12’-06.00”","1976","Boys","Pole Vault","12’-06.00”","A ","New Mexico","Pole Vault"
"AAAA  Kevin Penderson  Los Alamos 199’-04.00”","1976","Boys","Javelin","199’-04.00”","AAAA ","New Mexico","Javelin"
"AAA Thompson  Artesia 192’-01.00”","1976","Boys","Javelin","192’-01.00”","AAA ","New Mexico","Javelin"
"AA Talley O’Neil  Jal 168’-10.00”","1976","Boys","Javelin","168’-10.00”","AA ","New Mexico","Javelin"
"A Wes Pilley  Hagerman 158’-01.00”","1976","Boys","Javelin","158’-01.00”","A ","New Mexico","Javelin"
"AAAA  Mike Carter Sandia  9.77   ","1975","Boys","100y Dash","9.77   ","AAAA ","New Mexico","100 Y Dash"
"AAA Ivan DeAnda Los Lunas 10.19   ","1975","Boys","100y Dash","10.19   ","AAA ","New Mexico","100 Y Dash"
"AA Anthony Ortiz  Moriarty 10.68   ","1975","Boys","100y Dash","10.68   ","AA ","New Mexico","100 Y Dash"
"AAAA  Mike Carter Sandia  21.92   ","1975","Boys","220y Dash","21.92   ","AAAA ","New Mexico","220 Y Dash"
"AAA Ivan DeAnda Los Lunas 22.19   ","1975","Boys","220y Dash","22.19   ","AAA ","New Mexico","220 Y Dash"
"AA Anthony Ortiz  Moriarty 22.92   ","1975","Boys","220y Dash","22.92   ","AA ","New Mexico","220 Y Dash"
"AAAA  Stanley Whitaker Sandia  48.14   ","1975","Boys","440y Dash","48.14   ","AAAA ","New Mexico","440 Y Dash"
"AAA Jimmy Bellah  Lovington 48.65   ","1975","Boys","440y Dash","48.65   ","AAA ","New Mexico","440 Y Dash"
"AA Chris Scott  Cloudcroft 50.79   ","1975","Boys","440y Dash","50.79   ","AA ","New Mexico","440 Y Dash"
"AAAA  Mark Romero  Valley  1:54.26   ","1975","Boys","880y Dash","1:54.26   ","AAAA ","New Mexico","880 Y Dash"
"AAA Nicky Aranda  St. Mike’s 1:59.61   ","1975","Boys","880y Dash","1:59.61   ","AAA ","New Mexico","880 Y Dash"
"AA Micheal Taylor Clayton 1:59.34   ","1975","Boys","880y Dash","1:59.34   ","AA ","New Mexico","880 Y Dash"
"AAAA  Andy Martinez Grants  4:17.99   ","1975","Boys","Mile","4:17.99   ","AAAA ","New Mexico","Mile Run"
"AAA Erwin Dean  Cobre 4:30.23   ","1975","Boys","Mile","4:30.23   ","AAA ","New Mexico","Mile Run"
"AA James Waquie  Jemez 4:36.75   ","1975","Boys","Mile","4:36.75   ","AA ","New Mexico","Mile Run"
"AAAA  Andy Martinez Grants  9:38.40   ","1975","Boys","2 Mile","9:38.40   ","AAAA ","New Mexico","2 Mile Run"
"AAA Robert Jim Fort Wingate 10:08.50   ","1975","Boys","2 Mile","10:08.50   ","AAA ","New Mexico","2 Mile Run"
"AA James Waquie  Jemez 9:44.07   ","1975","Boys","2 Mile","9:44.07   ","AA ","New Mexico","2 Mile Run"
"AAAA  Joe Hanson Las Cruces 14.77   ","1975","Boys","120y H","14.77   ","AAAA ","New Mexico","120 Y H"
"AAA Kenneth Harcrow Artesia  15.13   ","1975","Boys","120y H","15.13   ","AAA ","New Mexico","120 Y H"
"AA Dean Crowell  Eunice  15.29   ","1975","Boys","120y H","15.29   ","AA ","New Mexico","120 Y H"
"AAAA  Mark Brown Santa Fe 19.49 ","1975","Boys","180 Y","19.49 ","AAAA ","New Mexico","180 Y"
"AA Dean Crowell Eunice 19.91 ","1975","Boys","180 Y","19.91 ","AA ","New Mexico","180 Y"
"AAAA Carlsbad 42.77 ","1975","Boys","440y Relay","42.77 ","AAAA ","New Mexico","440 Y Relay"
"AA Jal 45.14 ","1975","Boys","440y Relay","45.14 ","AA ","New Mexico","440 Y Relay"
"AAAA Carlsbad 01:29.2 ","1975","Boys","880y Relay","01:29.2 ","AAAA ","New Mexico","880 Y Relay"
"AA Jal 01:32.7 ","1975","Boys","880y Relay","01:32.7 ","AA ","New Mexico","880 Y Relay"
"AAAA Manzano 03:33.7 ","1975","Boys","Mile Relay","03:33.7 ","AAAA ","New Mexico","Mile Relay"
"AA St. Catherine’s 03:43.4 ","1975","Boys","Mile Relay","03:43.4 ","AA ","New Mexico","Mile Relay"
"AAAA Alamogordo 03:21.1 ","1975","Boys","Mile Relay","03:21.1 ","AAAA ","New Mexico","Mile Relay"
"AA Estancia 03:30.6 ","1975","Boys","Mile Relay","03:30.6 ","AA ","New Mexico","Mile Relay"
"AAAA  Glen Vreeland Manzano 55’-05.50” ","1975","Boys","Shot Put","55’-05.50” ","AAAA ","New Mexico","Shot Put"
"AA Walter Strain Lordsburg 47’-08.75” ","1975","Boys","Shot Put","47’-08.75” ","AA ","New Mexico","Shot Put"
"AAAA  Scott Chafins Manzano 159’-06.00” ","1975","Boys","Discus","159’-06.00” ","AAAA ","New Mexico","Discus"
"AA Buddy Shotten Jal 138’-04.00” ","1975","Boys","Discus","138’-04.00” ","AA ","New Mexico","Discus"
"AAAA  Gary Johnson Highland 23’-10.25” ","1975","Boys","Long Jump","23’-10.25” ","AAAA ","New Mexico","Long Jump"
"AA Anthony Ortiz Moriarty 21’-08.75” ","1975","Boys","Long Jump","21’-08.75” ","AA ","New Mexico","Long Jump"
"AAAA  David Muelker Goddard 6’-06.00” ","1975","Boys","High Jump","6’-06.00” ","AAAA ","New Mexico","High Jump"
"AA R. Nalty Thoreau 6’-02.00” ","1975","Boys","High Jump","6’-02.00” ","AA ","New Mexico","High Jump"
"AAAA Matt Wilkinson Las Cruces 14’-00.25”","1975","Boys","Pole Vault","14’-00.25”","AAAA ","New Mexico","Pole Vault"
"AA Burt Kellum Eunice 13’-00.00”","1975","Boys","Pole Vault","13’-00.00”","AA ","New Mexico","Pole Vault"
"AAAA Skipper Vernon Del Norte 208’-05.00”","1975","Boys","Javelin","208’-05.00”","AAAA ","New Mexico","Javelin"
"AA Randy O’Neal Jal 178’-10.00”","1975","Boys","Javelin","178’-10.00”","AA ","New Mexico","Javelin"
"AAAA  Craig Sundheimer Hobbs  9.9   ","1974","Boys","100y Dash","9.9   ","AAAA ","New Mexico","100 Y Dash"
"AAA Ivan DeAnda Los Lunas 10.1   ","1974","Boys","100y Dash","10.1   ","AAA ","New Mexico","100 Y Dash"
"AA Curtis Lindley  Texico  10.0   ","1974","Boys","100y Dash","10.0   ","AA ","New Mexico","100 Y Dash"
"AAAA  Frankie Theragood Carlsbad 22.0   ","1974","Boys","220y Dash","22.0   ","AAAA ","New Mexico","220 Y Dash"
"AAA Jay Wilcox Deming 22.6   ","1974","Boys","220y Dash","22.6   ","AAA ","New Mexico","220 Y Dash"
"AA Curtis Lindley  Texico  22.7   ","1974","Boys","220y Dash","22.7   ","AA ","New Mexico","220 Y Dash"
"AAAA  Latrail Jones Hobbs  48.4   ","1974","Boys","440y Dash","48.4   ","AAAA ","New Mexico","440 Y Dash"
"AAA Joe Granados Gadsden 50.5   ","1974","Boys","440y Dash","50.5   ","AAA ","New Mexico","440 Y Dash"
"AA Sammy Tarin Hatch 50.6   ","1974","Boys","440y Dash","50.6   ","AA ","New Mexico","440 Y Dash"
"AAAA  Jim Reeves Sandia  1:55.9   ","1974","Boys","880y Dash","1:55.9   ","AAAA ","New Mexico","880 Y Dash"
"AAA Orlando Winchell Bernalillo 1:55.1   ","1974","Boys","880y Dash","1:55.1   ","AAA ","New Mexico","880 Y Dash"
"AA Phil Riley St. Catherine’s  1:57.2   ","1974","Boys","880y Dash","1:57.2   ","AA ","New Mexico","880 Y Dash"
"AAAA  Andy Martinez Grants  4:17.9   ","1974","Boys","Mile","4:17.9   ","AAAA ","New Mexico","Mile Run"
"AAA R. Chavez Belen 4:24.0   ","1974","Boys","Mile","4:24.0   ","AAA ","New Mexico","Mile Run"
"AA Anthony Armijo St. Catherine’s  4:22.4   ","1974","Boys","Mile","4:22.4   ","AA ","New Mexico","Mile Run"
"AAAA  Andy Martinez Grants  9:29.1   ","1974","Boys","2 Mile","9:29.1   ","AAAA ","New Mexico","2 Mile Run"
"AAA P. Castillo Silver City 10:03.9   ","1974","Boys","2 Mile","10:03.9   ","AAA ","New Mexico","2 Mile Run"
"AA Anthony Armijo St. Catherine’s 9:55.3   ","1974","Boys","2 Mile","9:55.3   ","AA ","New Mexico","2 Mile Run"
"AAAA  Ken Johnson  Hobbs  14.2   ","1974","Boys","120y H","14.2   ","AAAA ","New Mexico","120 Y H"
"AAA Hector Giron Gadsden 14.8   ","1974","Boys","120y H","14.8   ","AAA ","New Mexico","120 Y H"
"AA Dean Crowell  Eunice  15.5   ","1974","Boys","120y H","15.5   ","AA ","New Mexico","120 Y H"
"AAAA  Ken Johnson Hobbs  19.5","1974","Boys","180 Y","19.5","AAAA ","New Mexico","180 Y"
"AA Dean Crowell Eunice  19.9","1974","Boys","180 Y","19.9","AA ","New Mexico","180 Y"
"AAAA Hobbs  42.4","1974","Boys","440y Relay","42.4","AAAA ","New Mexico","440 Y Relay"
"AA Jal  44.5","1974","Boys","440y Relay","44.5","AA ","New Mexico","440 Y Relay"
"AAAA Hobbs ` 01:28.4","1974","Boys","880y Relay","01:28.4","AAAA ","New Mexico","880 Y Relay"
"AA McCurdy  01:33.5","1974","Boys","880y Relay","01:33.5","AA ","New Mexico","880 Y Relay"
"AAAA Albuquerque  03:35.2","1974","Boys","Mile Relay","03:35.2","AAAA ","New Mexico","Mile Relay"
"AA Cuba  03:42.2","1974","Boys","Mile Relay","03:42.2","AA ","New Mexico","Mile Relay"
"AAAA Sandia  03:22.0","1974","Boys","Mile Relay","03:22.0","AAAA ","New Mexico","Mile Relay"
"AA St. Catherine’s  03:28.0","1974","Boys","Mile Relay","03:28.0","AA ","New Mexico","Mile Relay"
"AAAA  Jacob Cannon Roswell  59’-04.00”","1974","Boys","Shot Put","59’-04.00”","AAAA ","New Mexico","Shot Put"
"AA Jim Newby Cliff  46’-03.50”","1974","Boys","Shot Put","46’-03.50”","AA ","New Mexico","Shot Put"
"AAAA  Marc Longerot Eldorado  168’-05.00”","1974","Boys","Discus","168’-05.00”","AAAA ","New Mexico","Discus"
"AA Sisneros Questa  141’-07.00”","1974","Boys","Discus","141’-07.00”","AA ","New Mexico","Discus"
"AAAA  Frankie Theragood Carlsbad  23’-08.50”","1974","Boys","Long Jump","23’-08.50”","AAAA ","New Mexico","Long Jump"
"AA Curtis Lindley Texico  23’-05.75”","1974","Boys","Long Jump","23’-05.75”","AA ","New Mexico","Long Jump"
"AAAA  David Muelker Goddard  6’-04.00”","1974","Boys","High Jump","6’-04.00”","AAAA ","New Mexico","High Jump"
"AA R. Nalty Thoreau  5’-11.00”","1974","Boys","High Jump","5’-11.00”","AA ","New Mexico","High Jump"
"AAAA Matt Wilkinson Las Cruces 14’-00.25”","1974","Boys","Pole Vault","14’-00.25”","AAAA ","New Mexico","Pole Vault"
"AA C. Brown Eunice 12’-09.00”","1974","Boys","Pole Vault","12’-09.00”","AA ","New Mexico","Pole Vault"
"AAAA Anthony Montano Farmington 210’-10.00”","1974","Boys","Javelin","210’-10.00”","AAAA ","New Mexico","Javelin"
"AA Randy O’Neal Jal 178’-01.00”","1974","Boys","Javelin","178’-01.00”","AA ","New Mexico","Javelin"
"AAAA  James Parker Clovis  9.7   ","1973","Boys","100y Dash","9.7   ","AAAA ","New Mexico","100 Y Dash"
"AAA Mike Dunn N.M.M.I. 10.3   ","1973","Boys","100y Dash","10.3   ","AAA ","New Mexico","100 Y Dash"
"AA John Taylor Cliff 10.3   ","1973","Boys","100y Dash","10.3   ","AA ","New Mexico","100 Y Dash"
"AAAA  Vernon Patterson Hobbs  22.0   ","1973","Boys","220y Dash","22.0   ","AAAA ","New Mexico","220 Y Dash"
"AAA Ernest Venegas Cobre 22.6   ","1973","Boys","220y Dash","22.6   ","AAA ","New Mexico","220 Y Dash"
"AA Curtis Lindley  Texico  23.1   ","1973","Boys","220y Dash","23.1   ","AA ","New Mexico","220 Y Dash"
"AAAA  James Treadwell Hobbs  49.1   ","1973","Boys","440y Dash","49.1   ","AAAA ","New Mexico","440 Y Dash"
"AAA Ronnie Olson  Belen 50.6   ","1973","Boys","440y Dash","50.6   ","AAA ","New Mexico","440 Y Dash"
"AA Bille Beyhan Kirtland Central 51.9   ","1973","Boys","440y Dash","51.9   ","AA ","New Mexico","440 Y Dash"
"AAAA  Jim Reeves Sandia  1:58.7   ","1973","Boys","880y Dash","1:58.7   ","AAAA ","New Mexico","880 Y Dash"
"AAA Orlando Winchell Bernalillo 2:00.5   ","1973","Boys","880y Dash","2:00.5   ","AAA ","New Mexico","880 Y Dash"
"AA Phil Riley St. Catherine’s 2:02.3   ","1973","Boys","880y Dash","2:02.3   ","AA ","New Mexico","880 Y Dash"
"AAAA  Willie Martinez Carlsbad 4:30.2   ","1973","Boys","Mile","4:30.2   ","AAAA ","New Mexico","Mile Run"
"AAA Mike Freeman  Portales 4:21.4   ","1973","Boys","Mile","4:21.4   ","AAA ","New Mexico","Mile Run"
"AA Anthony Armijo St. Catherine’s 4:34.9   ","1973","Boys","Mile","4:34.9   ","AA ","New Mexico","Mile Run"
"AAAA  Randy Golightly Alamogordo 10:03.1   ","1973","Boys","2 Mile","10:03.1   ","AAAA ","New Mexico","2 Mile Run"
"AAA Melvin Yazzie  Bloomfield 9:52.6   ","1973","Boys","2 Mile","9:52.6   ","AAA ","New Mexico","2 Mile Run"
"AA Stan Waquie  Jemez 10:06.2   ","1973","Boys","2 Mile","10:06.2   ","AA ","New Mexico","2 Mile Run"
"AAAA  Ken Johnson Hobbs  14.4   ","1973","Boys","120y H","14.4   ","AAAA ","New Mexico","120 Y H"
"AAA Hector GironGadsden  15.0   ","1973","Boys","120y H","15.0   ","AAA ","New Mexico","120 Y H"
"AA John Everett Hot Springs 15.2   ","1973","Boys","120y H","15.2   ","AA ","New Mexico","120 Y H"
"AAAA  David Lewis Carlsbad 20.6 ","1973","Boys","180 Y","20.6 ","AAAA ","New Mexico","180 Y"
"AA John Everett Hot Springs 21.5 ","1973","Boys","180 Y","21.5 ","AA ","New Mexico","180 Y"
"AAAA Hobbs 42.6 ","1973","Boys","440y Relay","42.6 ","AAAA ","New Mexico","440 Y Relay"
"AA Cuba 45.3 ","1973","Boys","440y Relay","45.3 ","AA ","New Mexico","440 Y Relay"
"AAAA Hobbs 01:29.6 ","1973","Boys","880y Relay","01:29.6 ","AAAA ","New Mexico","880 Y Relay"
"AA Cuba 01:34.3 ","1973","Boys","880y Relay","01:34.3 ","AA ","New Mexico","880 Y Relay"
"AAAA Carlsbad 03:38.0 ","1973","Boys","Mile Relay","03:38.0 ","AAAA ","New Mexico","Mile Relay"
"AA Laguna-Acoma 03:49.9 ","1973","Boys","Mile Relay","03:49.9 ","AA ","New Mexico","Mile Relay"
"AAAA Alamogordo 03:25.4 ","1973","Boys","Mile Relay","03:25.4 ","AAAA ","New Mexico","Mile Relay"
"AA Kirtland Central 03:37.4 ","1973","Boys","Mile Relay","03:37.4 ","AA ","New Mexico","Mile Relay"
"AAAA  Jacob Cannon Roswell 53’-11.00” ","1973","Boys","Shot Put","53’-11.00” ","AAAA ","New Mexico","Shot Put"
"AA Ken Perryman Ruidoso 45’-08.00” ","1973","Boys","Shot Put","45’-08.00” ","AA ","New Mexico","Shot Put"
"AAAA  Steve Fredericks Alamogordo 159’-10.00” ","1973","Boys","Discus","159’-10.00” ","AAAA ","New Mexico","Discus"
"AA Tim Baur Ruidoso 133’-01.00” ","1973","Boys","Discus","133’-01.00” ","AA ","New Mexico","Discus"
"AAAA  Mike Powdrell Highland 22’-11.00” ","1973","Boys","Long Jump","22’-11.00” ","AAAA ","New Mexico","Long Jump"
"AA Curtis Lindley Texico 21’-00.75 ","1973","Boys","Long Jump","21’-00.75 ","AA ","New Mexico","Long Jump"
"AAAA  Tom Lindsey Del Norte 6’-04.00” ","1973","Boys","High Jump","6’-04.00” ","AAAA ","New Mexico","High Jump"
"AA Joe Chisholm Jal 6’-00.00” ","1973","Boys","High Jump","6’-00.00” ","AA ","New Mexico","High Jump"
"AAAA Kenny Messnger Hobbs 13’-06.00”","1973","Boys","Pole Vault","13’-06.00”","AAAA ","New Mexico","Pole Vault"
"AA Ted Sisneros Capitan 13’-07.00”","1973","Boys","Pole Vault","13’-07.00”","AA ","New Mexico","Pole Vault"
"AAAA Jerry Stewart Clovis 206’-02.00”","1973","Boys","Javelin","206’-02.00”","AAAA ","New Mexico","Javelin"
"AA Garland Prater Kirtland Central 185’-06.00”","1973","Boys","Javelin","185’-06.00”","AA ","New Mexico","Javelin"
"AAAA  James Parker Clovis9.8   ","1972","Boys","100y Dash","9.8   ","AAAA ","New Mexico","100 Y Dash"
"AAA Tom Zold  Robertson 10.1   ","1972","Boys","100y Dash","10.1   ","AAA ","New Mexico","100 Y Dash"
"AA Randy EvansDora  10.2   ","1972","Boys","100y Dash","10.2   ","AA ","New Mexico","100 Y Dash"
"AAAA  Vernon Patterson Hobbs22.1   ","1972","Boys","220y Dash","22.1   ","AAAA ","New Mexico","220 Y Dash"
"AAA Darrel Saulsberry Socorro 22.4   ","1972","Boys","220y Dash","22.4   ","AAA ","New Mexico","220 Y Dash"
"AA Frank Calderon Ruidoso 22.9   ","1972","Boys","220y Dash","22.9   ","AA ","New Mexico","220 Y Dash"
"AAAA  James Treadwell Hobbs  49.1   ","1972","Boys","440y Dash","49.1   ","AAAA ","New Mexico","440 Y Dash"
"AAA Richard Caldwell Deming  50.3   ","1972","Boys","440y Dash","50.3   ","AAA ","New Mexico","440 Y Dash"
"AA Gary Harrell Hagerman  51.2   ","1972","Boys","440y Dash","51.2   ","AA ","New Mexico","440 Y Dash"
"AAAA  Eddie Frey Goddard 1:58.9   ","1972","Boys","880y Dash","1:58.9   ","AAAA ","New Mexico","880 Y Dash"
"AAA Dennis King  Belen2:00.00   ","1972","Boys","880y Dash","2:00.00   ","AAA ","New Mexico","880 Y Dash"
"AA Aaron Pino Laguna-Acoma 2:00.2   ","1972","Boys","880y Dash","2:00.2   ","AA ","New Mexico","880 Y Dash"
"AAAA  Pat Prescott Del Norte 4:30.6   ","1972","Boys","Mile","4:30.6   ","AAAA ","New Mexico","Mile Run"
"AAA George Chavez Robertson 4:26.8   ","1972","Boys","Mile","4:26.8   ","AAA ","New Mexico","Mile Run"
"AA Gordon Pino Laguna-Acoma 4:26.8   ","1972","Boys","Mile","4:26.8   ","AA ","New Mexico","Mile Run"
"AAAA  Anthony Sandoval Los Alamos 9:48.5   ","1972","Boys","2 Mile","9:48.5   ","AAAA ","New Mexico","2 Mile Run"
"AAA Lovato  Bernalillo 9:51.3   ","1972","Boys","2 Mile","9:51.3   ","AAA ","New Mexico","2 Mile Run"
"AA Aaron Pino Laguna-Acoma  9:57.0   ","1972","Boys","2 Mile","9:57.0   ","AA ","New Mexico","2 Mile Run"
"AAAA  David Green  Del Norte 14.4   ","1972","Boys","120y H","14.4   ","AAAA ","New Mexico","120 Y H"
"AAA Darrel Saulsberry Socorro 14.4   ","1972","Boys","120y H","14.4   ","AAA ","New Mexico","120 Y H"
"AA Dale Cates Jal 14.7   ","1972","Boys","120y H","14.7   ","AA ","New Mexico","120 Y H"
"AAAA  David Greeno Del Norte 19.4 ","1972","Boys","180 Y","19.4 ","AAAA ","New Mexico","180 Y"
"AA Dale Cates Jal 20.2 ","1972","Boys","180 Y","20.2 ","AA ","New Mexico","180 Y"
"AAAA Hobbs 42.3 ","1972","Boys","440y Relay","42.3 ","AAAA ","New Mexico","440 Y Relay"
"AAA Bloomfield 43.6 ","1972","Boys","440y Relay","43.6 ","AAA ","New Mexico","440 Y Relay"
"AA Jal 44.4 ","1972","Boys","440y Relay","44.4 ","AA ","New Mexico","440 Y Relay"
"AAAA Hobbs 01:28.8 ","1972","Boys","880y Relay","01:28.8 ","AAAA ","New Mexico","880 Y Relay"
"AA Jal 01:33.1 ","1972","Boys","880y Relay","01:33.1 ","AA ","New Mexico","880 Y Relay"
"AAAA Del Norte 03:34.2 ","1972","Boys","Mile Relay","03:34.2 ","AAAA ","New Mexico","Mile Relay"
"AA Laguna-Acoma 03:42.8 ","1972","Boys","Mile Relay","03:42.8 ","AA ","New Mexico","Mile Relay"
"AAAA Hobbs 03:22.2 ","1972","Boys","Mile Relay","03:22.2 ","AAAA ","New Mexico","Mile Relay"
"AA Kirtland Central 03:33.5 ","1972","Boys","Mile Relay","03:33.5 ","AA ","New Mexico","Mile Relay"
"AAAA  Jim Dodds Highland 56’-09.00” ","1972","Boys","Shot Put","56’-09.00” ","AAAA ","New Mexico","Shot Put"
"AA Mike Roach Jal 50’-05.75” ","1972","Boys","Shot Put","50’-05.75” ","AA ","New Mexico","Shot Put"
"AAAA  Mark Mohoric Highland 158’-03.00” ","1972","Boys","Discus","158’-03.00” ","AAAA ","New Mexico","Discus"
"AA Buddy Briscoe Cloudcroft 153’-07.00” ","1972","Boys","Discus","153’-07.00” ","AA ","New Mexico","Discus"
"AAAA  Ed Foster Highland 23’-06.50” ","1972","Boys","Long Jump","23’-06.50” ","AAAA ","New Mexico","Long Jump"
"AAA Tom Satenga Bloomfield 22’-10.00” ","1972","Boys","Long Jump","22’-10.00” ","AAA ","New Mexico","Long Jump"
"AA Curtis Lindley Texico 22’-02.50” ","1972","Boys","Long Jump","22’-02.50” ","AA ","New Mexico","Long Jump"
"AAAA Tom Pond Sandia 6’-09.00”","1972","Boys","High Jump","6’-09.00”","AAAA ","New Mexico","High Jump"
"AA Eakins Cliff 5’-10.00”","1972","Boys","High Jump","5’-10.00”","AA ","New Mexico","High Jump"
"AAAA Danny Ashcraft Manzano 14’-00.50”","1972","Boys","Pole Vault","14’-00.50”","AAAA ","New Mexico","Pole Vault"
"AA Dale Cates Jal 13’-06.50”","1972","Boys","Pole Vault","13’-06.50”","AA ","New Mexico","Pole Vault"
"AAAA Jack Graham Highland 205’-02.00”","1972","Boys","Javelin","205’-02.00”","AAAA ","New Mexico","Javelin"
"AA Garland Prater Kirtland Central 201’-07.00”","1972","Boys","Javelin","201’-07.00”","AA ","New Mexico","Javelin"
"AAAA  David Powdrell Highland 10.0   ","1971","Boys","100y Dash","10.0   ","AAAA ","New Mexico","100 Y Dash"
"AAA Tim Himbaugh Silver City 9.8   ","1971","Boys","100y Dash","9.8   ","AAA ","New Mexico","100 Y Dash"
"AA New Jal 10.4   ","1971","Boys","100y Dash","10.4   ","AA ","New Mexico","100 Y Dash"
"AAAA  David Powdrell Highland 22.1   ","1971","Boys","220y Dash","22.1   ","AAAA ","New Mexico","220 Y Dash"
"AAA Tim Himbaugh Silver City 21.8   ","1971","Boys","220y Dash","21.8   ","AAA ","New Mexico","220 Y Dash"
