2007,
"",3A,"Kayla Nagunst, Rainier .......................... 58.53"
"",2A,"Hannah Whitehead, East Linn Christian 58.69"
"",1A,"Emily Funkhouser, Sherman ................. 58.39"
800m Run,6A,"Chloe Steinbeck, Southridge .............. 2:16.32"
"",5A,"Alyssa O’Connor, Summit .................. 2:12.96"
"",4A,"Katie Waugh, Henley .......................... 2:20.20"
"",3A,"Kayla Nagunst, Rainier ....................... 2:17.97"
"",2A,"Morgan Martin, St. Mary’s .................. 2:18.71"
"",1A,"Sarah Hanchett, McKenzie ................. 2:22.62"
1500m Run,6A,"Annamarie Maag, Jesuit ..................... 4:33.17"
"",5A,"Kayleigh Tyerman, Crater ................... 4:32.02"
"",4A,"Taylor Wallace, Henley....................... 4:33.83"
"",3A,"Hayley Ney, Catlin Gabel ................... 4:40.80"
"",2A,"Mary Bennion, St. Mary’s ................... 4:57.52"
"",1A,"Briana Hawes, Perrydale .................... 5:02.97"
3000m Run,6A,"Annamarie Maag, Jesuit ..................... 9:59.28"
"",5A,"Kayleigh Tyerman, Crater ..................10:13.86"
"",4A,"Taylor Wallace, Henley......................10:09.22"
"",3A,"Hayley Ney, Catlin Gabel ..................10:33.72"
"",2A,"Mary Bennion, St. Mary’s ..................10.51.31"
"",1A,"Sarah Hanchett, McKenzie ................10:49.97"
100m H,6A,"Shay Applegate, South Eugene............. 14.53"
"",5A,"Olivia Ferrara, Liberty ............................ 14.42"
"",4A,"Maria Kropf, Sweet Home ..................... 15.11"
"",3A,"Jacee Retherford, Grant Union .............. 16.22"
"",2A,"Erin Price, Heppner ............................... 16.83"
"",1A,"Emily Funkhouser, Sherman ................. 15.39"
300m H,6A,"Tiarra Pittman, Lincoln........................... 43.51"
"",5A,"Olivia Ferrara, Liberty ............................ 44.63"
"",4A,"Taylor Vandehey, North Valley .............. 46.80"
"",3A,"Leah Thompson, Catlin Gabel ............... 47.38"
"",2A,"Erin Price, Heppner ............................... 47.60"
"",1A,"Emily Funkhouser, Sherman ................. 45.46"
4x100m R,6A,LINCOLN ............................................... 48.01
"",,"(Davis, Stewart, Harvey, Pittman)"
"",5A,WILSONVILLE ...................................... 48.87
"",,"(Gearhart, Church, Bullock, Starr)"
"",4A,SWEET HOME ...................................... 49.60
"",,"(Snow, Makin, Stewart, Kropf)"
"",3A,CATLIN GABEL ..................................... 51.23
"",,"(Morton, Hurst, I. Miller, E. Miller)"
"",2A,BONANZA ............................................. 50.93
"",,"(deJong, Jones, Gomez, Gallagher)"
"",1A,CRANE .................................................. 51.15
"",,"(Steeves, O’Toole, O’Crowley, Borelli)"
4x400m R,6A,SOUTHRIDGE ................................... 3:53.01
"",,"(Nash, Hones, Hunt, Steinbeck)"
"",5A,SUMMIT ............................................. 3:57.49
"",,"(West, Teller, O’Connor, Schueler"
"",4A,HENLEY ............................................. 4:01.33
"",,"(Poetsch, Johnson, Waugh, Wallace)"
"",3A,CATLIN GABEL .................................. 4:06.37
"",,"(Thompson, E. Miller, I. Miller, Ney)"
"",2A,ST. MARY’S ....................................... 4:04.85
"",,"(Martin, Triblehorn, Krieser, Steinsiek"
"",1A,CRANE ............................................... 4:04.96
"",,"(Steeves, Borelli, Bentz, O’Crowley)"
Long Jump,6A,"Kayla Smith, Benson ............................ 19-0.5"
"",5A,"Katey Choukalos, Klamath Union ....... 17-8.75"
"",4A,"Maria Kropf, Sweet Home ....................... 17-2"
"",3A,"Jacee Retherford, Grant Union ............. 16-9.5"
"",2A,"Mackenzie Krieser, St. Mary’s ............ 16-4.75"
"",1A,"Kristan Holding, Damascus Christian . 17-1.75"
Triple Jump,6A,"Taisha Moore, Aloha ............................. 38-11"
"",5A,"Iris Anderson, North Eugene .............. 36-10.5"
"",4A,"Charlene Harber, Astoria ......................... 35-3"
"",3A,"Eloise Miller, Catlin Gabel .................... 35-3.5"
"",2A,"Emily Pieren, Nestucca ......................... 33-10"
"",1A,"Karissa Mobley, Sherman .................. 35-3.75"
Shot Put,6A,"Alyssa Hasslen, McMinnville .............. 46-7.75"
"",5A,"Christy Mosier, Summit ....................... 39-5.75"
"",4A,"Laura Bobek, Astoria ............................ 45-5.5"
"",3A,"Victoria Rodriguez, Nussa ........................ 40-8"
"",2A,"Megan Jarrell, Elgin ................................. 37-6"
"",1A,"Jenni Guzman, Sherman .................. 36-11.75"
Discus,6A,"Alyssa Hasslen, McMinnville ................ 147-11"
"",5A,"Mary Barnett, Hermiston ........................ 122-9"
"",4A,"Laura Bobek, Astoria ........................... 152-10"
"",3A,"Rachelle Buck, Cascade Christian ......... 123-6"
"",2A,"Danielle Allen, Kennedy ......................... 112-3"
"",1A,"Katie Mullen, Damascus Christian ......... 118-5"
Javelin,6A,"Lexi Ross, Lakeridge ............................. 142-3"
"",5A,"Kaylie VanLoo, Glencoe......................... 137-8"
"",4A,"Jordan Brunetti, Cottage Grove ........... 138-07"
"",3A,"Emma Buchholz, Sheridan ..................... 125-4"
"",2A,"Sami DeVore, Scio ............................... 128-11"
"",1A,"Laura Grube, Crow ................................ 126-3"
High Jump,6A,"Kelly Millager, Tualatin ............................... 5-5"
"",5A,"Frances Pavao, Sherwood ......................... 5-3"
"",4A,"Chancy Summers, Estacada ...................... 5-4"
"",3A,"Catherine Routson, Umatilla ...................... 5-2"
"",2A,"Alexi Provost, St. Mary’s ............................ 5-1"
"",1A,"Natalie Bentz, Crane .................................. 5-2"
Pole Vault,6A,"Kaleigh Morrison, Tigard .......................... 11-3"
"",5A,"Moriah Roberge, Marshfield .................. 12-9.5"
"",4A,"Sammie Clark, North Bend ...................... 12-0"
"",3A,"Beth Castro, Bandon .................................. 9-6"
"",2A,"Cheyanne Predmore, Elgin ........................ 9-4"
"",1A,"Julie Drescher, St. Paul ............................. 9-3"
"",,
2010,,
100m Dash,6A,"Dominique Keel, Westview .................... 12.06"
"",5A,"Kellie Schueler, Summit ......................... 12.25"
"",4A,"Maria Kropf, Sweet Home ...................... 12.29"
"",3A,"Madeline Dinsmore, Burns ..................... 12.74"
"",2A,"Erica Drake, Pilot Rock .......................... 12.68"
"",1A,"Stephanie Anthony, Imbler ..................... 13.21"
200m Dash,6A,"Dominique Keel, Westview .................... 24.90"
"",5A,"Kellie Schueler, Summit ......................... 24.86"
"",4A,"Audrey Hellesto, Philomath .................... 25.81"
"",3A,"Madeline Dinsmore, Burns ..................... 25.92"
"",2A,"Erica drake, Pilot Rock ........................... 26.60"
"",1A,"Lindsay LeBrun, Portland Lutheran ........ 27.08"
400m Dash,6A,"Lainey Nash, Southridge ........................ 57.13"
"",5A,"Kellie Schueler, Summit ......................... 55.17"
"",4A,"Emily Childers, McLoughlin .................... 58.35"
"",3A,"Kayla Nagunst, Rainier .......................... 58.23"
"",2A,"Hannah Whitehead, East Linn Christian 57.98"
"",1A,"September O’Crowley, Crane ................ 59.61"
800m Run,6A,"Lauren Lloyd, Hood River Valley ......... 2:10.95"
"",5A,"Catherine Theobald, Bend .................. 2:16.95"
"",4A,"Allie Sibole, Marist .............................. 2:16.81"
"",3A,"Kayla Nagunst, Rainier ....................... 2:19.57"
"",2A,"Morgan Martin, St. Mary’s ................... 2:16.09"
"",1A,"Mary Matchett, Hosanna Christian ...... 2:25.06"
1500m Run,6A,"Julia Fonk, Franklin ............................. 4:36.54"
"",5A,"Jessica Imbrile, Sherwood .................. 4:45.65"
"",4A,"Raelyn Robinson, Siuslaw .................. 4:47.46"
"",3A,"Leah Thompson, Catlin Gabel ............ 4:55.70"
"",2A,"Ashley Baldovino, Lakeview ................ 4:54.89"
"",1A,"Abi Wynn, Triangle Lake ..................... 4:58.98"
3000m Run,6A,"Annamarie Maag, Jesuit ..................... 9:57.97"
"",5A,"Megan Fristoe, Summit ..................... 10:23.08"
"",4A,"Allie Sibole, Marist ............................ 10:29.97"
"",3A,"Leah Thompson, Catlin Gabel .......... 11:02.69"
"",2A,"Ashley Baldovino, Lakeview .............. 10:33.12"
"",1A,"Becca Anna, Southwest Christian ..... 11:08.89"
100m H,6A,"Garmai Gorlorwulu, Jesuit ...................... 14.77"
"",5A,"Olivia Ferrara, Liberty ............................ 14.67"
"",4A,"Maria Kropf, Sweet Home ...................... 14.92"
"",3A,"Payton Hummell, Warrenton .................. 15.98"
"",2A,"Alexis Arnold, Portland Christian ............ 15.46"
"",1A,"Kristan Holding, Damascus Christian ..... 15.74"
300m H,6A,"Jazmin Ratcliff, Benson ......................... 43.58"
"",5A,"Olivia Ferrara, Liberty ............................ 44.22"
"",4A,"Claire Thomas, Molalla .......................... 46.09"
"",3A,"Penny Irving, Colton ............................... 47.77"
"",2A,"Erin Price, Heppner ................................ 47.09"
"",1A,"September O’Crowley, Crane ................ 48.47"
4x100m R,6A,JESUIT .................................................. 48.32
"",,"(Gorlorwulu, Halliburton, Ritacco, Gambee)"
"",5A,PENDLETON ........................................ 49.21
"",,"(Wyss, O’Neill, Torres, Zodrow)"
"",4A,SWEET HOME ...................................... 49.85
"",,"(Snow, Stewart, Whitfield, Kropf)"
"",3A,CATLIN GABEL ..................................... 50.34
"",,"(Morton, Hurst, Edwards, Miller)"
"",2A,ST. MARY’S .......................................... 50.59
"",,"(Martin, Steinsiek, Rostel, Krieser)"
"",1A,ADRIAN ................................................. 53.35
"",,"(Walker, Orosco, Combe, Orosco)"
4x400m R,6A,CANBY ............................................... 3:55.71
"",,"(Gent, Gillespie, Fowler, Fricker)"
"",5A,SUMMIT ............................................. 3:58.33
"",,"(Slater, West, Teller, Schueler)"
"",4A,PHILOMATH ...................................... 4:00.57
"",,"(McLaren, Marshall, Hellesto, Grunwald)"
"",3A,BURNS ............................................... 4:03.51
"",,"(Ribeiro, Jen Higle, Jamie Higle, Dinsmore)"
"",2A,ST. MARY’S ....................................... 4:00.92
"",,"(Martin Krieser, Steinsiek, Bennion)"
"",1A,CRANE ............................................... 4:16.70
"",,"(Milburn, Jenkins, Bentz, O’Crowley)"
Long Jump,6A,"Kaleigh Morrison, Tigard .................... 17-10.5"
"",5A,"Iris Anderson, North Eugene .............. 17-5.25"
"",4A,"Annie Mutchler, Sisters ..................... 16-11.25"
"",3A,"Eloise Miller, Catlin Gabel ..................... 17-10"
"",2A,"Mackenzie Krieser, St. Mary’s .............. 16-6.5"
