"State","Year","Gender","Event","Class","Mark","Mark.Note"
"Oregon",2018,"Girls","100m","3A","12.66","1.0"
"Oregon",2018,"Girls","800m","3A","2:19.82",""
"Oregon",2018,"Girls","1500m","3A","4:33.32",""
"Oregon",2018,"Girls","High Jump","3A","5-06.00","1.6"
"Oregon",2018,"Girls","Pole Vault","3A","11-04.25","3.4"
"Oregon",2018,"Girls","100m","4A","12.22","1.2"
"Oregon",2018,"Girls","800m","4A","2:18.54",""
"Oregon",2018,"Girls","1500m","4A","4:39.83",""
"Oregon",2018,"Girls","High Jump","4A","5-06.00","1.6"
"Oregon",2018,"Girls","Pole Vault","4A","11-00.25","3.3"
"Oregon",2018,"Girls","100m","5A","12.27","1.9"
"Oregon",2018,"Girls","800m","5A","2:14.76",""
"Oregon",2018,"Girls","1500m","5A","4:39.32",""
"Oregon",2018,"Girls","High Jump","5A","5-07.00","1.7"
"Oregon",2018,"Girls","Pole Vault","5A","11-06.25","3.5"
"Oregon",2018,"Girls","100m","6A","12.00","1.2"
"Oregon",2018,"Girls","800m","6A","2:11.72",""
"Oregon",2018,"Girls","1500m","6A","4:26.47",""
"Oregon",2018,"Girls","High Jump","6A","5-05.00","1.6"
"Oregon",2018,"Girls","Pole Vault","6A","11-09.00","3.5"
"Oregon",2018,"Boys","100m","1A","11.27","2.1"
"Oregon",2018,"Boys","800m","1A","2:02.23",""
"Oregon",2018,"Boys","1500m","1A","4:00.40",""
"Oregon",2018,"Boys","High Jump","1A","6-02.00","1.8"
"Oregon",2018,"Boys","Pole Vault","1A","12-06.00","3.8"
"Oregon",2018,"Boys","100m","2A","11.41","1.8"
"Oregon",2018,"Boys","800m","2A","2:00.31",""
"Oregon",2018,"Boys","1500m","2A","4:07.73",""
"Oregon",2018,"Boys","High Jump","2A","6-02.00","1.8"
"Oregon",2018,"Boys","Pole Vault","2A","14-00.00","4.2"
"Oregon",2018,"Boys","100m","3A","10.70","2.1"
"Oregon",2018,"Boys","800m","3A","1:58.87",""
"Oregon",2018,"Boys","1500m","3A","4:08.58",""
"Oregon",2018,"Boys","High Jump","3A","6-05.00","1.9"
"Oregon",2018,"Boys","Pole Vault","3A","13-00.00","3.9"
"Oregon",2018,"Boys","100m","4A","10.84","1.7"
