"State","Year","Gender","Event","Class","Mark","Mark.Note"
"Oregon",2012,"Girls","High Jump","1A","5-05.00",""
"Oregon",2012,"Girls","Pole Vault","1A","9-00.00",""
"Oregon",2012,"Boys","100m","3A","11.22","0.3"
"Oregon",2012,"Boys","800m","3A","2:00.21",""
"Oregon",2012,"Boys","1500m","3A","4:05.10",""
"Oregon",2012,"Boys","High Jump","3A","6-01.00",""
"Oregon",2012,"Boys","Pole Vault","3A","12-06.00",""
"Oregon",2012,"Boys","100m","2A","11.22","1.6"
"Oregon",2012,"Boys","800m","2A","1:59.01",""
"Oregon",2012,"Boys","1500m","2A","4:04.24",""
"Oregon",2012,"Boys","High Jump","2A","6-02.00",""
"Oregon",2012,"Boys","Pole Vault","2A","13-00.00",""
"Oregon",2012,"Boys","100m","1A","11.27","1.4"
"Oregon",2012,"Boys","800m","1A","1:57.83",""
"Oregon",2012,"Boys","1500m","1A","4:08.59",""
"Oregon",2012,"Boys","High Jump","1A","6-07.00",""
"Oregon",2012,"Boys","Pole Vault","1A","13-06.00",""
"Oregon",2007,"Boys","100m",NA,"10.65",""
"Oregon",2007,"Boys","100m",NA,"10.99",""
"Oregon",2007,"Boys","100m",NA,"10.79",""
"Oregon",2007,"Boys","100m",NA,"11.02",""
"Oregon",2007,"Boys","100m",NA,"11.38",""
"Oregon",2007,"Boys","100m",NA,"11.40",""
"Oregon",2007,"Boys","800m",NA,"1:52.64",""
"Oregon",2007,"Boys","800m",NA,"1:56.57",""
"Oregon",2007,"Boys","800m",NA,"1:55.47",""
"Oregon",2007,"Boys","800m",NA,"1:55.91",""
"Oregon",2007,"Boys","800m",NA,"1:57.78",""
"Oregon",2007,"Boys","800m",NA,"1:58.19",""
"Oregon",2007,"Boys","1500m",NA,"3:57.76",""
"Oregon",2007,"Boys","1500m",NA,"4:01.09",""
"Oregon",2007,"Boys","1500m",NA,"4:00.10",""
"Oregon",2007,"Boys","1500m",NA,"4:03.17",""
"Oregon",2007,"Boys","1500m",NA,"4:07.05",""
"Oregon",2007,"Boys","1500m",NA,"4:11.40",""
"Oregon",2007,"Boys","High Jump",NA,"6-10",""
"Oregon",2007,"Boys","High Jump",NA,"7-0.5",""
"Oregon",2007,"Boys","High Jump",NA,"6-5",""
"Oregon",2007,"Boys","High Jump",NA,"6-2",""
"Oregon",2007,"Boys","High Jump",NA,"6-7",""
"Oregon",2007,"Boys","High Jump",NA,"6-5",""
"Oregon",2007,"Boys","Pole Vault",NA,"15-7",""
"Oregon",2007,"Boys","Pole Vault",NA,"15-4",""
"Oregon",2007,"Boys","Pole Vault",NA,"14-6",""
"Oregon",2007,"Boys","Pole Vault",NA,"14-9",""
"Oregon",2007,"Boys","Pole Vault",NA,"15-6",""
"Oregon",2007,"Boys","Pole Vault",NA,"13-6.5",""
"Oregon",2008,"Boys","100m",NA,"10.63",""
"Oregon",2008,"Boys","100m",NA,"11.00",""
"Oregon",2008,"Boys","100m",NA,"11.02",""
"Oregon",2008,"Boys","100m",NA,"11.38",""
"Oregon",2008,"Boys","100m",NA,"11.45",""
"Oregon",2008,"Boys","100m",NA,"11.40",""
"Oregon",2008,"Boys","800m",NA,"1:50.60",""
"Oregon",2008,"Boys","800m",NA,"1:55.85",""
"Oregon",2008,"Boys","800m",NA,"1:54.71",""
"Oregon",2008,"Boys","800m",NA,"1:59.90",""
"Oregon",2008,"Boys","800m",NA,"2:02.50",""
"Oregon",2008,"Boys","800m",NA,"1:58.57",""
"Oregon",2008,"Boys","1500m",NA,"3:53.28",""
"Oregon",2008,"Boys","1500m",NA,"3:55.17",""
"Oregon",2008,"Boys","1500m",NA,"3:58.53",""
"Oregon",2008,"Boys","1500m",NA,"4:14.16",""
"Oregon",2008,"Boys","1500m",NA,"4:00.10",""
"Oregon",2008,"Boys","1500m",NA,"4:05.80",""
"Oregon",2008,"Boys","High Jump",NA,"6-10 ",""
"Oregon",2008,"Boys","High Jump",NA,"6-8 ",""
"Oregon",2008,"Boys","High Jump",NA,"6-9 ",""
"Oregon",2008,"Boys","High Jump",NA,"6-4 ",""
"Oregon",2008,"Boys","High Jump",NA,"6-6 ",""
"Oregon",2008,"Boys","High Jump",NA,"6-4 ",""
"Oregon",2008,"Boys","Pole Vault",NA,"15-3 ",""
"Oregon",2008,"Boys","Pole Vault",NA,"15-5 ",""
"Oregon",2008,"Boys","Pole Vault",NA,"16-0 ",""
"Oregon",2008,"Boys","Pole Vault",NA,"14-0 ",""
"Oregon",2008,"Boys","Pole Vault",NA,"13-6 ",""
"Oregon",2008,"Boys","Pole Vault",NA,"14-0 ",""
"Oregon",2009,"Boys","100m",NA,"10.75 ",""
"Oregon",2009,"Boys","100m",NA,"10.90 ",""
"Oregon",2009,"Boys","100m",NA,"10.88 ",""
"Oregon",2009,"Boys","100m",NA,"11.14 ",""
"Oregon",2009,"Boys","100m",NA,"10.93 ",""
"Oregon",2009,"Boys","100m",NA,"11.03 ",""
"Oregon",2009,"Boys","800m",NA,"1:59.51 ",""
"Oregon",2009,"Boys","800m",NA,"1:56.27 ",""
"Oregon",2009,"Boys","800m",NA,"1:57.05 ",""
"Oregon",2009,"Boys","800m",NA,"1:56.85 ",""
"Oregon",2009,"Boys","800m",NA,"2:00.92 ",""
"Oregon",2009,"Boys","800m",NA,"2:00.50 ",""
"Oregon",2009,"Boys","1500m",NA,"3:50.56 ",""
"Oregon",2009,"Boys","1500m",NA,"4:02.64 ",""
"Oregon",2009,"Boys","1500m",NA,"3:57.14 ",""
"Oregon",2009,"Boys","1500m",NA,"4:06.32 ",""
"Oregon",2009,"Boys","1500m",NA,"4:11.90 ",""
"Oregon",2009,"Boys","1500m",NA,"4:10.39 ",""
"Oregon",2009,"Boys","High Jump",NA,"6-8",""
"Oregon",2009,"Boys","High Jump",NA,"6-7",""
"Oregon",2009,"Boys","High Jump",NA,"6-5",""
"Oregon",2009,"Boys","High Jump",NA,"6-4",""
"Oregon",2009,"Boys","High Jump",NA,"6-6",""
"Oregon",2009,"Boys","High Jump",NA,"6-3",""
"Oregon",2009,"Boys","Pole Vault",NA,"16-3",""
"Oregon",2009,"Boys","Pole Vault",NA,"14-0",""
"Oregon",2009,"Boys","Pole Vault",NA,"15-6",""
"Oregon",2009,"Boys","Pole Vault",NA,"13-6",""
"Oregon",2009,"Boys","Pole Vault",NA,"14-10",""
"Oregon",2009,"Boys","Pole Vault",NA,"12-3",""
"Oregon",2010,"Boys","100m",NA,"10.42",""
"Oregon",2010,"Boys","100m",NA,"10.93",""
"Oregon",2010,"Boys","100m",NA,"10.72",""
"Oregon",2010,"Boys","100m",NA,"11.33",""
"Oregon",2010,"Boys","100m",NA,"11.18",""
"Oregon",2010,"Boys","100m",NA,"11.35",""
"Oregon",2010,"Boys","800m",NA,"1:57.04",""
"Oregon",2010,"Boys","800m",NA,"1:57.16",""
"Oregon",2010,"Boys","800m",NA,"1:56.37",""
"Oregon",2010,"Boys","800m",NA,"1:56.86",""
"Oregon",2010,"Boys","800m",NA,"2:01.33",""
"Oregon",2010,"Boys","800m",NA,"2:16.38",""
"Oregon",2010,"Boys","1500m",NA,"3:58.72",""
"Oregon",2010,"Boys","1500m",NA,"4:01.39",""
"Oregon",2010,"Boys","1500m",NA,"4:05.31",""
"Oregon",2010,"Boys","1500m",NA,"3:55.76",""
"Oregon",2010,"Boys","1500m",NA,"4:13.11",""
"Oregon",2010,"Boys","1500m",NA,"4:13.06",""
"Oregon",2010,"Boys","High Jump",NA,"6-7",""
"Oregon",2010,"Boys","High Jump",NA,"6-6",""
"Oregon",2010,"Boys","High Jump",NA,"6-3",""
"Oregon",2010,"Boys","High Jump",NA,"6-0",""
"Oregon",2010,"Boys","High Jump",NA,"6-0",""
"Oregon",2010,"Boys","High Jump",NA,"5-10",""
"Oregon",2010,"Boys","Pole Vault",NA,"17-0.75",""
"Oregon",2010,"Boys","Pole Vault",NA,"14-6",""
"Oregon",2010,"Boys","Pole Vault",NA,"15-0",""
"Oregon",2010,"Boys","Pole Vault",NA,"13-0",""
"Oregon",2010,"Boys","Pole Vault",NA,"13-6",""
"Oregon",2010,"Boys","Pole Vault",NA,"13-10",""
"Oregon",2011,"Boys","100m",NA,"10.48",""
"Oregon",2011,"Boys","100m",NA,"10.83",""
"Oregon",2011,"Boys","100m",NA,"11.00",""
"Oregon",2011,"Boys","100m",NA,"11.20",""
"Oregon",2011,"Boys","100m",NA,"11.16",""
"Oregon",2011,"Boys","100m",NA,"11.01",""
"Oregon",2011,"Boys","800m",NA,"1:53.09",""
"Oregon",2011,"Boys","800m",NA,"1:56.51",""
"Oregon",2011,"Boys","800m",NA,"1:56.28",""
"Oregon",2011,"Boys","800m",NA,"1:59.68",""
"Oregon",2011,"Boys","800m",NA,"1:58.91",""
"Oregon",2011,"Boys","800m",NA,"2:01.34",""
"Oregon",2011,"Boys","1500m",NA,"3:57.92",""
"Oregon",2011,"Boys","1500m",NA,"4:04.28",""
"Oregon",2011,"Boys","1500m",NA,"4:06.59",""
"Oregon",2011,"Boys","1500m",NA,"4:00.21",""
"Oregon",2011,"Boys","1500m",NA,"4:12.75",""
"Oregon",2011,"Boys","1500m",NA,"4:08.98",""
"Oregon",2011,"Boys","High Jump",NA,"6-6",""
"Oregon",2011,"Boys","High Jump",NA,"6-5",""
"Oregon",2011,"Boys","High Jump",NA,"6-5",""
"Oregon",2011,"Boys","High Jump",NA,"6-4",""
"Oregon",2011,"Boys","High Jump",NA,"6-3",""
"Oregon",2011,"Boys","High Jump",NA,"6-2",""
"Oregon",2011,"Boys","Pole Vault",NA,"16-4.75",""
"Oregon",2011,"Boys","Pole Vault",NA,"14-6",""
"Oregon",2011,"Boys","Pole Vault",NA,"15-6",""
"Oregon",2011,"Boys","Pole Vault",NA,"13-6",""
"Oregon",2011,"Boys","Pole Vault",NA,"14-1",""
"Oregon",2011,"Boys","Pole Vault",NA,"13-6",""
"Oregon",2007,"Girls","100m",NA,"11.90",""
"Oregon",2007,"Girls","100m",NA,"12.12",""
"Oregon",2007,"Girls","100m",NA,"12.40",""
"Oregon",2007,"Girls","100m",NA,"12.85",""
"Oregon",2007,"Girls","100m",NA,"13.05",""
"Oregon",2007,"Girls","100m",NA,"13.29",""
"Oregon",2007,"Girls","800m",NA,"2:17.92",""
"Oregon",2007,"Girls","800m",NA,"2:16.89",""
"Oregon",2007,"Girls","800m",NA,"2:14.35",""
"Oregon",2007,"Girls","800m",NA,"2:17.96",""
"Oregon",2007,"Girls","800m",NA,"2:21.65",""
"Oregon",2007,"Girls","800m",NA,"2:29.54",""
"Oregon",2007,"Girls","1500m",NA,"4:37.91",""
"Oregon",2007,"Girls","1500m",NA,"4:50.92",""
"Oregon",2007,"Girls","1500m",NA,"4:43.34",""
"Oregon",2007,"Girls","1500m",NA,"4:49.65",""
"Oregon",2007,"Girls","1500m",NA,"4:53.73",""
"Oregon",2007,"Girls","1500m",NA,"5:03.80",""
"Oregon",2007,"Girls","High Jump",NA,"5-5 ",""
"Oregon",2007,"Girls","High Jump",NA,"5-6 ",""
"Oregon",2007,"Girls","High Jump",NA,"5-4 ",""
"Oregon",2007,"Girls","High Jump",NA,"5-5 ",""
"Oregon",2007,"Girls","High Jump",NA,"5-3 ",""
"Oregon",2007,"Girls","High Jump",NA,"5-1 ",""
"Oregon",2007,"Girls","Pole Vault",NA,"12-0 ",""
"Oregon",2007,"Girls","Pole Vault",NA,"11-9 ",""
"Oregon",2007,"Girls","Pole Vault",NA,"10-8 ",""
"Oregon",2007,"Girls","Pole Vault",NA,"10-3 ",""
"Oregon",2007,"Girls","Pole Vault",NA,"10-3 ",""
"Oregon",2007,"Girls","Pole Vault",NA,"9-6 ",""
"Oregon",2008,"Girls","100m",NA,"12.11 ",""
"Oregon",2008,"Girls","100m",NA,"12.01 ",""
"Oregon",2008,"Girls","100m",NA,"12.24 ",""
"Oregon",2008,"Girls","100m",NA,"12.64 ",""
"Oregon",2008,"Girls","100m",NA,"12.95 ",""
"Oregon",2008,"Girls","100m",NA,"13.26 ",""
"Oregon",2008,"Girls","800m",NA,"2:14.78 ",""
"Oregon",2008,"Girls","800m",NA,"2:12.00 ",""
"Oregon",2008,"Girls","800m",NA,"2:17.74 ",""
"Oregon",2008,"Girls","800m",NA,"2:17.64 ",""
"Oregon",2008,"Girls","800m",NA,"2:18.46 ",""
"Oregon",2008,"Girls","800m",NA,"2:21.71 ",""
"Oregon",2008,"Girls","1500m",NA,"4:42.32 ",""
"Oregon",2008,"Girls","1500m",NA,"4:42.90 ",""
"Oregon",2008,"Girls","1500m",NA,"4:33.79 ",""
"Oregon",2008,"Girls","1500m",NA,"4:56.87 ",""
"Oregon",2008,"Girls","1500m",NA,"4:55.26 ",""
"Oregon",2008,"Girls","1500m",NA,"4:58.33 ",""
"Oregon",2008,"Girls","High Jump",NA,"5-5 ",""
"Oregon",2008,"Girls","High Jump",NA,"5-6 ",""
"Oregon",2008,"Girls","High Jump",NA,"5-5 ",""
"Oregon",2008,"Girls","High Jump",NA,"5-4 ",""
"Oregon",2008,"Girls","High Jump",NA,"5-2 ",""
"Oregon",2008,"Girls","High Jump",NA,"5-1 ",""
"Oregon",2008,"Girls","Pole Vault",NA,"12-7 ",""
"Oregon",2008,"Girls","Pole Vault",NA,"11-9 ",""
"Oregon",2008,"Girls","Pole Vault",NA,"10-9 ",""
"Oregon",2008,"Girls","Pole Vault",NA,"11-6 ",""
"Oregon",2008,"Girls","Pole Vault",NA,"8-0 ",""
"Oregon",2008,"Girls","Pole Vault",NA,"9-6 ",""
"Oregon",2009,"Girls","100m",NA,"11.84 ",""
"Oregon",2009,"Girls","100m",NA,"11.78 ",""
"Oregon",2009,"Girls","100m",NA,"12.24 ",""
"Oregon",2009,"Girls","100m",NA,"12.78 ",""
"Oregon",2009,"Girls","100m",NA,"12.73 ",""
"Oregon",2009,"Girls","100m",NA,"13.12 ",""
"Oregon",2009,"Girls","800m",NA,"2:16.32 ",""
"Oregon",2009,"Girls","800m",NA,"2:12.96 ",""
"Oregon",2009,"Girls","800m",NA,"2:20.20 ",""
"Oregon",2009,"Girls","800m",NA,"2:17.97 ",""
"Oregon",2009,"Girls","800m",NA,"2:18.71 ",""
"Oregon",2009,"Girls","800m",NA,"2:22.62 ",""
"Oregon",2009,"Girls","1500m",NA,"4:33.17 ",""
"Oregon",2009,"Girls","1500m",NA,"4:32.02 ",""
"Oregon",2009,"Girls","1500m",NA,"4:33.83 ",""
"Oregon",2009,"Girls","1500m",NA,"4:40.80 ",""
"Oregon",2009,"Girls","1500m",NA,"4:57.52 ",""
"Oregon",2009,"Girls","1500m",NA,"5:02.97 ",""
"Oregon",2009,"Girls","High Jump",NA,"5-5 ",""
"Oregon",2009,"Girls","High Jump",NA,"5-3 ",""
"Oregon",2009,"Girls","High Jump",NA,"5-4 ",""
"Oregon",2009,"Girls","High Jump",NA,"5-2 ",""
"Oregon",2009,"Girls","High Jump",NA,"5-1 ",""
"Oregon",2009,"Girls","High Jump",NA,"5-2 ",""
"Oregon",2009,"Girls","Pole Vault",NA,"11-3 ",""
"Oregon",2009,"Girls","Pole Vault",NA,"12-9.5 ",""
"Oregon",2009,"Girls","Pole Vault",NA,"12-0 ",""
"Oregon",2009,"Girls","Pole Vault",NA,"9-6 ",""
"Oregon",2009,"Girls","Pole Vault",NA,"9-4 ",""
"Oregon",2009,"Girls","Pole Vault",NA,"9-3 ",""
"Oregon",2010,"Girls","100m",NA,"12.06 ",""
"Oregon",2010,"Girls","100m",NA,"12.25 ",""
"Oregon",2010,"Girls","100m",NA,"12.29 ",""
"Oregon",2010,"Girls","100m",NA,"12.74 ",""
"Oregon",2010,"Girls","100m",NA,"12.68 ",""
"Oregon",2010,"Girls","100m",NA,"13.21 ",""
"Oregon",2010,"Girls","800m",NA,"2:10.95 ",""
"Oregon",2010,"Girls","800m",NA,"2:16.95 ",""
"Oregon",2010,"Girls","800m",NA,"2:16.81 ",""
"Oregon",2010,"Girls","800m",NA,"2:19.57 ",""
"Oregon",2010,"Girls","800m",NA,"2:16.09 ",""
"Oregon",2010,"Girls","800m",NA,"2:25.06 ",""
"Oregon",2010,"Girls","1500m",NA,"4:36.54 ",""
"Oregon",2010,"Girls","1500m",NA,"4:45.65 ",""
"Oregon",2010,"Girls","1500m",NA,"4:47.46 ",""
"Oregon",2010,"Girls","1500m",NA,"4:55.70 ",""
"Oregon",2010,"Girls","1500m",NA,"4:54.89 ",""
"Oregon",2010,"Girls","1500m",NA,"4:58.98 ",""
"Oregon",2010,"Girls","High Jump",NA,"5-6 ",""
"Oregon",2010,"Girls","High Jump",NA,"5-5 ",""
"Oregon",2010,"Girls","High Jump",NA,"5-7 ",""
"Oregon",2010,"Girls","High Jump",NA,"5-4 ",""
"Oregon",2010,"Girls","High Jump",NA,"5-2 ",""
"Oregon",2010,"Girls","High Jump",NA,"5-2 ",""
"Oregon",2010,"Girls","Pole Vault",NA,"12-0 ",""
"Oregon",2010,"Girls","Pole Vault",NA,"11-9 ",""
"Oregon",2010,"Girls","Pole Vault",NA,"12-5 ",""
"Oregon",2010,"Girls","Pole Vault",NA,"9-9 ",""
"Oregon",2010,"Girls","Pole Vault",NA,"10-0 ",""
"Oregon",2010,"Girls","Pole Vault",NA,"9-0 ",""
"Oregon",2011,"Girls","100m",NA,"11.96 ",""
"Oregon",2011,"Girls","100m",NA,"12.26 ",""
"Oregon",2011,"Girls","100m",NA,"12.19 ",""
"Oregon",2011,"Girls","100m",NA,"12.51 ",""
"Oregon",2011,"Girls","100m",NA,"12.91 ",""
"Oregon",2011,"Girls","100m",NA,"12.88 ",""
"Oregon",2011,"Girls","800m",NA,"2:13.75 ",""
"Oregon",2011,"Girls","800m",NA,"2:14.37 ",""
"Oregon",2011,"Girls","800m",NA,"2:21.02 ",""
"Oregon",2011,"Girls","800m",NA,"2:20.94 ",""
"Oregon",2011,"Girls","800m",NA,"2:24.28 ",""
"Oregon",2011,"Girls","800m",NA,"2:24.36 ",""
"Oregon",2011,"Girls","1500m",NA,"4:37.03 ",""
"Oregon",2011,"Girls","1500m",NA,"4:41.27 ",""
"Oregon",2011,"Girls","1500m",NA,"4:46.49 ",""
"Oregon",2011,"Girls","1500m",NA,"4:53.70 ",""
"Oregon",2011,"Girls","1500m",NA,"5:02.92 ",""
"Oregon",2011,"Girls","1500m",NA,"5:00.71 ",""
"Oregon",2011,"Girls","High Jump",NA,"5-5 ",""
"Oregon",2011,"Girls","High Jump",NA,"5-7 ",""
"Oregon",2011,"Girls","High Jump",NA,"5-10 ",""
"Oregon",2011,"Girls","High Jump",NA,"5-5 ",""
"Oregon",2011,"Girls","High Jump",NA,"5-3 ",""
"Oregon",2011,"Girls","High Jump",NA,"5-3 ",""
"Oregon",2011,"Girls","Pole Vault",NA,"12-4 ",""
"Oregon",2011,"Girls","Pole Vault",NA,"11-6 ",""
"Oregon",2011,"Girls","Pole Vault",NA,"11-3 ",""
"Oregon",2011,"Girls","Pole Vault",NA,"10-6 ",""
"Oregon",2011,"Girls","Pole Vault",NA,"10-6 ",""
"Oregon",2011,"Girls","Pole Vault",NA,"8-9 ",""
"Oregon",1978,"Boys","100m",NA,"10.5",""
"Oregon",1979,"Boys","100m",NA,"10.67",""
"Oregon",1980,"Boys","100m",NA,"10.64",""
"Oregon",1981,"Boys","100m",NA,"10.89",""
"Oregon",1982,"Boys","100m",NA,"10.64",""
"Oregon",1983,"Boys","100m",NA,"10.80","w"
"Oregon",1984,"Boys","100m",NA,"10.55","w"
"Oregon",1985,"Boys","100m",NA,"10.69",""
"Oregon",1986,"Boys","100m",NA,"10.60","w"
"Oregon",1987,"Boys","100m",NA,"11.18",""
"Oregon",1988,"Boys","100m",NA,"10.90",""
"Oregon",1989,"Boys","100m",NA,"10.96",""
"Oregon",1990,"Boys","100m",NA,"10.93",""
"Oregon",1991,"Boys","100m",NA,"10.87",""
"Oregon",1992,"Boys","100m",NA,"10.90","w"
"Oregon",1993,"Boys","100m",NA,"10.90",""
"Oregon",1994,"Boys","100m",NA,"11.31",""
"Oregon",1995,"Boys","100m",NA,"10.87","w"
"Oregon",1996,"Boys","100m",NA,"10.85",""
"Oregon",1997,"Boys","100m",NA,"10.81","w"
"Oregon",1998,"Boys","100m",NA,"10.71","w"
"Oregon",1999,"Boys","100m",NA,"10.79","w"
"Oregon",2000,"Boys","100m",NA,"10.85",""
"Oregon",2001,"Boys","100m",NA,"10.84",""
"Oregon",2002,"Boys","100m",NA,"10.54","w"
"Oregon",2003,"Boys","100m",NA,"10.88",""
"Oregon",2004,"Boys","100m",NA,"11.17",""
"Oregon",2005,"Boys","100m",NA,"10.87",""
"Oregon",2006,"Boys","100m",NA,"11.08",""
"Oregon",1978,"Boys","800m",NA,"1:53.16",""
"Oregon",1979,"Boys","800m",NA,"1:50.73",""
"Oregon",1980,"Boys","800m",NA,"1:52.40",""
"Oregon",1981,"Boys","800m",NA,"1:53.60",""
"Oregon",1982,"Boys","800m",NA,"1:53.76",""
"Oregon",1983,"Boys","800m",NA,"1:53.90",""
"Oregon",1984,"Boys","800m",NA,"1:54.11",""
"Oregon",1985,"Boys","800m",NA,"1:53.01",""
"Oregon",1986,"Boys","800m",NA,"1:54.03",""
"Oregon",1987,"Boys","800m",NA,"1:53.81",""
"Oregon",1988,"Boys","800m",NA,"1:51.97",""
"Oregon",1989,"Boys","800m",NA,"1:54.68",""
"Oregon",1990,"Boys","800m",NA,"1:53.61",""
"Oregon",1991,"Boys","800m",NA,"1:55.17",""
"Oregon",1992,"Boys","800m",NA,"1:53.20",""
"Oregon",1993,"Boys","800m",NA,"1:52.44",""
"Oregon",1994,"Boys","800m",NA,"1:54.93",""
"Oregon",1995,"Boys","800m",NA,"1:53.95",""
"Oregon",1996,"Boys","800m",NA,"1:56.03",""
"Oregon",1997,"Boys","800m",NA,"1:55.49",""
"Oregon",1998,"Boys","800m",NA,"1:55.21",""
"Oregon",1999,"Boys","800m",NA,"1:55.93",""
"Oregon",2000,"Boys","800m",NA,"1:55.59",""
"Oregon",2001,"Boys","800m",NA,"1:50.74",""
"Oregon",2002,"Boys","800m",NA,"1:52.19",""
"Oregon",2003,"Boys","800m",NA,"1:51.27",""
"Oregon",2004,"Boys","800m",NA,"1:51.63",""
"Oregon",2005,"Boys","800m",NA,"1:52.52",""
"Oregon",2006,"Boys","800m",NA,"1:50.67",""
"Oregon",1978,"Boys","1500m",NA,"3:52.90",""
"Oregon",1979,"Boys","1500m",NA,"3:50.80",""
"Oregon",1980,"Boys","1500m",NA,"3:54.49",""
"Oregon",1981,"Boys","1500m",NA,"3:51.93",""
"Oregon",1982,"Boys","1500m",NA,"3:51.74",""
"Oregon",1983,"Boys","1500m",NA,"3:52.94",""
"Oregon",1984,"Boys","1500m",NA,"3:54.82",""
"Oregon",1985,"Boys","1500m",NA,"3:55.15",""
"Oregon",1986,"Boys","1500m",NA,"3:56.94",""
"Oregon",1987,"Boys","1500m",NA,"3:57.1",""
"Oregon",1988,"Boys","1500m",NA,"3:51.31",""
"Oregon",1989,"Boys","1500m",NA,"3:56.50",""
"Oregon",1990,"Boys","1500m",NA,"3:55.89",""
"Oregon",1991,"Boys","1500m",NA,"4:00.25",""
"Oregon",1992,"Boys","1500m",NA,"3:53.51",""
"Oregon",1993,"Boys","1500m",NA,"3:54.65",""
"Oregon",1994,"Boys","1500m",NA,"3:59.44",""
"Oregon",1995,"Boys","1500m",NA,"3:56.89",""
"Oregon",1996,"Boys","1500m",NA,"3:56.06",""
"Oregon",1997,"Boys","1500m",NA,"3:57.61",""
"Oregon",1998,"Boys","1500m",NA,"3:55.26",""
"Oregon",1999,"Boys","1500m",NA,"3:57.41",""
"Oregon",2000,"Boys","1500m",NA,"3:51.00",""
"Oregon",2001,"Boys","1500m",NA,"3:57.14",""
"Oregon",2002,"Boys","1500m",NA,"3:50.49",""
"Oregon",2003,"Boys","1500m",NA,"3:51.39",""
"Oregon",2004,"Boys","1500m",NA,"3:49.76",""
"Oregon",2005,"Boys","1500m",NA,"3:53.03",""
"Oregon",2006,"Boys","1500m",NA,"3:55.23",""
"Oregon",1927,"Boys","High Jump",NA,"5-9 3⁄4",""
"Oregon",1928,"Boys","High Jump",NA,"5-10 1⁄4",""
"Oregon",1929,"Boys","High Jump",NA,"5-9",""
"Oregon",1929,"Boys","High Jump",NA,"5-9",""
"Oregon",1930,"Boys","High Jump",NA,"5-6",""
"Oregon",1931,"Boys","High Jump",NA,"5-10",""
"Oregon",1932,"Boys","High Jump",NA,"5-10",""
"Oregon",1932,"Boys","High Jump",NA,"5-10",""
"Oregon",1933,"Boys","High Jump",NA,"6-0 1⁄4",""
"Oregon",1933,"Boys","High Jump",NA,"6-0 1⁄4",""
"Oregon",1934,"Boys","High Jump",NA,"6-1 5/8",""
"Oregon",1935,"Boys","High Jump",NA,"5-10 1⁄2",""
"Oregon",1935,"Boys","High Jump",NA,"5-10 1⁄2",""
"Oregon",1936,"Boys","High Jump",NA,"5-10",""
"Oregon",1937,"Boys","High Jump",NA,"5-10",""
"Oregon",1938,"Boys","High Jump",NA,"5-11 9/16",""
"Oregon",1939,"Boys","High Jump",NA,"6-0",""
"Oregon",1939,"Boys","High Jump",NA,"6-0",""
"Oregon",1940,"Boys","High Jump",NA,"6-1 1/8",""
"Oregon",1941,"Boys","High Jump",NA,"5-10 11/16",""
"Oregon",1942,"Boys","High Jump",NA,"6-0",""
"Oregon",1943,"Boys","High Jump",NA,"5-11",""
"Oregon",1944,"Boys","High Jump",NA,"6-1",""
"Oregon",1945,"Boys","High Jump",NA,"6-3",""
"Oregon",1946,"Boys","High Jump",NA,"5-9 3⁄4",""
"Oregon",1946,"Boys","High Jump",NA,"5-9 3⁄4",""
"Oregon",1946,"Boys","High Jump",NA,"5-9 3⁄4",""
"Oregon",1946,"Boys","High Jump",NA,"5-9 3⁄4",""
"Oregon",1947,"Boys","High Jump",NA,"6-0",""
"Oregon",1948,"Boys","High Jump",NA,"6-2 1⁄2",""
"Oregon",1949,"Boys","High Jump",NA,"5-10 5/8",""
"Oregon",1949,"Boys","High Jump",NA,"5-10 5/8",""
"Oregon",1949,"Boys","High Jump",NA,"5-10 5/8",""
"Oregon",1949,"Boys","High Jump",NA,"5-10 5/8",""
"Oregon",1950,"Boys","High Jump",NA,"6-0",""
"Oregon",1950,"Boys","High Jump",NA,"6-0",""
"Oregon",1950,"Boys","High Jump",NA,"6-0",""
"Oregon",1951,"Boys","High Jump",NA,"6-1 1⁄2",""
"Oregon",1952,"Boys","High Jump",NA,"6-1 1⁄2",""
"Oregon",1953,"Boys","High Jump",NA,"5-11 1⁄2",""
"Oregon",1954,"Boys","High Jump",NA,"5-11 1/8",""
"Oregon",1955,"Boys","High Jump",NA,"5-11 3⁄4",""
"Oregon",1956,"Boys","High Jump",NA,"6-1 3⁄4",""
"Oregon",1957,"Boys","High Jump",NA,"5-11",""
"Oregon",1957,"Boys","High Jump",NA,"5-11",""
"Oregon",1958,"Boys","High Jump",NA,"6-0 1⁄4",""
"Oregon",1958,"Boys","High Jump",NA,"6-0 1⁄4",""
"Oregon",1959,"Boys","High Jump",NA,"6-1 1⁄2",""
"Oregon",1960,"Boys","High Jump",NA,"6-3 1⁄2",""
"Oregon",1961,"Boys","High Jump",NA,"6-3 3⁄4",""
"Oregon",1962,"Boys","High Jump",NA,"6-5 3⁄4",""
"Oregon",1963,"Boys","High Jump",NA,"6-3 3⁄4",""
"Oregon",1964,"Boys","High Jump",NA,"6-5",""
"Oregon",1965,"Boys","High Jump",NA,"6-6 1⁄4",""
"Oregon",1966,"Boys","High Jump",NA,"6-2",""
"Oregon",1966,"Boys","High Jump",NA,"6-2",""
"Oregon",1967,"Boys","High Jump",NA,"6-3 1⁄4",""
"Oregon",1968,"Boys","High Jump",NA,"6-6",""
