"State","Year","Gender","Schools","Participation","Event","Mark","Mark.Note","Students","df","Count","Participation.Thousands"
"New York",1978,"Boys",637,19888,"1600m",251.7,NA,NA,8,651067,19.888
"New York",1978,"Boys",637,19888,"High Jump",2.032,NA,NA,8,651067,19.888
"New York",1978,"Boys",637,19888,"Pole Vault",4.4196,NA,NA,8,651067,19.888
"North Carolina",1978,"Boys",305,10704,"High Jump",2.0828,NA,NA,9,357525,10.704
"North Carolina",1978,"Boys",305,10704,"Pole Vault",4.5974,NA,NA,9,357525,10.704
"North Carolina",1978,"Boys",305,10704,"100m",10.7212,NA,NA,9,357525,10.704
"North Carolina",1978,"Boys",305,10704,"800m",114.611376,NA,NA,9,357525,10.704
"North Carolina",1978,"Boys",305,10704,"1600m",255.65853,NA,NA,9,357525,10.704
"Oklahoma",1978,"Boys",328,7216,"100m",11.2135,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"100m",11.47606,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"100m",10.81966,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"100m",10.74308,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"100m",11.2135,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"800m",115.615518,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"800m",120.89472,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"800m",120.357852,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"800m",118.647828,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"800m",121.501182,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"1600m",260.53011,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"1600m",272.669292,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"1600m",284.44062,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"1600m",284.122476,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"1600m",273.882216,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"High Jump",1.9812,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"High Jump",2.032,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"High Jump",1.9304,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"High Jump",1.9304,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"High Jump",2.032,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"Pole Vault",4.4196,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"Pole Vault",4.4958,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"Pole Vault",4.1148,NA,NA,11,141041,7.216
