State,Year,Gender,Schools,Participation
South Dakota,1980,Boys,207,5019
Tennessee,1980,Boys,208,7072
Texas,1980,Boys,1122,45141
Utah,1980,Boys,89,3003
Vermont,1980,Boys,24,831
Virginia,1980,Boys,273,9555
Washington,1980,Boys,309,9833
West Virginia,1980,Boys,119,3514
Wisconsin,1980,Boys,392,13159
Wyoming,1980,Boys,73,2000
Alabama,1980,Girls,200,1500
Alaska,1980,Girls,38,900
Arizona,1980,Girls,132,3536
Arkansas,1980,Girls,285,5130
California,1980,Girls,804,21055
Colorado,1980,Girls,243,9720
Connecticut,1980,Girls,113,5317
Delaware,1980,Girls,28,796
District Of Columbia,1980,Girls,15,450
Florida,1980,Girls,295,6017
Georgia,1980,Girls,303,6160
Hawaii,1980,Girls,82,1030
Idaho,1980,Girls,122,2266
Illinois,1980,Girls,654,23544
Indiana,1980,Girls,460,13300
Iowa,1980,Girls,NA,NA
Kansas,1980,Girls,376,18800
Kentucky,1980,Girls,201,4650
Louisiana,1980,Girls,322,3225
Maine,1980,Girls,105,1784
Maryland,1980,Girls,131,3126
Massachusetts,1980,Girls,204,7649
Michigan,1980,Girls,632,26544
Minnesota,1980,Girls,474,10818
Mississippi,1980,Girls,232,3480
Missouri,1980,Girls,377,11500
Montana,1980,Girls,180,7200
Nebraska,1980,Girls,368,6274
Nevada,1980,Girls,51,1300
New Hampshire,1980,Girls,40,1200
New Jersey,1980,Girls,285,12981
New Mexico,1980,Girls,119,2718
New York,1980,Girls,421,12672
North Carolina,1980,Girls,224,5807
North Dakota,1980,Girls,206,2645
Ohio,1980,Girls,730,19691
Oklahoma,1980,Girls,315,5700
Oregon,1980,Girls,232,5800
Pennsylvania,1980,Girls,345,10296
Rhode Island,1980,Girls,29,1062
South Carolina,1980,Girls,180,4800
South Dakota,1980,Girls,206,4525
Tennessee,1980,Girls,196,6076
Texas,1980,Girls,1116,44870
Utah,1980,Girls,89,1987
Vermont,1980,Girls,24,649
Virginia,1980,Girls,255,8925
Washington,1980,Girls,306,7474
West Virginia,1980,Girls,107,2351
Wisconsin,1980,Girls,394,11580
Wyoming,1980,Girls,73,1700
Paruclp.,1980,Girls,NA,NA
Alabama,1981,Boys,315,3000
Alaska,1981,Boys,48,1104
Arizona,1981,Boys,294,4410
Arkansas,1981,Boys,150,5526
California,1981,Boys,878,48909
Colorado,1981,Boys,246,9840
Connecticut,1981,Boys,168,6695
Delaware,1981,Boys,28,1184
District Of Columbia,1981,Boys,15,450
Florida,1981,Boys,334,9538
Georgia,1981,Boys,329,9093
Hawaii,1981,Boys,44,1800
Idaho,1981,Boys,119,2910
Illinois,1981,Boys,690,30360
Indiana,1981,Boys,394,13750
Iowa,1981,Boys,483,19320
Kansas,1981,Boys,374,18700
Kentucky,1981,Boys,233,4660
Louisiana,1981,Boys,352,7040
Maine,1981,Boys,117,2095
Maryland,1981,Boys,131,4519
Massachusetts,1981,Boys,205,8747
Michigan,1981,Boys,641,22650
Minnesota,1981,Boys,452,12235
Mississippi,1981,Boys,NA,NA
Missouri,1981,Boys,423,15575
Montana,1981,Boys,181,3769
Nebraska,1981,Boys,364,8644
