"Year","State","Students"
1994,"Florida",525569
1994,"Georgia",324879
1994,"Hawaii",48728
1994,"Idaho",69287
1994,"Illinois",503024
1994,"Indiana",282219
1994,"Iowa",142601
1994,"Kansas",127081
1994,"Kentucky",184356
1994,"Louisiana",202283
1994,"Maine",59632
1994,"Maryland",197072
1994,"Massachusetts",232208
1994,"Michigan",423081
1994,"Minnesota",233253
1994,"Mississippi",131112
1994,"Missouri",241874
1994,"Montana",46111
1994,"Nebraska",81671
1994,"Nevada",60727
1994,"New Hampshire",49098
1994,"New Jersey",288263
1994,"New Mexico",87768
1994,"New York",743933
1994,"North Carolina",305060
1994,"North Dakota",35000
1994,"Ohio",517122
1994,"Oklahoma",162511
1994,"Oregon",147819
1994,"Pennsylvania",496382
1994,"Rhode Island",38470
1994,"South Carolina",176745
1994,"South Dakota",39971
1994,"Tennessee",236542
1994,"Texas",927209
1994,"Utah",137235
1994,"Vermont",27377
1994,"Virginia",278009
1994,"Washington",255528
1994,"West Virginia",96264
1994,"Wisconsin",248284
1994,"Wyoming",29497
1995,"Alabama",201285
1995,"Alaska",33338
1995,"Arizona",194196
1995,"Arkansas",127437
1995,"California",1421547
1995,"Colorado",170200
1995,"Connecticut",131181
1995,"Delaware",29994
1995,"District Of Columbia",16950
1995,"Florida",541522
1995,"Georgia",336298
1995,"Hawaii",50083
1995,"Idaho",71561
1995,"Illinois",513525
1995,"Indiana",286639
1995,"Iowa",147945
1995,"Kansas",130730
1995,"Kentucky",187132
1995,"Louisiana",209228
1995,"Maine",56145
1995,"Maryland",203853
1995,"Massachusetts",235220
1995,"Michigan",424941
1995,"Minnesota",240267
1995,"Mississippi",132372
1995,"Missouri",247769
1995,"Montana",47424
1995,"Nebraska",84045
1995,"Nevada",65393
1995,"New Hampshire",50417
1995,"New Jersey",292484
1995,"New Mexico",89471
1995,"New York",746836
1995,"North Carolina",309304
1995,"North Dakota",35869
1995,"Ohio",519001
1995,"Oklahoma",166593
1995,"Oregon",149412
1995,"Pennsylvania",507639
1995,"Rhode Island",39416
1995,"South Carolina",179875
1995,"South Dakota",41356
1995,"Tennessee",240821
1995,"Texas",956548
1995,"Utah",141989
1995,"Vermont",28431
1995,"Virginia",286381
1995,"Washington",265207
1995,"West Virginia",96270
1995,"Wisconsin",259366
1995,"Wyoming",30184
1996,"Alabama",206840
1996,"Alaska",34184
1996,"Arizona",194744
1996,"Arkansas",129863
1996,"California",1464841
1996,"Colorado",176831
1996,"Connecticut",133657
1996,"Delaware",31433
1996,"District Of Columbia",16727
1996,"Florida",562712
1996,"Georgia",345419
1996,"Hawaii",51471
1996,"Idaho",73541
1996,"Illinois",518032
1996,"Indiana",290229
1996,"Iowa",152491
1996,"Kansas",133329
1996,"Kentucky",188412
1996,"Louisiana",211965
1996,"Maine",57086
1996,"Maryland",209073
1996,"Massachusetts",240419
1996,"Michigan",429799
1996,"Minnesota",249086
1996,"Mississippi",133121
1996,"Missouri",251696
1996,"Montana",49022
1996,"Nebraska",86722
1996,"Nevada",69130
1996,"New Hampshire",52400
1996,"New Jersey",296831
1996,"New Mexico",91418
1996,"New York",761509
1996,"North Carolina",311770
1996,"North Dakota",36767
1996,"Ohio",538702
1996,"Oklahoma",170011
1996,"Oregon",151386
1996,"Pennsylvania",518048
1996,"Rhode Island",39828
1996,"South Carolina",182281
1996,"South Dakota",42770
1996,"Tennessee",243169
1996,"Texas",990894
1996,"Utah",144919
1996,"Vermont",29006
1996,"Virginia",291792
1996,"Washington",276563
1996,"West Virginia",94926
1996,"Wisconsin",267211
1996,"Wyoming",30928
1997,"Alabama",207980
1997,"Alaska",35557
1997,"Arizona",210289
1997,"Arkansas",131997
1997,"California",1525618
1997,"Colorado",185700
1997,"Connecticut",137753
1997,"Delaware",32568
1997,"District Of Columbia",16241
1997,"Florida",589050
1997,"Georgia",355911
1997,"Hawaii",51427
1997,"Idaho",75833
1997,"Illinois",559275
1997,"Indiana",291394
1997,"Iowa",154912
1997,"Kansas",137118
1997,"Kentucky",186662
1997,"Louisiana",212587
1997,"Maine",57272
1997,"Maryland",215495
1997,"Massachusetts",246205
1997,"Michigan",463642
1997,"Minnesota",258452
1997,"Mississippi",133606
1997,"Missouri",254551
1997,"Montana",49814
1997,"Nebraska",89121
1997,"Nevada",74389
1997,"New Hampshire",54353
1997,"New Jersey",304221
1997,"New Mexico",93282
1997,"New York",769382
1997,"North Carolina",323955
1997,"North Dakota",37952
1997,"Ohio",545950
1997,"Oklahoma",174549
1997,"Oregon",157020
1997,"Pennsylvania",527743
1997,"Rhode Island",40681
1997,"South Carolina",185126
1997,"South Dakota",43883
1997,"Tennessee",247548
1997,"Texas",1028958
1997,"Utah",149231
1997,"Vermont",29935
1997,"Virginia",299673
1997,"Washington",287059
1997,"West Virginia",94557
1997,"Wisconsin",273937
1997,"Wyoming",31722
1998,"Alabama",208148
1998,"Alaska",36474
1998,"Arizona",217764
1998,"Arkansas",133449
1998,"California",1578929
1998,"Colorado",192259
1998,"Connecticut",140872
1998,"Delaware",33188
1998,"District Of Columbia",15896
1998,"Florida",613761
1998,"Georgia",365429
1998,"Hawaii",53448
1998,"Idaho",75579
1998,"Illinois",558129
1998,"Indiana",291854
1998,"Iowa",155528
1998,"Kansas",140182
1998,"Kentucky",192093
1998,"Louisiana",207966
1998,"Maine",58543
1998,"Maryland",221995
1998,"Massachusetts",252519
1998,"Michigan",441403
1998,"Minnesota",265896
1998,"Mississippi",133301
1998,"Missouri",258082
1998,"Montana",50288
1998,"Nebraska",90997
1998,"Nevada",77801
1998,"New Hampshire",56301
1998,"New Jersey",306327
1998,"New Mexico",96080
1998,"New York",776218
1998,"North Carolina",329647
1998,"North Dakota",38242
1998,"Ohio",547865
1998,"Oklahoma",177929
1998,"Oregon",159559
1998,"Pennsylvania",535069
1998,"Rhode Island",41373
1998,"South Carolina",186592
1998,"South Dakota",44300
1998,"Tennessee",239659
1998,"Texas",1059416
1998,"Utah",149227
1998,"Vermont",30836
1998,"Virginia",303531
1998,"Washington",296744
1998,"West Virginia",94012
1998,"Wisconsin",278072
1998,"Wyoming",31388
1999,"Alabama",205630
1999,"Alaska",38394
1999,"Arizona",224867
1999,"Arkansas",132507
1999,"California",1627284
1999,"Colorado",197136
1999,"Connecticut",145317
1999,"Delaware",33307
1999,"District Of Columbia",13932
1999,"Florida",633609
1999,"Georgia",371905
1999,"Hawaii",53338
1999,"Idaho",76118
1999,"Illinois",558505
1999,"Indiana",289486
1999,"Iowa",155834
1999,"Kansas",142094
1999,"Kentucky",188371
1999,"Louisiana",205393
1999,"Maine",58917
1999,"Maryland",231534
