"State","Year","Gender","Schools","Participation","Event","Mark","Participation.Thousands","Mark.Standard"
"Rhode Island",1980,"Boys",42,1420,"100m",11,1.42,0.526581876868983
"Rhode Island",1980,"Boys",42,1420,"1600m",257.688,1.42,0.855046576799894
"Rhode Island",1980,"Boys",42,1420,"800m",115.6,1.42,0.790513803807227
"Rhode Island",1980,"Boys",42,1420,"High Jump",1.9558,1.42,0.426752850009235
"Rhode Island",1980,"Boys",42,1420,"Pole Vault",4.1148,1.42,-0.186615734034308
"Tennessee",1980,"Boys",208,7072,"100m",10.393,7.072,1.36758093221562
"Tennessee",1980,"Boys",208,7072,"1600m",255.21114,7.072,0.960557654996016
"Tennessee",1980,"Boys",208,7072,"800m",115.02894,7.072,0.845193584387647
"Tennessee",1980,"Boys",208,7072,"High Jump",2.032,7.072,0.836268087868433
"Tennessee",1980,"Boys",208,7072,"Pole Vault",3.9624,7.072,-0.461442972397867
"Washington",1980,"Boys",309,9833,"100m",10.8,9.833,0.803682059849753
"Washington",1980,"Boys",309,9833,"1600m",254.137404,9.833,1.00629743966612
"Washington",1980,"Boys",309,9833,"800m",111.94692,9.833,1.14030123917781
"Washington",1980,"Boys",309,9833,"High Jump",2.159,9.833,1.51879348430043
"Washington",1980,"Boys",309,9833,"Pole Vault",4.5974,9.833,0.683670520783633
"Wisconsin",1980,"Boys",392,13159,"100m",10.87,13.159,0.706696995806485
"Wisconsin",1980,"Boys",392,13159,"1600m",254.2,13.159,1.00363092987115
"Wisconsin",1980,"Boys",392,13159,"800m",114.8,13.159,0.867114904329653
"Wisconsin",1980,"Boys",392,13159,"High Jump",2.0574,13.159,0.972773167154831
"Wisconsin",1980,"Boys",392,13159,"Pole Vault",4.4196,13.159,0.363038742692813
"Wyoming",1980,"Boys",73,2000,"100m",11.41,2,-0.0414734982415976
"Wyoming",1980,"Boys",73,2000,"1600m",267.9,2,0.420028396305718
"Wyoming",1980,"Boys",73,2000,"800m",118.02,2,0.558795474726887
"Wyoming",1980,"Boys",73,2000,"High Jump",1.9304,2,0.290247770722836
"Wyoming",1980,"Boys",73,2000,"Pole Vault",4.3688,2,0.271429663238293
"California",1980,"Girls",804,21055,"100m",11.42,21.055,-0.0553285073906358
"California",1980,"Girls",804,21055,"1600m",286.71,21.055,-0.381253622407116
"California",1980,"Girls",804,21055,"800m",129.72,21.055,-0.561495620413601
"California",1980,"Girls",804,21055,"High Jump",1.8288,21.055,-0.25577254642276
"Florida",1980,"Girls",295,6017,"100m",12.31844,6.017,-1.30011794937686
"Florida",1980,"Girls",295,6017,"1600m",289.66017,6.017,-0.506927103169798
"Florida",1980,"Girls",295,6017,"800m",132.616338,6.017,-0.838823968269757
"Florida",1980,"Girls",295,6017,"High Jump",1.7272,6.017,-0.801792863568356
"Georgia",1980,"Girls",303,6160,"100m",12.27468,6.16,-1.23948842934066
"Georgia",1980,"Girls",303,6160,"1600m",313.6701,6.16,-1.52971951037628
"Georgia",1980,"Girls",303,6160,"800m",137.59728,6.16,-1.31575601681773
"Georgia",1980,"Girls",303,6160,"High Jump",1.6764,6.16,-1.07480302214116
"Illinois",1980,"Girls",654,23544,"100m",12.2,23.544,-1.13601922101564
"Illinois",1980,"Girls",654,23544,"1600m",302.6,23.544,-1.05814736389287
"Illinois",1980,"Girls",654,23544,"800m",133.1,23.544,-0.885135270120852
"Illinois",1980,"Girls",654,23544,"High Jump",1.8034,23.544,-0.39227762570916
"Kansas",1980,"Girls",376,18800,"100m",12.2,18.8,-1.13601922101564
"Kansas",1980,"Girls",376,18800,"1600m",310.2,18.8,-1.38189767448391
"Kansas",1980,"Girls",376,18800,"800m",136.6,18.8,-1.22026508490647
"Kansas",1980,"Girls",376,18800,"High Jump",1.6764,18.8,-1.07480302214116
"Maryland",1980,"Girls",131,3126,"100m",11.7,3.126,-0.443268763563714
"Maryland",1980,"Girls",131,3126,"1600m",309.2,3.126,-1.33929894940614
"Maryland",1980,"Girls",131,3126,"800m",133.6,3.126,-0.933010957947369
"Maryland",1980,"Girls",131,3126,"High Jump",1.651,3.126,-1.21130810142755
"Massachusetts",1980,"Girls",204,7649,"100m",12.6357,7.649,-1.73968196963925
"Massachusetts",1980,"Girls",204,7649,"1600m",305.179632,7.649,-1.16803639826268
"Massachusetts",1980,"Girls",204,7649,"800m",138.54177,7.649,-1.40619223360826
"Massachusetts",1980,"Girls",204,7649,"High Jump",1.6764,7.649,-1.07480302214116
"Michigan",1980,"Girls",632,26544,"100m",11.9,26.544,-0.720368946544486
"Michigan",1980,"Girls",632,26544,"1600m",297.9,26.544,-0.857933356027351
"Michigan",1980,"Girls",632,26544,"800m",134.01816,26.544,-0.973050353190441
"Michigan",1980,"Girls",632,26544,"High Jump",1.80975,26.544,-0.35815135588756
"Nebraska",1980,"Girls",368,6274,"100m",12.2,6.274,-1.13601922101564
"Nebraska",1980,"Girls",368,6274,"1600m",307.1,6.274,-1.24984162674283
"Nebraska",1980,"Girls",368,6274,"800m",133.8,6.274,-0.952161233077977
"Nebraska",1980,"Girls",368,6274,"High Jump",1.7526,6.274,-0.665287784281958
"New Mexico",1980,"Girls",119,2718,"100m",12.01,2.718,-0.872774047183909
"New Mexico",1980,"Girls",119,2718,"1600m",302.869296,2.718,-1.06961903016141
"New Mexico",1980,"Girls",119,2718,"800m",134.67,2.718,-1.03546492989611
"New Mexico",1980,"Girls",119,2718,"High Jump",1.6764,2.718,-1.07480302214116
"New York",1980,"Girls",421,12672,"100m",11.6,12.672,-0.304718672073329
"New York",1980,"Girls",421,12672,"1600m",293.65695,12.672,-0.677184835586124
"New York",1980,"Girls",421,12672,"800m",130.9,12.672,-0.674482243684181
"New York",1980,"Girls",421,12672,"High Jump",1.7272,12.672,-0.801792863568356
"North Carolina",1980,"Girls",224,5807,"100m",12,5.807,-0.858919038034871
"North Carolina",1980,"Girls",224,5807,"1600m",305.7,5.807,-1.19020341163395
"North Carolina",1980,"Girls",224,5807,"800m",135.2,5.807,-1.08621315899222
"North Carolina",1980,"Girls",224,5807,"High Jump",1.6764,5.807,-1.07480302214116
"Oklahoma",1980,"Girls",315,5700,"100m",11.89178,5.7,-0.708980129023977
"Oklahoma",1980,"Girls",315,5700,"1600m",315.946818,5.7,-1.62670479453788
"Oklahoma",1980,"Girls",315,5700,"800m",135.837546,5.7,-1.14725906553431
"Oklahoma",1980,"Girls",315,5700,"High Jump",1.6764,5.7,-1.07480302214116
"Oregon",1980,"Girls",232,5800,"100m",12.15,5.8,-1.06674417527045
