,2001-02,A,Zach Glavash,Chillicothe (Illinois Valley Central),01:54.4
,2001-02,AA,Tramell Smith,Villa Park (Willowbrook),01:50.7
,2002-03,A,Zach Glavash,Chillicothe (Illinois Valley Central),01:56.0
,2002-03,AA,Jeremy Kruidenier,Champaign (Central),01:54.6
,2003-04,A,Chris Wesson,Burlington (Central),01:55.3
,2003-04,AA,Durrell Williams,Aurora (Waubonsie Valley),01:53.3
,2004-05,A,Charlie Hatch,Nashville,01:53.8
,2004-05,AA,Stephen Williams,Marion (H.S.),01:51.8
,2005-06,A,Rodney Oyler,Macon (Meridian),01:57.0
,2005-06,AA,Stephen Williams,Marion (H.S.),01:51.6
,2006-07,A,Lance Ward,Greenville,01:56.0
,2006-07,AA,Mat Smoody,Palatine (H.S.),01:52.6
,2007-08,A,Parker Thompson,Tremont,01:55.2
,2007-08,AA,Mat Smoody,Palatine (H.S.),01:50.7
,2008-09,1A,Peter Callahan,Winnetka (North Shore Country Day),01:51.2
,2008-09,2A,Godfrey Kawewe,Carbondale (H.S.),01:56.3
,2008-09,3A,Ryan Lynn,Park Ridge (Maine South),01:51.1
,2009-10,1A,Griffin Nykaza,Beecher,01:57.9
,2009-10,2A,Ryan Todd,Jerseyville (Jersey),01:56.2
,2009-10,3A,Dominique Manley,Collinsville,01:52.3
,2010-11,1A,Josh Jones,Herscher,01:54.6
,2010-11,2A,Michael Simon,Springfield (H.S.),01:55.8
,2010-11,3A,Alex Brend,Lake Zurich,01:52.2
,2011-12,1A,Eric Leonard,Niantic (Sangamon Valley),01:54.6
,2011-12,2A,Luke Zygmunt,Grayslake (Central),01:55.2
,2011-12,3A,Michal Filipczak,Park Ridge (Maine South),01:52.0
,2012-13,1A,Michael Brown,Carmi (C.-White County),01:55.5
,2012-13,2A,John Wold,Glen Ellyn (Glenbard South),1:54.66R
,2012-13,3A,Johnny Leverenz,Danville (H.S.),01:53.3
,2013-14,1A,Michael Brown,Carmi (C.-White County),01:54.3
,2013-14,2A,J. D. LaFayette,Normal (University),1:51.48R
,2013-14,3A,Johnny Leverenz,Danville (H.S.),01:52.0
,2014-15,1A,Andrew Gardewine,Effingham (St. Anthony),01:55.8
,2014-15,2A,Connor Stine,Stanford (Olympia),01:54.4
,2014-15,3A,Ty Moss,Naperville (Neuqua Valley),01:51.8
,2015-16,1A,Michael Bennett,Dwight,01:54.1
,2015-16,2A,Sean Zerrusen,Effingham (H.S.),01:55.4
,2015-16,3A,Chris Torpy,Orland Park (Sandburg),01:50.9
,2016-17,1A,Riley Wells,Rockford (R. Christian),01:52.8
,2016-17,2A,Jake Gillum,Metamora,01:53.7
,2016-17,3A,Chris Conrad,O'Fallon (H.S.),01:49.9
,2017-18,1A,Riley Wells,Rockford (R. Christian),01:53.7
,2017-18,2A,Jared Schuckman,Normal (University),01:53.9
,2017-18,3A,Joshua English,Blue Island (Eisenhower),01:51.9
,2018-19,1A,Boston Stewart,Decatur (St. Teresa),01:54.9
,2018-19,2A,Riley Wells,Rockford (R. Christian),01:56.0
,2018-19,3A,Thomas Shilgalis,Naperville (Central),01:54.9
,2020-21,1A,Eli Mojonnier,Bismarck (B.-Henning-Rossville-Alvin),01:57.3
,2020-21,2A,Brock Drengenberg,Dixon (H.S.),01:54.7
,2020-21,3A,Daniel Watcke,Hinsdale (Central),01:54.2
,2021-22,1A,Eli Mojonnier,Bismarck (B.-Henning-Rossville-Alvin),01:54.3
,2021-22,2A,Garrett Slack,Lincoln,01:51.4
,2021-22,3A,Brett Wasick,Bolingbrook,01:52.6
,2022-23,1A,Julian Aske,Evanston (Beacon Academy),01:53.5
,2022-23,2A,Patrick Hilby,Aurora (Central Catholic),01:50.5
,2022-23,3A,Dan Watcke,Hinsdale (Central),01:52.2
1-mile run,1972-73,,Bill Fritz,Glen Ellyn (Glenbard West),04:11.4
,1973-74,,Bill Fritz,Glen Ellyn (Glenbard West),04:12.4
,1974-75,A,Reo Rorem,Gilman,04:26.4
,1974-75,AA,Kip Smith,Oak Park (O.P.-River Forest),04:11.1
,1975-76,A,Reo Rorem,Gilman,04:18.6
,1975-76,AA,Ron Wartgow,Belvidere (H.S.),04:07.8
,1976-77,A,Tom Clennon,Minooka,04:21.4
,1976-77,AA,Bob Hicks,Orland Park (Sandburg),04:08.6
,1977-78,A,Brad Maue,Breese (Mater Dei),04:23.9
,1977-78,AA,Tom Graves,Orland Park (Sandburg),04:09.4
,1978-79,A,Mark Nordman,Elmhurst (Timothy Christian),04:23.3
,1978-79,AA,Tom Stevens,Deerfield,04:10.3
1600-meter run,1979-80,A,Kevin O'Grady,Beecher,04:21.1
,1979-80,AA,Tim Vandergrift,Villa Park (Willowbrook),04:13.5
,1980-81,A,Greg Hill,Freeburg,04:16.6
,1980-81,AA,Rick Schroer,Elmhurst (York),04:15.4
,1981-82,A,John Jacobson,Cornell,04:20.2
,1981-82,AA,Mark Jerger,Elmhurst (York),04:15.2
,1982-83,A,John Jacobson,Cornell,04:19.0
,1982-83,AA,Brent McLain,Benton,04:11.4
,1983-84,A,Don Schafer,Melrose Park (Walther Lutheran),04:22.1
,1983-84,AA,Tim Phillips,Arlington Heights (St. Viator),04:08.4
,1984-85,A,Adam Suarez,Princeton,04:18.9
,1984-85,AA,Mark Deady,Lincolnshire (Stevenson),04:07.4
,1985-86,A,Wayne Bloemer,Teutopolis,04:17.4
,1985-86,AA,Jeff Henry,Oswego (H.S.),04:12.4
,1986-87,A,Todd Lopeman,Pontiac,04:18.1
,1986-87,AA,Len Sitko,Niles (Notre Dame),04:12.6
,1987-88,A,Doug Light,Toledo (Cumberland),04:20.2
,1987-88,AA,Nick Schwartz,Centralia,04:14.8
,1988-89,A,Marty Wondaal,Lansing (Illiana Christian),04:26.1
,1988-89,AA,Kevin Hedenberg,Schaumburg (H.S.),04:13.7
,1989-90,A,Phil Swenson,Leland,04:24.3
,1989-90,AA,Rick Miller,Schaumburg (H.S.),04:14.8
,1990-91,A,Brad Blakey,West Frankfort (Frankfort),04:28.2
,1990-91,AA,Nick Thiel,Naperville (North),04:12.0
,1991-92,A,Steve Faley,Wheaton (St. Francis),04:25.4
,1991-92,AA,Steve Watson,Herrin (H.S.),04:17.4
,1992-93,A,Brian Allen,St. Joseph (S.J.-Ogden),04:23.1
,1992-93,AA,Elliott Nott,Normal (Community),04:16.5
,1993-94,A,Jason McKinney,Georgetown (G.-Ridge Farm),04:23.2
,1993-94,AA,Erik Dieckman,Palatine (H.S.),04:14.7
,1994-95,A,Matt McClelland,Rushville,04:20.7
,1994-95,AA,Lou Petricca,Mt. Prospect (Prospect),04:14.6
,1995-96,A,Matt McClelland,Rushville,04:22.0
