,1999-00,A,Mindy Peterson,Taylor Ridge (Rockridge),02:15.7
,1999-00,AA,Tabitha Volling,Lake Zurich,02:12.3
,2000-01,A,Mindy Peterson,Taylor Ridge (Rockridge),02:16.4
,2000-01,AA,Samantha Polock,Wheaton (North),02:11.7
,2001-02,A,Molly Hogan,Wheaton (St. Francis),02:18.0
,2001-02,AA,Samantha Polock,Wheaton (North),02:14.7
,2002-03,A,Pam Wolf,Roseville,02:15.0
,2002-03,AA,Samantha Polock,Wheaton (North),02:10.4
,2003-04,A,Allison Alberts,Freeburg,02:16.2
,2003-04,AA,Sequoia McKinney,South Holland (Thornwood),02:12.1
,2004-05,A,Kate Tannura,Normal (University),02:16.7
,2004-05,AA,Sequoia McKinney,South Holland (Thornwood),02:09.1
,2005-06,A,Stephanie Brown,Downs (Tri-Valley),02:15.4
,2005-06,AA,Casey Short,Naperville (Central),02:10.9
,2006-07,A,Stephanie Brown,Downs (Tri-Valley),02:14.4
,2006-07,AA,Casey Short,Naperville (Central),02:11.3
,2007-08,A,Stephanie Brown,Downs (Tri-Valley),02:11.0
,2007-08,AA,Ashley Verplank,Bloomington (H.S.),02:08.0
,2008-09,1A,Stephanie Brown,Downs (Tri-Valley),02:15.0
,2008-09,2A,Amanda Duvendack,Metamora,02:12.6
,2008-09,3A,McKinzie Schulz,Lisle (Benet Academy),02:12.1
,2009-10,1A,Kelly Curran,Bloomington (Central Catholic),2:12.29e
,2009-10,2A,Amanda Duvendack,Metamora,02:11.0
,2009-10,3A,Annette Eichenberger,West Chicago (H.S.),02:12.3
,2010-11,1A,Sydni Meunier,Gibson City (G.C.-Melvin-Sibley),02:15.0
,2010-11,2A,Emily Delvo,Springfield (Sacred Heart-Griffin),02:13.8
,2010-11,3A,Lindsey Rakosnik,Lombard (Glenbard East),02:11.1
,2011-12,1A,Sydni Meunier,Gibson City (G.C.-Melvin-Sibley),02:11.3
,2011-12,2A,Kelsey Cramsey,Effingham (H.S.),02:12.5
,2011-12,3A,Courtney Clayton,Rockton (Hononegah),02:08.5
,2012-13,1A,Cassie Mundekis,Manito (Midwest Central),02:14.8
,2012-13,2A,Michelle Dobbs,Rochelle,02:10.8
,2012-13,3A,Courtney Clayton,Rockton (Hononegah),02:07.0
,2013-14,1A,Cassie Mundekis,Manito (Midwest Central),02:13.8
,2013-14,2A,Karina Liz,Aurora (Central Catholic),02:10.7
,2013-14,3A,Lauren Van Vlierbergen,Algonquin (Jacobs),02:10.1
,2014-15,1A,Cassie Mundekis,Manito (Midwest Central),02:15.5
,2014-15,2A,Karina Liz,Aurora (Central Catholic),02:15.6
,2014-15,3A,Michaela Hackbarth,Downers Grove (South),02:11.2
,2015-16,1A,Arielle Summitt,Urbana (University),02:12.3
,2015-16,2A,Rachel Hickey,LaSalle (L.-Peru),02:15.4
,2015-16,3A,Michaela Hackbarth,Downers Grove (South),02:09.9
,2016-17,1A,Arielle Summitt,Urbana (University),02:13.2
,2016-17,2A,Abby Fioresi,Aurora (Central Catholic),02:12.4
,2016-17,3A,Emily Stegmeier,Elk Grove Village (E.G.),02:14.7
,2017-18,1A,Arielle Summitt,Urbana (University),02:11.0
,2017-18,2A,Rachel Hickey,LaSalle (L.-Peru),02:13.0
,2017-18,3A,Enyaeva Michelin,Evanston (Twp.),02:08.4
,2018-19,1A,Marianne Mihas,Chicago (Latin),02:15.2
,2018-19,2A,Payne Turney,Clinton,02:17.5
