"Year","Gender","Class","Name","Mark","Event","State"
1991,"Boys","C","Steve Kolb          Milford                   ","6-04","High Jump","Nebraska"
1991,"Boys","C","Jason High            Bertrand           ","13-08","Pole Vault","Nebraska"
1991,"Boys","C","Mike Kozak            Wilber-Clatonia    ","13-04","Pole Vault","Nebraska"
1991,"Boys","C","Kevin Banzhaf         Cambridge          ","13-00","Pole Vault","Nebraska"
1991,"Boys","D","Doug Wendell          Spencer-Naper     ","11.22","100m","Nebraska"
1991,"Boys","D","Nathan Nauman          Giltner            ","2:01.86","800m","Nebraska"
1991,"Boys","D","Nathan Nauman         Giltner          ","4:33.36","1600m","Nebraska"
1991,"Boys","D","Brian Flesner        Wilcox               ","6-03","High Jump","Nebraska"
1991,"Boys","D","Jeff Rundell         Harrisburg           ","6-02","High Jump","Nebraska"
1991,"Boys","D","Steven Ramaekers     Humphrey SF          ","6-02","High Jump","Nebraska"
1991,"Boys","D","Joe West             Wausa                ","6-02","High Jump","Nebraska"
1991,"Boys","D","Ryan Fowler          Polk-Hordvile        ","6-02","High Jump","Nebraska"
1991,"Boys","D","Josh Slominski    Falls City SH    ","13-06","Pole Vault","Nebraska"
1991,"Boys","D","Wade Simpson      Arthur           ","12-06","Pole Vault","Nebraska"
1991,"Boys","D","Jason Hinkle      Wheeler Center   ","12-06","Pole Vault","Nebraska"
1992,"Girls","A","Stephanie Kurz       Millard South        ","12.26","100m","Nebraska"
1992,"Girls","A","Denise Koziol       Norfolk             ","2:16.66","800m","Nebraska"
1992,"Girls","A","Kris Winbinger       Omaha Gross         ","5:16.54","1600m","Nebraska"
1992,"Girls","A","Jenny Bramer        Millard South         ","5-10","High Jump","Nebraska"
1992,"Girls","B","Teresa Otto          Beatrice          ","12.33","100m","Nebraska"
1992,"Girls","B","Christy Rice        Central City      ","2:18.99","800m","Nebraska"
1992,"Girls","B","Nora Shepherd        York             ","5:05.63","1600m","Nebraska"
1992,"Girls","B","Amanda Saner      Ogallala            ","5-03","High Jump","Nebraska"
1992,"Girls","B","Jill Staehr       York                ","5-01","High Jump","Nebraska"
1992,"Girls","B","Hallie Stevens    Gothenburg          ","5-01","High Jump","Nebraska"
1992,"Girls","C","Rachelle Kuchar       Battle Creek           ","12.56","100m","Nebraska"
1992,"Girls","C","Tracey Thompson        Homer                  ","2:20.21","800m","Nebraska"
1992,"Girls","C","Richelle Woockman     Wakefield             ","5:19.61","1600m","Nebraska"
1992,"Girls","C","Gretchin Kotschwar   Eustis/Farnam            ","5-04","High Jump","Nebraska"
1992,"Girls","C","Lora Hilmer          Centura                  ","5-01","High Jump","Nebraska"
1992,"Girls","D","Arla Ridenour            Mullen                   ","12.87","100m","Nebraska"
1992,"Girls","D","Mindi Sealey         Polk-Hordville           ","2:22.24","800m","Nebraska"
1992,"Girls","D","Nicole Hauser            Arnold                  ","5:28.24","1600m","Nebraska"
1992,"Girls","D","Dana Zak           Curtis Medicine Valley     ","5-01","High Jump","Nebraska"
1992,"Boys","A","Ronnie Doss         Omaha Benson        ","10.94","100m","Nebraska"
1992,"Boys","A","Tim Fortune       Creighton Prep      ","1:55.05","800m","Nebraska"
1992,"Boys","A","Dave Olson          Bellevue East      ","4:15.75","1600m","Nebraska"
1992,"Boys","A","Brandon Schroer   Lincoln Southeast    ","6-09","High Jump","Nebraska"
1992,"Boys","A","Shawn Pebley      Fremont             ","15-02","Pole Vault","Nebraska"
1992,"Boys","B","Kenton Peterson     Beatrice            ","10.90","100m","Nebraska"
1992,"Boys","B","Kevin Brewer       Minden              ","1:57.68","800m","Nebraska"
