,,"Lauderdale), 10.39"
,2A,"Raymond Irvin, Father Lopez (Daytona"
,,"Beach), 10.84"
,A,"Garrett Williams, Lakeland Christian, 10.90"
1987,4A,"Kenneth Brokenburr, Winter Haven, 10.7"
,3A,"Keith Strong, Lake Gibson (Lakeland), 10.47"
,2A,"Patrick Williams, Santa Fe (Alachua), 10.85"
,A,"Amir Rasul, FAMU (Tallahassee), 11.02"
1988,4A,"Shannon Baker, Lakeland, 10.69"
,3A,"William Jackson, Lake Wales, 10.72"
,2A,"Curtis Johnson, Palmetto, 10.70"
,A,"Renee Smith, Moore Haven, 10.5"
1989,4A,"Shannon Baker, Lakeland , 10.7"
,3A,"Desi Patterson, Raines (Jacksonville), 10.65"
,2A,"Frederick Fields, DeSoto County (Arcadia),"
,,10.57
,A,"Fred James, Hawthorne, 10.95"
1990,4A,"Robert Scott, Winter Haven, 10.41"
,3A,"Frederick Fields, DeSoto County (Arcadia),"
,,10.42
,2A,"Curtis Johnson, Palmetto, 10.41"
,A,"Frederick James, Hawthorne, 10.81"
1991,4A,"Jonathan Carter, Dillard (Fort Lauderdale),"
,,10.83
,3A,"Derrick Whitehurst, Escambia (Pensacola),"
,,10.68
,2A,"Craig Jackson, Clay (Green Cove Springs),"
,,10.7
,A,"Vincent White, Chattahoochee, 11.1"
1971,2A,"Ernest Pough, New Stanton (Jacksonville),"
,,09.7
,A,"Lyle Lattimore, DeSoto County (Arcadia),"
,,09.9
,B,"John Davidson, St. Cloud, 09.7"
,C,"Carl Brown, Graceville, 10.3"
1972,4A,"Jessie Forbes, Leon (Tallahassee), 09.8"
,3A,"Walter Arnold, Haines City, 10.0"
,2A,"Anthony Stroman, DeSoto County"
,,"(Arcadia), 10.0"
,A,"George Shuler, FAMU (Tallahassee), 10.2"
1973,4A,"Jessie Forbes, Leon (Tallahassee), 09.6"
,3A,"Willie Wilder, Haines City, 09.6"
,2A,"Houston McTear, Baker, 09.7"
,A,"George Shuler, FAMU (Tallahassee), 09.8"
1974,4A,"James Brown, Mainland (Daytona Beach),"
,,09.8
,3A,"John Jackson, Oviedo, 10.1"
,2A,"Houston McTear, Baker, 10.1"
,A,"Eddie Davis, FAMU (Tallahassee), 10.2"
1975,4A,"James Brown, Mainland (Daytona Beach),"
,,09.2
,3A,"Derrick Harris, Jones (Orlando), 09.7"
,2A,"Houston McTear, Baker, 09.0"
,A,"Alberto Gonzales, Oak Hall (Gainesville),"
,,10.1
1976,4A,"Calvin Raley, Raines (Jacksonville), 09.4"
,3A,"Cris Collinsworth, Astronaut (Titusville),"
1992,4A,"Larry Barther, Raines (Jacksonville), 10.67"
,3A,"Tony McCall, Forest (Ocala), 10.61"
,2A,"Gilbert Grantlin, Glades Central (Belle"
,,"Glade), 10.74"
,A,"Vincent White, Chattahoochee, 11.0"
1993,4A,"Willie Brown, Kathleen (Lakeland), 10.76"
,3A,"Tony McCall, Forest (Ocala), 10.38"
,2A,"Jim Turner, Bishop Kenny (Jacksonville),"
,,10.61
,A,"Vincent Brown, Chattahoochee, 10.93"
1994,5A,"Trevor Rush, Mosley (Lynn Haven), 10.54"
,4A,"Terry Sams, Buchholz (Gainesville), 10.64"
,3A,"Eric Hodges, Ribault (Jacksonville), 10.53"
,2A,"Marcus Bullock, Pensacola Catholic, 10.85"
,A,"Matthew Estevez, Keswick Christian (St."
,,"Petersburg), 11.01"
1995,6A,"Trevor Rush, Mosley (Lynn Haven), 10.64"
,5A,"Bobby Williams, Buchholz (Gainesville),"
,,10:48
,4A,"James Stanislas, Shanks (Quincy), 10.87"
,3A,"Marcus Bullock, Pensacola Catholic, 10.71"
,2A,"Leroy Myers, Moore Haven, 11.11"
1996,6A,"Travis McNichols, Hialeah Miami Lakes,"
,,10.71
,5A,"Jarrish Outlaw, Boca Ciega (Gulfport), 10.89"
,4A,"Richardo Shaw, Shanks (Quincy), 10.40"
,3A,"David Ford, Cardinal Newman (West Palm"
,,"Beach), 10.89"
,2A,"Mike White, Cottondale, 10.94"
1997,6A,"Gerald Wright, Apopka, 10.74"
,5A,"Gary White, Wolfson (Jacksonville), 10.66"
,4A,"John Capel, Hernando (Brooksville), 10.46"
,3A,"Bennie Alexander, Union County (Lake"
,,"Butler), 10.83"
,2A,"Devin Pierce, Westminster Academy (Fort"
,,"Lauderdale), 11.05"
1998,6A,"Dematrius Ivey, Miami Southridge, 10.52"
,5A,"Tim Carter, Lakewood (St. Petersburg),"
,,10.49
,4A,"Brian Smith, Booker (Sarasota), 10.54"
,3A,"Markie Jackson, Taylor County (Perry),"
,,10.95
,2A,"C. Edwards, Lake Highland Prep (Orlando),"
,,11.21
1999,6A,"Luther Huggins, Miami Jackson, 10.62"
,5A,"Cols Colas, South Plantation, 10.70"
,4A,"Johnnie Mullins, Glades Central (Belle"
,,"Glade), 10.85"
,3A,"Markie Jackson, Taylor County (Perry),"
,,10.98
