Year,Event,Class,Name,School,Mark
,4x400m Relay,5A,"Centauria Olds, Shaurie Walker, Tia Perry, Dominique Thurman",Riverdale Raiders,03:55.0
,,4A,"Valeria Brown, Tierra Watson, Shequita Draper, Kimberly Mulkey",Monroe (Albany) Tornadoes,04:00.2
,,3A,"Tremelia Davis, Moteak Sanford, Karmen Evans, Stephanie Smith",Northeast Raiders,03:55.6
,,2A,"Sandra Stankovic, Kassidy Bynoe, Georgia Kloss, Olivia Levine",Pace Academy Knights,04:09.4
,,1A,"Sarah King, Evette Holyfield, Sierra Hill, Lindsey Vincent",Landmark Christian War Eagles,03:57.7
,High Jump,5A,Scherrie Jackson,Riverdale Raiders,"5' 7"""
,,4A,Carrie Mills,Dalton Catamounts,"5' 4"""
,,3A,Lindy James,Franklin County Lions,"5' 5"""
,,2A,Sandra Stankovic,Pace Academy Knights,"5' 6"""
,,1A,Ana Jahannes,Savannah Country Day Hornets,"5' 4"""
,Long Jump,5A,Danielle Cherico,North Cobb Warriors,"11' 0"""
,,4A,Lacy Gardener,Jones County Greyhounds,"8' 6"""
,,3A,Michelle King,Hiram Hornets,"9' 6"""
,,2A,Aubree Caldwell,Bleckley County Royals,"8' 0"""
,,1A,Cassidy Cummings,Athens Christian Eagles,"8' 0"""
,Triple Jump,5A,Siearra Bryant,Wayne County Yellow Jackets,"18' 5"""
,,4A,Chanae Early,Westlake Lions,"18' 8.5"""
,,3A,Shani Boston,Westminster Wildcats,"17' 8.5"""
,,2A,Franchester Keeley,Cook Hornets,"18' 1.5"""
,,1A,Lindsey Vincent,Landmark Christian War Eagles,"17' 6.5"""
,Pole Vault,5A,Latoya Legree,Stephenson Jaguars,11'
,,4A,Tiffany Peterson,Cairo Syrupmakers,"8'6"""
,,3A,Brandy Hutchins,Cedartown Bulldogs,"9'6"""
,,2A,Emily Houts,Dade County Wolverines,"8'0"""
,,1A,Lindsey Vincent,Landmark Christian War Eagles,"8'0"""
,Shot Put,5A,Ronda Gullatte,Sprayberry Yellow Jackets,"43' 0.5"""
,,4A,Khadija Talley,Columbus Blue Devils,"41' 11.75"""
,,3A,April Thomas,Westover Patriots,"43' 5.25"""
,,2A,Melanie Wilcox,Telfair County Trojans,"37' 7.5"""
,,1A,Katie Sleek,Bremen Blue Devils,"36' 11.75"""
,Discus,5A,Ronda Gullatte,Sprayberry Yellow Jackets,"154' 8"""
,,4A,Khadija Talley,Columbus Blue Devils,"140' 2"""
,,3A,April Thomas,Westover Patriots,"138' 6"""
,,2A,Jewel Welch,Decatur Bulldogs,"120' 0"""
,,1A,Sarah Hale,Athens Academy Spartans,"136' 8"""
2001,4x100m Relay,5A,"Lynnsey Sherrod-Daily, Fran Barnett, Dominique Davis, Tisilli Rogers",Marietta Blue Devils,47.05
,,4A,"Sharee Cozart, Manon Polk, Marissa Shipp, Aundrea Baker",Shaw Raiders,46.74
,,3A,"Deedra Phillips, Stephanie Smith, Lakecia James, Tremella Lewis",Northeast Raiders,46.96
,,2A,"Arhinda Seals, Sophia Wilkes, LaShundra Peppers, Tikela Burns",Crim Eagles,48.29
,,1A,"Sierra Hill, Rashedah Arnold, Ashley Key, Sarah King",Landmark Christian War Eagles,48.32
,1600m Run,5A,Lisa Green,Pope Greyhounds,05:04.7
,,4A,Shannon Wommack,Heritage (Conyers) Patriots,05:15.0
,,3A,Kerrie Glass,Westminster Wildcats,05:13.7
,,2A,Georgia Kloss,Pace Academy Knights,05:17.7
,,1A,Cassidy Cummings,Athens Christian Eagles,05:26.9
,400m Dash,5A,Sharifa Jones,Wheeler Wildcats,56
,,4A,Kimberly Adams,Stone Mountain Pirates,54.85
,,3A,Stephanie Smith,Northeast Raiders,53.08
,,2A,LaShundra Peppers,Crim Eagles,57.69
,,1A,Sarah King,Landmark Christian War Eagles,59.48
,100m Dash,5A,Tisilli Rogers,Marietta Blue Devils,11.64
,,4A,Ashley Cousin,Troup Tigers,11.65
,,3A,Mary Ann Erigha,Chamblee Bulldogs,11.77
,,2A,Stacy Fitzpatrick,Callaway Cavaliers,12.19
,,1A,Rashedah Arnold,Landmark Christian War Eagles,11.94
,100m Intermediate Hurdles,5A,Deanna Lane,Pope Greyhounds,13.73
,,4A,Tamara Stephenson,South Cobb Eagles,14.72
,,3A,Moteak Sanford,Northeast Raiders,14.47
,,2A,Lani Hammond,Calhoun Yellow Jackets,15.92
,,1A,Sierra Hill,Landmark Christian War Eagles,14.71
,800m Run,5A,Andrea Kay,Windsor Forest Knights,02:14.8
,,4A,Brienne Simmons,Columbia Eagles,02:16.3
,,3A,Kerrie Glass,Westminster Wildcats,02:18.4
,,2A,Georgia Kloss,Pace Academy Knights,02:11.4
,,1A,Cassidy Cummings,Athens Christian Eagles,02:19.3
,200m Dash,5A,Courtney Champion,South Gwinnett Comets,24.56
,,4A,DeHashia DeeDee Trotter,Cedar Grove Saints,24.19
,,3A,Stephanie Smith,Northeast Raiders,23.64
,,2A,Tikela Burns,Crim Eagles,24.99
,,1A,Rashedah Arnold,Landmark Christian War Eagles,25.21
,300m Low Hurdles,5A,Lynnsey Sherrod-Daily,Marietta Blue Devils,42.02
,,4A,Tamara Stephenson,South Cobb Eagles,43.71
,,3A,Moteak Sanford,Northeast Raiders,45.29
,,2A,Nnenna Obguehi,Crim Eagles,46.84
,,1A,Sierra Hill,Landmark Christian War Eagles,43.87
,3200m Run,5A,Kathleen Turchin,North Gwinnett Bulldogs,11:06.3
,,4A,Shannon Wommack,Heritage (Conyers) Patriots,11:12.0
,,3A,Connie Heiskell,Westminster Wildcats,11:41.9
,,2A,Lindsay Harbin,Darlington Tigers,11:35.9
,,1A,Emily Wood,Landmark Christian War Eagles,12:21.5
,4x400m Relay,5A,"Lynnsey Sherrod-Daily, Fran Barnett, Lauren Jacobs, Tisilli Rogers",Marietta Blue Devils,03:50.8
,,4A,"Sabrina Eafford, Lashaun Dix, Antonette Carnahan, DeHashia DeeDeeTrotter",Cedar Grove Saints,03:50.2
,,3A,"Deedra Phillips, Karmen Evans, Tremelia Lewis, Stephanie Smith",Northeast Raiders,03:54.3
,,2A,"Sophia Wilkes, Tikela Burns, Nnenna Ogbuehi, LaShundra Peppers",Crim Eagles,04:03.7
,,1A,"Sarah King, Ashley Key, Kathryn Wright, Sierra Hill",Landmark Christian War Eagles,03:59.8
,High Jump,5A,Jessica Nevitt,Kennesaw Mountain Mustangs,"5' 8"""
,,4A,Carrie Mills,Dalton Catamounts,"5' 4"""
,,3A,Amber Hurston,LaGrange Grangers,"5' 4"""
,,2A,Ashley Riley,Cartersvile Purple Hurricanes,"5' 4"""
,,1A,Ashley Key,Landmark Christian War Eagles,"5' 4.25"""
,Long Jump,5A,Latoya Lagree,Stephenson Jaguars,"18' 7.75"""
,,4A,Dana Rogers,St. Pius X Golden Lions,"18' 9.25"""
,,3A,Marquita Ragin,Perry Panthers,"17' 3"""
,,2A,Shannta Wilder,Decatur Bulldogs,"17' 0.75"""
,,1A,Lindsey Vincent,Landmark Christian War Eagles,"17' 0"""
,Triple Jump,5A,Latoya Lagree,Stephenson Jaguars,"40' 11"""
,,4A,Dana Rogers,St. Pius X Golden Lions,"38' 11"""
,,3A,Cynthia Greene,Northeast Raiders,"37' 2.5"""
,,2A,Sannta Wilder,Decatur Bulldogs,"37' 0"""
,,1A,Catrenna Buck,Pelham Hornets,"35' 4.5"""
,Shot Put,5A,Renata Foerst,Lassiter Trojans,"41' 4"""
,,4A,Krystal Hamm,Upson-Lee Knights,"41' 1.5"""
,,3A,April Thomas,Westover Patriots,"46' 7"""
,,2A,Charlotte Baker,Darlington Tigers,"36' 7.75"""
,,1A,Sherri Harris,Atkinson County Rebels,"35' 10.5"""
,Discus,5A,Ronda Gullatte,Sprayberry Yellow Jackets,"133' 9"""
,,4A,Kendra Wise,Cedar Shoals Jaguars,121'4
,,3A,Simone Parker,Chamblee Bulldogs,"130' 10"""
,,2A,Jewel Welch,Decatur Bulldogs,"116' 9"""
,,1A,Sarah Hale,Athens Academy Spartans,"122' 6"""
2000,4x100m Relay,4A,"Roxie Griffin, Lakesha Jones, Lauren Culpepper, Lakendra McColumn",Southwest DeKalb Panthers,46.9
,,3A,"Sharee Cozart, Marissa Shipp, Manon Polk, Terrangia Edmonds",Shaw Raiders,46.88
,,2A,"Brionne Trablefield, Simone Parker, Erin Walton, Mary Ann Erigha",Chamblee Bulldogs,49.31
,,1A,"Viness Ubert, Marteela Colbert, Ninita McCan, Dynisha Hollingshed",Crawford County Eagles,50.27
,1600m Run,4A,Brittany Mensen,Alexander Cougars,05:09.4
,,3A,Shiona Jackson,Rome Wolves,05:13.1
,,2A,Kerrie Glass,Westminster Wildcats,05:14.2
,,1A,Kristin Austin,Athens Academy Spartans,05:16.3
,400m Dash,4A,Stephanie Smith,Northeast Raiders,53.9
,,3A,Bianca Willis,Lithonia Bulldogs,54.42
,,2A,Tay Jackson,Albany Indians,57.35
,,1A,LIndsey Vincent,Landmark Christian War Eagles,57.82
,100m Dash,4A,Tissilli Rogers,Walton Raiders,11.73
,,3A,Crystal Green,Stone Mountain Pirates,12.08
,,2A,Tikela Burns,Crim Eagles,12.33
,,1A,Ninita McCan,Crawford County Eagles,12.27
,100m Intermediate Hurdles,4A,Lynnsey Sherrod,Marietta Blue Devils,14.33
,,3A,Terrangia Edmonds,Shaw Raiders,14.56
,,2A,Dana Rogers,St. Pius X Golden Lions,15.73
,,1A,Lillian Bush,Brookstone Cougars,14.96
,800m Run,4A,Andrea Kay,Windsor Forest Knights,02:17.0
,,3A,Briene Simmons,Columbia Eagles,02:17.5
,,2A,Megan Thacker,North Gwinnett Bulldogs,02:16.6
,,1A,Georgia Kloss,Pace Academy Knights,02:27.9
,200m Dash,4A,Stephanie Smith,Northeast Raiders,24.61
,,3A,Bianca Willis,Lithonia Bulldogs,24.4
,,2A,Debbie Thomas,Americus Panthers (Americus-Sumter),25.41
,,1A,Shonna Murphy,Metter Tigers,25.74
,300m Low Hurdles,4A,Lynnsey Sherrod,Marietta Blue Devils,44.04
,,3A,Terrangia Edmonds,Shaw Raiders,44.67
,,2A,Marlo Mincey,Jeff Davis Yellow Jackets,44.07
,,1A,Veronica Jordan,Metter Tigers,46.31
,3200m Run,4A,Brittany Mensen,Alexander Cougars,10:55.2
,,3A,Shannon Wommack,Heritage (Conyers) Patriots,11:21.0
,,2A,Connie Heiskell,Westminster Wildcats,11:38.3
,,1A,Kristin Austin,Athens Academy Spartans,11:08.7
,4x400m Relay,4A,"Kenyatta Grimes, Tremila Lewis, Deedra Phillips, Stephanie Smith",Northeast Raiders,03:49.3
,,3A,"Kendi Shepperson, Monica Diamond, Bianca Willis, Larrita Bankhead",Lithonia Bulldogs,03:50.4
,,2A,"Shannon Knox, Nicole Cray, Margo Mincey, Marlo Mincey",Jeff Davis Yellow Jackets,03:58.2
,,1A,"Lauren Linder, Liz White, Liz Townsend, Georgia Kloss",Pace Academy Knights,04:12.4
,High Jump,4A,Erin Price,Centennial Knights,"5' 9"""
,,3A,Nikki Hill,Jonesboro Cardinals,"5' 4"""
,,2A,Dale Maffett,Westminster Wildcats,"5' 4"""
,,1A,Tabasha Taylor,Dooly County Bobcats,"5' 2"""
,Long Jump,4A,Tareka Henderson,Hephzibah Rebels,"18' 0"""
,,3A,Toujuana Sullivan,Cross Creek Razorbacks,"17' 10"""
,,2A,Dana Rogers,St. Pius X Golden Lions,"17' 9.5"""
,,1A,Lashoda Denmon,Calhoun Yellow Jackets,"17' 8"""
,Triple Jump,4A,Latoya LaGree,Stephenson Jaguars,"40' 3.5"""
,,3A,Lajuana Lovett,Cross Creek Razorbacks,"39' 9.25"""
,,2A,Shanta Wilder,Decatur Bulldogs,"37' 1.5"""
,,1A,Kindra Mattox,Oglethorpe County Patriots,"35' 10"""
,Shot Put,4A,Renata Forest,Lassiter Trojans,"41' 8"""
,,3A,Vensherrie Campbell,Burke County Bears,"41' 10"""
,,2A,Megan Finnerty,St. Pius X Golden Lions,"38' 2.25"""
,,1A,Jennifer Oliver,Wheeler County Bulldogs,"36' 3"""
,Discus,4A,Jennifer Curry,Northeast Raiders,"137' 1"""
,,3A,Vensherrie Campbell,Burke County Bears,"143' 1"""
,,2A,Simone Parker,Chamblee Bulldogs,"134' 10"""
,,1A,Lacresha Scott,Calhoun Yellow Jackets,"121' 1"""
1999,4x100m Relay,4A,"Shareeda Alexander, Tiffany Greer, Normanie McKenzie, Tynesia Rose",McEachern Indians,47.23
,,3A,"Sharee Cozart, Marissa Shipp, Manon Polk, Terrangia Edmonds",Shaw Raiders,47.16
,,2A,"Sheila Monds, Candace Jackson, Latavia Jackson, Veronica Mitchell",Albany Indians,49.24
,,1A,"Lenora Murphy, Kaderia Deloach, Veronica Jordan, Shonna Murphy",Metter Tigers,48.95
,1600m Run,4A,Andrea Kay,Windsor Forest Knights,05:11.9
,,3A,Melissa Shaw,Forest Park Panthers,05:13.6
,,2A,Connie Heiskell,Westminster Wildcats,05:18.2
,,1A,Kristin Austin,Athens Academy Spartans,05:17.9
,400m Dash,4A,Tracy Boyd,Warner Robins Demons,55.27
,,3A,Kameese Wright,Woodward Academy War Eagles,56.72
,,2A,Cicely Lewis,Crim Eagles,57.06
,,1A,Veronica Jordan,Metter Tigers,59.22
,100m Dash,4A,Tissilli Rogers,Walton Raiders,11.84
,,3A,Sharee Cozart,Shaw Raiders,12.34
,,2A,Jeri Farrow,Bleckley County Royals,12.13
,,1A,Shonna Murphy,Metter Tigers,12.27
,100m Intermediate Hurdles,4A,Tiffany Greer,McEachern Indians,14.61
,,3A,Terrangia Edwards,Shaw Raiders,14.66
,,2A,Yvette Foster,Washington County Hawks,15.02
,,1A,Lillian Bush,Brookstone Cougars,15.27
,800m Run,4A,Andrea Kay,Windsor Forest Knights,02:16.7
,,3A,Melissa Shaw,Forest Park Panthers,02:18.6
,,2A,Jessica Balena,Westminster Wildcats,02:19.0
,,1A,Ana Monroe Fitzner,Darlington Tigers,02:24.9
,200m Dash,4A,Tareka Henderson,Hephzibah Rebels,24.43
,,3A,Sharee Cozart,Shaw Raiders,25.01
,,2A,Deborah Thomas,Americus Panthers (Americus-Sumter),24.94
,,1A,Shonna Murphy,Metter Tigers,25.41
,300m Low Hurdles,4A,Tamara Stephenson,South Cobb Eagles,44.12
,,3A,Ashley Smith,Lithonia Bulldogs,44.2
,,2A,Marlo Mincey,Jeff Davis Yellow Jackets,44.89
,,1A,Veronica Jordan,Metter Tigers,45.97
,3200m Run,4A,Natalie Florence,Collins Hill Eagles,11:21.6
,,3A,Carly Parr,Jackson County Panthers,11:46.6
,,2A,Connie Heiskell,Westminster Wildcats,11:29.6
,,1A,Kristin Austin,Athens Academy Spartans,11:41.3
,4x400m Relay,4A,"Ashley Taylor, Kelsey Woodard, Marcia Smith, Henrietta George",Stephenson Jaguars,03:46.8
,,3A,"Monica Diamond, Shaun Davis, Bianca Willis, Avery Kelly",Lithonia Bulldogs,03:53.3
,,2A,"Cicely Lewis, Sophia Wilkes, Semetrice West, Marticia Woodward",Crim Eagles,04:00.9
,,1A,"Terria Curtis, Celeste Lee, Trisia Vant Wout, Rashedah Arnold",Landmark Christian War Eagles,04:07.7
,High Jump,4A,Erin Price,Centennial Knights,"5' 6"""
,,3A,Nikki Hill,Jonesboro Cardinals,"5' 4"""
,,2A,Andrea Andrews,Washington County Hawks,"5' 2"""
,,1A,Tabasha Taylor,Dooly County Bobcats,"5' 2"""
,Long Jump,4A,Tameisha King,Pebblebrook Falcons,"19' 10.75"""
,,3A,Kim Adams,Stone Mountain Pirates,"18' 1.5"""
,,2A,Deborah Thomas,Americus Panthers (Americus-Sumter),"18' 4"""
,,1A,Lillian Bush,Brookstone Cougars,"18' 3.75"""
,Triple Jump,4A,Laura Williams,Beach Bulldogs,40'3
,,3A,Cailjacylada Fogle,Spencer Owls,"36' 5"""
,,2A,Deborah Thomas,Americus Panthers (Americus-Sumter),"37' 2.5"""
,,1A,Kindra Mattox,Oglethorpe County Patriots,"35' 7"""
,Shot Put,4A,Mandy Kinney,Brookwood Broncos,"46' 2.5"""
,,3A,Tara Edwards,Shaw Raiders,"42' 9"""
,,2A,Sarah Blanton,St. Pius X Golden Lions,"41' 11"""
,,1A,Marquita Parks,Greenville Patriots,"35' 2"""
,Discus,4A,Mandy Kinney,Brookwood Broncos,"132' 1"""
,,3A,Gloria Berryhill,Lee County Trojans,"136' 1"""
,,2A,Sarah Blanton,St. Pius X Golden Lions,"128' 11"""
,,1A,Lacresha SCott,Calhoun Yellow Jackets,"118' 5"""
1998,4x100m Relay,4A,"C. Donaldson, S. Wheeler, T. Cook, T. Gibson",Banneker Trojans,47.32
,,3A,"Brianna Ragland, Fallon Stokes, Afua Boahema, Francesca Butler",Riverwood Raiders,47.58
,,2A,"Bianca White, Whitney Renfurm, Aristica Delaney, Sheirica Rosser",Lovett Lions,47.97
,,1A,"Tawana Keith, Akela Shakir, Sherita Robinson, Shaunte Wilder",Decatur Bulldogs,49.19
,1600m Run,4A,Katie Kelly,Chattahoochee Cougars,05:09.8
,,3A,Ashley Labudde,St. Pius X Golden Lions,04:59.9
,,2A,Lyndsey Hurst,Gainesville Red Elephants,05:23.3
,,1A,Ana Monroe Fitzner,Darlington Tigers,05:14.6
,400m Dash,4A,Aisha Tull,Parkview Panthers,55.45
,,3A,Marcia Smith,Stephenson Jaguars,54.84
,,2A,Whitney Redfurm,Lovett Lions,56.43
,,1A,Veronica Jordan,Metter Tigers,58.07
,100m Dash,4A,Sherika Terry,Northside (Warner Robins) Eagles,11.87
,,3A,Shannan Murray,Columbia Eagles,11.64
,,2A,Marie Woodward,Crim Eagles,11.8
,,1A,Crsystal Barron,Greater Atlanta Christian Spartans,12.32
,100m Intermediate Hurdles,4A,Tosan Osaigbovo,Harrison Hoyas,14.06
,,3A,Kyana Elder,North Atlanta Warriors,13.98
,,2A,Bianca White,Lovett Lions,14.89
,,1A,Lillian Bush,Brookstone Cougars,14.39
,800m Run,4A,Nona Allen,Pope Greyhounds,02:15.0
,,3A,Shannon Wommack,Heritage (Conyers) Patriots,02:18.3
,,2A,Dana Howle,Westminster Wildcats,02:19.3
,,1A,Ana Monroe Fitzner,Darlington Tigers,02:20.6
,200m Dash,4A,Tiffany Greer,McEachern Indians,24.96
,,3A,Shannan Murray,Columbia Eagles,24.37
,,2A,Marie Woodward,Crim Eagles,24.48
,,1A,Shonna Murphy,Metter Tigers,25.66
,300m Low Hurdles,4A,Candida Coulson,Roswell Hornets,42.93
,,3A,Ashley Smith,Lithonia Bulldogs,44.55
,,2A,LaToya Davis,Mary Persons Bulldogs,44.55
,,1A,Veronica Jordan,Metter Tigers,44.95
,3200m Run,4A,Natalie Florence,Collins Hill Eagles,11:09.0
,,3A,Ashley Labudde,St. Pius X Golden Lions,10:50.4
,,2A,Laura Ann Vann,Thomasville Bulldogs,12:00.8
,,1A,Kristen Austin,Athens Academy Spartans,11:40.4
,4x400m Relay,4A,"Marcaz Howell, Angelina Miller, Normanie McKenzie, Rose Tynesia",McEachern Indians,03:54.4
,,3A,"Ashley Taylor, Kesley Woodard, Henrietta George, Marcia Smith",Stephenson Jaguars,03:50.1
,,2A,"Cicely Lewis, Katie Woodward, Marie Woodard, Martica Woodard",Crim Eagles,03:54.6
,,1A,"April Akindele, Carolyn Egan, Lauren Ehrhart, Sarah Ruggiero",Greater Atlanta Christian Spartans,04:08.7
,High Jump,4A,LeCoe Willingham,Hephzibah Rebels,"5' 8"""
,,3A,Jennifer Ledbetter,Ringgold Tigers,"5' 6"""
,,2A,Keisha Ewing,Cedar Grove Saints,"5' 4"""
,,1A,Leslie Stevens,Bremen Blue Devils,"5' 4"""
,Long Jump,4A,Tiffany Greer,McEachern Indians,"19' 9"""
,,3A,Lameka Jacobs,Kendrick Cherokees,"18' 2.75"""
,,2A,Darmassia Boykin,Villa Rica Wildcats,"18' 2.5"""
,,1A,Lillian Bush,Brookstone Cougars,"17' 7"""
,Triple Jump,4A,Chrissy Jett,Walton Raiders,"37' 0"""
,,3A,Kareen Clarke,Stephenson Jaguars,"38' 1"""
,,2A,Ericia Barnett,Gainesville Red Elephants,"37' 1.5"""
,,1A,Shaunte Wilder,Decatur Bulldogs,"35' 3.5"""
,Shot Put,4A,Naomi Elliott,Lassiter Trojans,"44' 10.5"""
,,3A,Gloria Berryhill,Lee County Trojans,"41' 11"""
,,2A,Ashley Herendon,Fannin County Rebels,"39' 8.5"""
,,1A,Fran Deavours,Providence Christian,"35' 10.5"""
,Discus,4A,Mary Neal,Brookwood Broncos,"125' 11"""
,,3A,Gloria Berryhill,Lee County Trojans,"133' 10"""
,,2A,Samantha Dibois,Bleckley County Royals,"131' 5"""
,,1A,Lindsay Daniel,Athens Academy Spartans,"115' 6"""
1997,4x100m Relay,4A,"Ishika Lay, Regina Tate, Sylvia Tate, Tasha Mahone",Shaw Raiders,47.25
,,3A,"Kirsten Perryman, Ashley Taylor, Resha Green, Marcia Smith",Stephenson Jaguars,48.03
,,2A,"Jelina Brooks, Marie Woodward, Lakeshia Smith, Robin Smith",Crim Eagles,48.93
,,1A,"Tawana Keith, Tamika Thomas, Akela Shakir, Sherita Robinson",Decatur Bulldogs,49.93
,1600m Run,4A,Nona Allen,Pope Greyhounds,05:00.9
,,3A,Katie Griffin,St. Pius X Golden Lions,05:15.3
,,2A,Kate Irvin,Westminster Wildcats,05:17.6
,,1A,Ana Monroe Fitzner,Darlington Tigers,05:16.6
,400m Dash,4A,Candida Coulson,Roswell Hornets,56.26
,,3A,Marcia Smith,Stephenson Jaguars,56.87
,,2A,Kiya Verdell,Hart County Bulldogs,57.82
,,1A,Regan Howard,Savannah Country Day Hornets,57.94
,100m Dash,4A,Tasha Mahone,Shaw Raiders,11.9
,,3A,Shannon Murray,Columbia Eagles,11.99
,,2A,Debbie Thomas,Americus Panthers (Americus-Sumter),12.57
,,1A,Shonna Murphy,Metter Tigers,12.33
,100m Intermediate Hurdles,4A,Jacqueline Madison,Douglass (ATL) Astros,14.48
,,3A,Shameeka Hopkins,Cairo Syrupmakers,14.53
,,2A,Kikki Bowman,Creekside Seminoles,15.6
,,1A,Marianne Mulkey,Mount Paran Eagles,14.93
,800m Run,4A,Nona Allen,Pope Greyhounds,02:11.4
,,3A,Kelsey Woodard,Stephenson Jaguars,02:19.9
,,2A,Kathryn Goodwin,Westminster Wildcats,02:20.6
,,1A,Regan Howard,Savannah Country Day Hornets,02:17.3
,200m Dash,4A,Tasha Mahone,Shaw Raiders,24.22
,,3A,Kristen Williams,Woodward Academy War Eagles,25.04
,,2A,Debbie Thomas,Americus Panthers (Americus-Sumter),25.27
,,1A,Shonna Murphy,Metter Tigers,25.69
,300m Low Hurdles,4A,Crystal Williams,Baldwin Braves,43.91
,,3A,Falawna Ingram,Glenn Hills Spartans,45.68
,,2A,Latoya Davis,Mary Persons Bulldogs,45.5
,,1A,Marianne Mulkey,Mount Paran Eagles,45.81
,3200m Run,4A,Natalie Florence,Collins Hill Eagles,11:34.3
,,3A,Amy Gardner,Alexander Cougars,11:17.8
,,2A,Elizabeth Cherry,Westminster Wildcats,11:43.2
,,1A,Kristin Austin,Athens Academy Spartans,11:37.6
,4x400m Relay,4A,"Candida Coulson, Samantha Coulson, Tiffany Charles, Christina Curry",Roswell Hornets,03:51.5
,,3A,"Marcia Smith, Kelsey Woodard, Henrietta George, Ashley Taylor",Stephenson Jaguars,03:52.0
,,2A,"Tuneshia Roach, Lakeshia Smith, Marie Woodward, Jelina Brooks",Crim Eagles,03:59.8
,,1A,"Nichole Raines, Stephanie Burroughs, Nicole Bonner, Tekelia Bolton",Oglethorpe County Patriots,04:10.9
,High Jump,4A,Nakeitra Jones,Northeast Raiders,"5' 10.25"""
,,3A,Monica Reed,Dougherty Trojans,"5' 6"""
,,2A,Brandy Barrett,Coosa Eagles,"5' 6"""
,,1A,Jessica Farrer,Model Blue Devils,"5"" 10.25"""
,Long Jump,4A,Tasha Mahone,Shaw Raiders,"19' 9.75"""
,,3A,Erica Gill,Columbia Eagles,"18' 1.5"""
,,2A,Alicia Smith,Albany Indians,"18' 1"""
,,1A,Jessica Farrer,Model Blue Devils,"17' 2.75"""
,Triple Jump,4A,Nakeitra Jones,Northeast Raiders,"38' 4.75"""
,,3A,Kareen Clarke,Stephenson Jaguars,"38' 3.25"""
,,2A,Kiya Verdell,Hart County Bulldogs,"37' 6.5"""
,,1A,Regan Howard,Savannah Country Day Hornets,"34' 10.5"""
,Shot Put,4A,Carla Hardy,Banneker Trojans,"40' 11"""
,,3A,Amelia White,Elbert County Blue Devils,"38' 0"""
,,2A,Ashley Herndon,Fannin County Rebels,"39' 10"""
,,1A,Sherita Chinn,"Tri-County Eagles (Marion, Schley & Webster County)","38' 6"""
,Discus,4A,Jennifer Curry,Northeast Raiders,"135' 5"""
,,3A,Julie Thomas,Douglas County Tigers,"126' 9"""
,,2A,Ashley Herndon,Fannin County Rebels,"131' 8"""
,,1A,Alisha Shellman,Charlton County Indians,"104' 4"""
1996,4x100m Relay,4A,"Hannah Bailey, Monica Nunnally, Tasha Coxon, Kwameka Brown",Butler Bulldogs,48.04
,,3A,"Erica Gill, Keisha Grant, Sheneka Griffin, Shannon Murray",Columbia Eagles,47.4
,,2A,"Crystal McCrory, Tiffany Brown, Keyonda Hayes, Shalletica Wilder",North Clayton Eagles,49.07
,,1A,"Shana Bell, April Peters, Lukectria Collins, Deborah Hudson",Warren County Blue Devils,50.77
,1600m Run,4A,Erin Jones,Shiloh Generals,05:07.0
,,3A,Kyla Barbour,Marist War Eagles,05:05.4
,,2A,Katie Mathis,Gainesville Red Elephants,05:22.3
,,1A,Kerry Miller,Pace Academy Knights,05:19.8
,400m Dash,4A,Candida Coulson,Roswell Hornets,57.84
,,3A,Sheneka Griffin,Columbia Eagles,57.69
,,2A,Tenique Broughton,Cedar Grove Saints,55.66
,,1A,Regina Howard,Savannah Country Day Hornets,57.56
,100m Dash,4A,Tonya Carter,Alexander Cougars,12.33
,,3A,Shannon Murray,Columbia Eagles,12.05
,,2A,Marie Woodard,Crim Eagles,12.04
,,1A,Kelly Martin,Toombs County Bulldogs,12.49
,100m Intermediate Hurdles,4A,Jacqueline Madison,Douglass (ATL) Astros,14.43
,,3A,Annita Jeffery,Columbia Eagles,14.55
,,2A,Thomi Jones,Towers Titans,14.66
,,1A,Kelly Martin,Toombs County Bulldogs,14.65
,800m Run,4A,Nona Allen,Pope Greyhounds,02:17.5
,,3A,Maria Rivas,Columbia Eagles,02:22.7
,,2A,Whitley Nelson,Dacula Falcons,02:22.8
,,1A,Ragan Howard,Savannah Country Day Hornets,02:22.8
,200m Dash,4A,Terri Robinson,Southwest DeKalb Panthers,24.78
,,3A,Shannon Murray,Columbia Eagles,24.78
,,2A,Tenique Broughton,Cedar Grove Saints,24.61
,,1A,Traulanda Byrd,Southeast Bulloch Yellow Jackets,26.56
,300m Low Hurdles,4A,Summer Ciomek,Harrison Hoyas,44.97
,,3A,Tiffany Howard,Burke County Bears,45.24
,,2A,Keshia Gaines,Carrollton Trojans,45.2
,,1A,Marianne Mulkey,Mount Paran Eagles,45.83
,3200m Run,4A,Erin Jones,Shiloh Generals,11:02.3
,,3A,Kyla Barbour,Marist War Eagles,10:59.8
,,2A,Emily Lawrence,Darlington Tigers,11:53.7
,,1A,Sara Dykes,Brookstone Cougars,11:36.4
,4x400m Relay,4A,"Natalie Smith, Nikia Scott, Gina Arnold, Kelsey Woodard",Stone Mountain Pirates,03:56.8
,,3A,"Robin Freeman, Sheneka Griffin, Maria Rivas, Keisha Grant",Columbia Eagles,03:56.9
,,2A,"Marie Woodward, Tuneshia Roach, Jelina Brooks, Adrienne Warren",Crim Eagles,04:00.5
