Year,Event,Class,Name,School,Mark
,,5A,"Trinity Price, Alexa Rossum, Trinity Rossum, Kimberly Harris",Buford Wolves,45.26
,,4A,"Joy Scott, Kayla Alexander, Derica Price, Ilene Soleyn",Chapel Hill Panthers,47.09
,,3A,"Nia Brown, Chloe Fair, Jada Jones",Greater Atlanta Christian Spartans,45.73
,,2A,"Courtney Madison, Myesha Hall, Mahogany Johnson, Jasmin Phillips",Vidalia Indians,48.99
,,1A,"Armani Johnson, Jaderia Mack, Ny'Asia Robinson, KeAsia Freeman",Irwin County Indians,49.28
,,1A-P,"Callie Davis, Amaya Register, Jahni Kerr, Meagan Lynch",Wesleyan Wolves,48.01
,1600m Run,7A,Brynne Sumner,Woodstock Wolverines,04:50.1
,,6A,Brenda Ayuk,Alexander Cougars,05:04.6
,,5A,Emoni Coleman,Miller Grove Wolverines,05:04.0
,,4A,Nicole Pachuta,Oconee County Warriors,05:03.7
,,3A,Naima Turbes,Westminster Wildcats,04:50.3
,,2A,Rebecca Chandler,Berrien Rebels,05:35.8
,,1A,Gracie O'Neal,Gordon Lee Trojans,05:20.6
,,1A-P,Anna Marian Block,Athens Academy Spartans,04:56.3
,400m Dash,7A,Kennedy Simon,Westlake Lions,52.52
,,6A,Shatara Johnson,Drew Titans,55.23
,,5A,Kimberly Harris,Buford Wolves,53.31
,,4A,Kiana Banks,Spalding Jaguars,55.11
,,3A,J'Milya Poole,Monroe (Albany) Tornadoes,
,,2A,Mecca Jackson,Washington County Hawks,57.26
,,1A,Dasia Wyatt,Bowdon Red Devils,59.9
,,1A-P,Jasmine Barrow,Athens Academy Spartans,58.34
,100m Dash,7A,Jazmine Hobson,Shiloh Generals,11.69
,,6A,Vivette Green,Alexander Cougars,11.75
,,5A,Alexa Rossum,Buford Wolves,11.78
,,4A,Miriam Waters,Woodward Academy War Eagles,11.92
,,3A,Nia Brown,Greater Atlanta Christian Spartans,11.97
,,2A,Khadijah Montgomery,Temple Tigers,12.09
,,1A,Tycoriah Danner,Washington-Wilkes Tigers,12.15
,,1A-P,Meagan Lynch,Wesleyan Wolves,12.2
,100m Intermediate Hurdles,7A,Tia Jones,Walton Raiders,13.3
,,6A,Simone Harper,Stephenson Jaguars,14.52
,,5A,Jayda Drake-Howad,North Springs Trojans,13.55
,,4A,Kayla Alexander,Chapel Hill Panthers,13.94
,,3A,Jasmine Jones,Greater Atlanta Christian Spartans,13.77
,,2A,Courtney Madison,Vidalia Indians,14.75
,,1A,Tanisah Huckaby,Terrell County Greenwaves,15.03
,,1A-P,Anna Davis,Tallulah Falls Indians,15.05
,800m Run,7A,Brynne Sumner,Woodstock Wolverines,02:13.4
,,6A,Brenda Ayuk,Alexander Cougars,02:12.2
,,5A,Emoni Coleman,Miller Grove Wolverines,02:12.5
,,4A,Nicole Pachuta,Oconee County Warriors,02:16.8
,,3A,Naima Turbes,Westminster Wildcats,02:11.2
,,2A,Kennedee Williams,East Laurens Falcons,02:24.6
,,1A,Gracie O'Neal,Gordon Lee Trojans,02:23.1
,,1A-P,Anna Marian Block,Athens Academy Spartans,02:12.8
,200m Dash,7A,Kennedy Simon,Westlake Lions,23.78
,,6A,Shatara Johnson,Drew Titans,24.23
,,5A,Trinity Price,Buford Wolves,23.85
,,4A,Kiana Banks,Spalding Jaguars,24.37
,,3A,Jaeda Hunt,Monroe (Albany) Tornadoes,24.12
,,2A,Khadijah Montgomery,Temple Tigers,25.21
,,1A,Kiara Binns,Washington-Wilkes Tigers,25.79
,,1A-P,Meagan Lynch,Wesleyan Wolves,24.66
,300m Low Hurdles,7A,Nilaja Florence,McEachern Indians,42.53
,,6A,Reese Crawford,Centennial Knights,43.14
,,5A,Jayda Drake-Howard,North Springs Trojans,42.24
,,4A,Chastity Pickett,Westover Patriots,43.82
,,3A,Jasmine Jones,Greater Atlanta Christian Spartans,41.81
,,2A,Courtney Madison,Vidalia Indians,45.16
,,1A,Tanisah Huckaby,Terrell County Greenwaves,47.23
,,1A-P,Annie Davis,Tallulah Falls Indians,44.68
,3200m Run,7A,Elizabeth Funderburk,Colquitt County Packers,10:37.1
,,6A,Kira Stanley,Harrison Hoyas,11:38.3
,,5A,Megan Uszynski,McIntosh Chiefs,11:10.2
,,4A,Josie Wirtz,Marist War Eagles,10:52.4
,,3A,Delaney Graham,Westminster Wildcats,11:30.6
,,2A,Austin Perez,Bleckley County Royals,12.11.97
,,1A,Kate Massey,Commerce Tigers,13:02.5
,,1A-P,Erin Fegans,Landmark Christian War Eagles,11:03.1
,4x400m Relay,7A,"Shanice Elliott, Trinity Williams, Kennedy Simon, Tai Brown",Westlake Lions,03:44.3
,,6A,"Alexia Allen, Kennedy Quarles, Dae' Nitra Hester, Cassandra Fenelon",New Manchester Jaguars,03:51.7
,,5A,"Kayla Tolbert, Saran Kouyeth, Kennedi Weston Shields, Jayda Drake-Howard",North Springs Trojans,03:44.9
,,4A,"Kianna Banks, Dymond Bell, Adrianna Wellmaker, Trenia Stephens",Spalding Jaguars,03:55.5
,,3A,"Camielle Milledge, Jaeda Hunt, Naila Harris, J'Milya Poole",Monroe (Albany) Tornadoes,03:47.9
,,2A,"Pherilyn Boyd, Jamecia Johnson, Darnell Pitts, Nekiyah Thompson",Douglass (ATL) Astros,04:07.0
,,1A,"Brandy Mackey, India Wells, NyAsia Howard, Tymeisha Livingston",Telfair County Trojans,04:07.2
,,1A-P,"Callie Davis, Amaya Register, Sutton West, Meagan Lynch",Wesleyan Wolves,03:56.3
,High Jump,7A,Elasia Campbell,Walton Raiders,"5' 6"""
