"State","Year","Gender","Event","Mark"
"Florida",2006,"Girls","100m",11.53
"Florida",2006,"Girls","1600m",295.7
"Florida",2006,"Girls","800m",132.99
"Florida",2006,"Girls","High Jump",1.6764
"Florida",2006,"Girls","Pole Vault",3.2004
"Florida",2007,"Boys","100m",10.37
"Florida",2007,"Boys","1600m",248.8
"Florida",2007,"Boys","800m",113.54
"Florida",2007,"Boys","High Jump",1.9812
"Florida",2007,"Boys","Pole Vault",4.2672
"Florida",2007,"Girls","100m",11.77
"Florida",2007,"Girls","1600m",295.8
"Florida",2007,"Girls","800m",130.9
"Florida",2007,"Girls","High Jump",1.6764
"Florida",2007,"Girls","Pole Vault",3.2004
"Florida",2008,"Boys","100m",10.4
"Florida",2008,"Boys","1600m",255.6
"Florida",2008,"Boys","800m",112.2
"Florida",2008,"Boys","High Jump",1.9304
"Florida",2008,"Boys","Pole Vault",4.2672
"Florida",2008,"Girls","100m",12.04
"Florida",2008,"Girls","1600m",292.64
"Florida",2008,"Girls","800m",130.52
"Florida",2008,"Girls","High Jump",1.6256
"Florida",2008,"Girls","Pole Vault",3.3528
"Florida",2009,"Boys","100m",10.32
"Florida",2009,"Boys","1600m",257.4
"Florida",2009,"Boys","800m",112.93
"Florida",2009,"Boys","High Jump",1.9812
"Florida",2009,"Boys","Pole Vault",4.2672
"Florida",2009,"Girls","100m",11.56
"Florida",2009,"Girls","1600m",295.11
"Florida",2009,"Girls","800m",129.44
"Florida",2009,"Girls","High Jump",1.6256
"Florida",2009,"Girls","Pole Vault",3.2004
"Florida",2010,"Boys","100m",10.19
"Florida",2010,"Boys","1600m",251.77
"Florida",2010,"Boys","800m",112.82
"Florida",2010,"Boys","High Jump",1.9304
"Florida",2010,"Boys","Pole Vault",4.2672
"Florida",2010,"Girls","100m",11.39
"Florida",2010,"Girls","1600m",291.41
"Florida",2010,"Girls","800m",130.81
"Florida",2010,"Girls","High Jump",1.6256
"Florida",2010,"Girls","Pole Vault",3.3528
"Florida",2011,"Boys","100m",10.39
"Florida",2011,"Boys","1600m",249.5
"Florida",2011,"Boys","800m",112.58
"Florida",2011,"Boys","High Jump",2.0066
"Florida",2011,"Boys","Pole Vault",4.4196
"Florida",2011,"Girls","100m",11.41
"Florida",2011,"Girls","1600m",294.98
"Florida",2011,"Girls","800m",132.65
"Florida",2011,"Girls","High Jump",1.6256
"Florida",2011,"Girls","Pole Vault",3.3528
"Florida",2012,"Boys","100m",10.49
"Florida",2012,"Boys","1600m",254.06
"Florida",2012,"Boys","800m",111.43
"Florida",2012,"Boys","High Jump",1.9558
"Florida",2012,"Boys","Pole Vault",4.2672
"Florida",2012,"Girls","100m",11.63
"Florida",2012,"Girls","1600m",293.6
"Florida",2012,"Girls","800m",130.5
"Florida",2012,"Girls","High Jump",1.6764
"Florida",2012,"Girls","Pole Vault",3.5052
"Florida",2013,"Boys","100m",10.45
"Florida",2013,"Boys","1600m",255.5
"Florida",2013,"Boys","800m",114.09
"Florida",2013,"Boys","High Jump",1.8796
"Florida",2013,"Boys","Pole Vault",4.4196
"Florida",2013,"Girls","100m",11.3
"Florida",2013,"Girls","1600m",299.39
"Florida",2013,"Girls","800m",130.12
"Florida",2013,"Girls","High Jump",1.6256
"Florida",2013,"Girls","Pole Vault",3.3528
"Florida",2014,"Boys","100m",10.33
"Florida",2014,"Boys","1600m",245.96
"Florida",2014,"Boys","800m",112.27
"Florida",2014,"Boys","High Jump",1.8796
"Florida",2014,"Boys","Pole Vault",4.2672
"Florida",2014,"Girls","100m",11.48
"Florida",2014,"Girls","1600m",291.61
"Florida",2014,"Girls","800m",132.3
"Florida",2014,"Girls","High Jump",1.5748
"Florida",2014,"Girls","Pole Vault",3.048
"Florida",2015,"Boys","100m",10.38
"Florida",2015,"Boys","1600m",252.76
"Florida",2015,"Boys","800m",113.03
"Florida",2015,"Boys","High Jump",1.9304
"Florida",2015,"Boys","Pole Vault",4.572
"Florida",2015,"Girls","100m",11.44
"Florida",2015,"Girls","1600m",299
"Florida",2015,"Girls","800m",131
"Florida",2015,"Girls","High Jump",1.6256
"Florida",2015,"Girls","Pole Vault",3.3528
"Florida",2016,"Boys","100m",10.67
"Florida",2016,"Boys","1600m",255.42
"Florida",2016,"Boys","800m",112.91
"Florida",2016,"Boys","High Jump",1.9304
"Florida",2016,"Boys","Pole Vault",4.4196
"Florida",2016,"Girls","100m",11.72
"Florida",2016,"Girls","1600m",301.32
"Florida",2016,"Girls","800m",126.74
"Florida",2016,"Girls","High Jump",1.6002
"Florida",2016,"Girls","Pole Vault",3.2766
"Florida",2017,"Boys","100m",10.56
"Florida",2017,"Boys","1600m",256.21
"Florida",2017,"Boys","800m",113.16
"Florida",2017,"Boys","High Jump",2
"Florida",2017,"Boys","Pole Vault",4.4
"Florida",2017,"Girls","100m",11.57
"Florida",2017,"Girls","1600m",290.48
"Florida",2017,"Girls","800m",130.29
"Florida",2017,"Girls","High Jump",1.6
"Florida",2017,"Girls","Pole Vault",3.41
"Florida",2018,"Boys","100m",10.07
"Florida",2018,"Boys","1600m",248.2
"Florida",2018,"Boys","800m",112
"Florida",2018,"Boys","High Jump",2.02
"Florida",2018,"Boys","Pole Vault",1.7526
"Florida",2018,"Girls","100m",11.31
"Florida",2018,"Girls","1600m",289.47
"Florida",2018,"Girls","800m",122.77
"Florida",2018,"Girls","High Jump",1.62
"Florida",2018,"Girls","Pole Vault",3.45
"Florida",2019,"Boys","100m",10.55
"Florida",2019,"Boys","1600m",253.47
"Florida",2019,"Boys","800m",111
"Florida",2019,"Boys","High Jump",1.905
"Florida",2019,"Boys","Pole Vault",4.4958
"Florida",2019,"Girls","100m",11.47
"Florida",2019,"Girls","1600m",290.62
"Florida",2019,"Girls","800m",129.8
"Florida",2019,"Girls","High Jump",1.61925
"Florida",2019,"Girls","Pole Vault",3.429
"Georgia",1978,"Boys","100m",10.67744
"Georgia",1978,"Boys","1600m",256.10592
"Georgia",1978,"Boys","800m",111.8475
"Georgia",1978,"Boys","High Jump",1.9304
