Year,State,Gender,Event,Mark,
1977,Nebraska,Boys,440y,50.2,
1977,Nebraska,Boys,880y,01:56.8,
1977,Nebraska,Boys,High Jump,6'11,
1978,Nebraska,Boys,100y,9.9,
1978,Nebraska,Boys,440y,50.7,
1978,Nebraska,Boys,880y,01:57.0,
1978,Nebraska,Boys,High Jump,6'6,
1979,Nebraska,Boys,100y,10.2,
1979,Nebraska,Boys,440y,50.1,
1979,Nebraska,Boys,880y,01:55.1,
1979,Nebraska,Boys,High Jump,6'6,
1975,Nebraska,Girls,100y,10.9,
1975,Nebraska,Girls,440y,58.2,
1975,Nebraska,Girls,880y,02:20.1,
1975,Nebraska,Girls,High Jump,5'3,
1976,Nebraska,Girls,100y,10.8,
1976,Nebraska,Girls,440y,01:00.3,
1976,Nebraska,Girls,880y,02:20.0,
1976,Nebraska,Girls,High Jump,5'6,
1977,Nebraska,Girls,100y,10.8,
1977,Nebraska,Girls,440y,58,
1977,Nebraska,Girls,880y,02:19.2,
1977,Nebraska,Girls,High Jump,5'8,
1978,Nebraska,Girls,100y,11.3,
1978,Nebraska,Girls,440y,59.2,
1978,Nebraska,Girls,880y,02:21.2,
1978,Nebraska,Girls,High Jump,5'8,
1979,Nebraska,Girls,100y,11.5,
1979,Nebraska,Girls,440y,58.3,
1979,Nebraska,Girls,880y,02:19.8,
1979,Nebraska,Girls,High Jump,5'5,
