"State","Year","Gender","Event","Class","Mark"
"Ohio","2011","Boys","High Jump","Division II","6-08.00"
"Ohio","2011","Boys","Pole Vault","Division II","14-09.00"
"Ohio","2011","Girls","100m","Division II","12.19"
"Ohio","2011","Girls","1600m","Division II","5:01.25"
"Ohio","2011","Girls","800m","Division II","2:12.25"
"Ohio","2011","Girls","High Jump","Division II","5-06.00"
"Ohio","2011","Girls","Pole Vault","Division II","11-09.00"
"Ohio","2011","Boys","100m","Division III","11.05"
"Ohio","2011","Boys","1600m","Division III","4:16.85"
"Ohio","2011","Boys","800m","Division III","1:52.07"
"Ohio","2011","Boys","High Jump","Division III","7-00.00"
"Ohio","2011","Boys","Pole Vault","Division III","15-06.00"
"Ohio","2011","Girls","100m","Division III","12.42"
"Ohio","2011","Girls","1600m","Division III","5:03.84"
"Ohio","2011","Girls","800m","Division III","2:13.75"
"Ohio","2011","Girls","High Jump","Division III","5-06.00"
"Ohio","2011","Girls","Pole Vault","Division III","12-08.00"
"Ohio","2009","Boys","100m","Division I","10.90"
"Ohio","2009","Boys","1600m","Division I","4:10.57"
"Ohio","2009","Boys","800m","Division I","1:51.36"
"Ohio","2009","Boys","High Jump","Division I","7-01.00"
"Ohio","2009","Boys","Pole Vault","Division I","15-09.00"
"Ohio","2009","Girls","100m","Division I","12.04"
"Ohio","2009","Girls","1600m","Division I","4:49.18"
"Ohio","2009","Girls","800m","Division I","2:10.79"
"Ohio","2009","Girls","High Jump","Division I","5-09.00"
"Ohio","2009","Girls","Pole Vault","Division I","12-08.00"
"Ohio","2009","Boys","100m","Division II","10.97"
"Ohio","2009","Boys","1600m","Division II","4:16.43"
"Ohio","2009","Boys","800m","Division II","1:51.44"
"Ohio","2009","Boys","High Jump","Division II","6-07.00"
"Ohio","2009","Boys","Pole Vault","Division II","15-03.00"
"Ohio","2009","Girls","100m","Division II","12.05"
"Ohio","2009","Girls","1600m","Division II","5:00.71"
"Ohio","2009","Girls","800m","Division II","2:16.01"
"Ohio","2009","Girls","High Jump","Division II","5-04.00"
"Ohio","2009","Girls","Pole Vault","Division II","12-00.00"
"Ohio","2009","Boys","100m","Division III","11.11"
"Ohio","2009","Boys","1600m","Division III","4:20.76"
"Ohio","2009","Boys","800m","Division III","1:52.86"
"Ohio","2009","Boys","High Jump","Division III","6-10.00"
"Ohio","2009","Boys","Pole Vault","Division III","15-00.00"
"Ohio","2009","Girls","100m","Division III","12.05"
"Ohio","2009","Girls","1600m","Division III","4:50.93"
"Ohio","2009","Girls","800m","Division III","2:09.77"
"Ohio","2009","Girls","High Jump","Division III","5-07.00"
"Ohio","2009","Girls","Pole Vault","Division III","11-08.00"
"Ohio","2012","Boys","100m","Division I","10.76"
"Ohio","2012","Boys","1600m","Division I","4:14.03"
"Ohio","2012","Boys","800m","Division I","1:51.09"
"Ohio","2012","Boys","High Jump","Division I","6-07.00"
"Ohio","2012","Boys","Pole Vault","Division I","17-02.00"
"Ohio","2012","Girls","100m","Division I","11.95"
"Ohio","2012","Girls","1600m","Division I","4:49.61"
"Ohio","2012","Girls","800m","Division I","2:08.05"
"Ohio","2012","Girls","High Jump","Division I","5-09.00"
"Ohio","2012","Girls","Pole Vault","Division I","12-05.00"
"Ohio","2012","Boys","100m","Division II","10.98"
"Ohio","2012","Boys","1600m","Division II","4:10.33"
"Ohio","2012","Boys","800m","Division II","1:54.01"
"Ohio","2012","Boys","High Jump","Division II","6-07.00"
"Ohio","2012","Boys","Pole Vault","Division II","16-01.00"
"Ohio","2012","Girls","100m","Division II","12.06"
"Ohio","2012","Girls","1600m","Division II","5:00.97"
"Ohio","2012","Girls","800m","Division II","2:12.17"
"Ohio","2012","Girls","High Jump","Division II","5-05.00"
"Ohio","2012","Girls","Pole Vault","Division II","13-01.00"
"Ohio","2012","Boys","100m","Division III","11.18"
"Ohio","2012","Boys","1600m","Division III","4:12.93"
"Ohio","2012","Boys","800m","Division III","1:53.29"
"Ohio","2012","Boys","High Jump","Division III","6-04.00"
"Ohio","2012","Boys","Pole Vault","Division III","15-00.00"
"Ohio","2012","Girls","100m","Division III","12.37"
"Ohio","2012","Girls","1600m","Division III","4:58.31"
"Ohio","2012","Girls","800m","Division III","2:14.12"
"Ohio","2012","Girls","High Jump","Division III","5-05.00"
"Ohio","2012","Girls","Pole Vault","Division III","12-04.00"
"Ohio","2013","Boys","100m","Division I","10.68"
"Ohio","2013","Boys","1600m","Division I","4:08.21"
"Ohio","2013","Boys","800m","Division I","1:51.58"
"Ohio","2013","Boys","High Jump","Division I","6-10.25"
"Ohio","2013","Boys","Pole Vault","Division I","16-00.00"
"Ohio","2013","Girls","100m","Division I","11.98"
"Ohio","2013","Girls","1600m","Division I","4:51.23"
"Ohio","2013","Girls","800m","Division I","2:10.13"
"Ohio","2013","Girls","High Jump","Division I","5-07.00"
"Ohio","2013","Girls","Pole Vault","Division I","13-00.25"
"Ohio","2013","Boys","100m","Division II","10.81"
"Ohio","2013","Boys","1600m","Division II","4:14.00"
"Ohio","2013","Boys","800m","Division II","1:52.32"
"Ohio","2013","Boys","High Jump","Division II","6-10.00"
"Ohio","2013","Boys","Pole Vault","Division II","15-09.00"
"Ohio","2013","Girls","100m","Division II","11.90"
"Ohio","2013","Girls","1600m","Division II","4:55.26"
"Ohio","2013","Girls","800m","Division II","2:11.80"
"Ohio","2013","Girls","High Jump","Division II","5' 5"""
"Ohio","2013","Girls","Pole Vault","Division II","12-05.25"
"Ohio","2013","Boys","100m","Division III","10.88"
"Ohio","2013","Boys","1600m","Division III","4:11.72"
"Ohio","2013","Boys","800m","Division III","1:53.74"
"Ohio","2013","Boys","High Jump","Division III","6-06.00"
"Ohio","2013","Boys","Pole Vault","Division III","15-03.00"
"Ohio","2013","Girls","100m","Division III","12.32"
"Ohio","2013","Girls","1600m","Division III","4:57.88"
"Ohio","2013","Girls","800m","Division III","2:15.02"
"Ohio","2013","Girls","High Jump","Division III","5-05.00"
"Ohio","2013","Girls","Pole Vault","Division III","11-09.00"
"Ohio","2014","Girls","100m","Division I","11.90"
"Ohio","2014","Boys","100m","Division I","10.53"
"Ohio","2014","Girls","1600m","Division I","4:56.83"
"Ohio","2014","Boys","1600m","Division I","4:07.96"
"Ohio","2014","Girls","800m","Division I","2:09.55"
"Ohio","2014","Boys","800m","Division I","1:51.59"
"Ohio","2014","Girls","High Jump","Division I","5-08.00"
"Ohio","2014","Boys","High Jump","Division I","6-10.00"
"Ohio","2014","Girls","Pole Vault","Division I","12-10.25"
"Ohio","2014","Boys","Pole Vault","Division I","15-10.00"
"Ohio","2014","Girls","100m","Division II","12.15"
"Ohio","2014","Boys","100m","Division II","10.83"
"Ohio","2014","Girls","1600m","Division II","4:49.53"
"Ohio","2014","Boys","1600m","Division II","4:18.44"
"Ohio","2014","Girls","800m","Division II","2:09.25"
"Ohio","2014","Boys","800m","Division II","1:52.59"
"Ohio","2014","Girls","High Jump","Division II","5-08.00"
"Ohio","2014","Boys","High Jump","Division II","6-10.00"
"Ohio","2014","Girls","Pole Vault","Division II","13-04.25"
"Ohio","2014","Boys","Pole Vault","Division II","16-02.00"
"Ohio","2014","Girls","100m","Division III","12.30"
"Ohio","2014","Boys","100m","Division III","10.94"
"Ohio","2014","Girls","1600m","Division III","5:02.98"
"Ohio","2014","Boys","1600m","Division III","4:16.27"
"Ohio","2014","Girls","800m","Division III","2:14.30"
"Ohio","2014","Boys","800m","Division III","1:53.05"
"Ohio","2014","Girls","High Jump","Division III","5-06.00"
"Ohio","2014","Boys","High Jump","Division III","6-08.00"
"Ohio","2014","Girls","Pole Vault","Division III","12-00.00"
"Ohio","2014","Boys","Pole Vault","Division III","15-00.00"
"Ohio","2015","Girls","100m","Division I","11.85"
"Ohio","2015","Boys","100m","Division I","10.66"
"Ohio","2015","Girls","1600m","Division I","4:48.39"
"Ohio","2015","Boys","1600m","Division I","4:12.16"
"Ohio","2015","Girls","800m","Division I","2:07.27"
"Ohio","2015","Boys","800m","Division I","1:51.16"
"Ohio","2015","Girls","High Jump","Division I","5-09.00"
"Ohio","2015","Boys","High Jump","Division I","6-10.00"
"Ohio","2015","Girls","Pole Vault","Division I","13-06.00"
"Ohio","2015","Boys","Pole Vault","Division I","16-04.00"
"Ohio","2015","Girls","100m","Division II","11.68"
"Ohio","2015","Boys","100m","Division II","10.66"
"Ohio","2015","Girls","1600m","Division II","4:53.08"
"Ohio","2015","Boys","1600m","Division II","4:07.12"
"Ohio","2015","Girls","800m","Division II","2:13.76"
"Ohio","2015","Boys","800m","Division II","1:54.53"
"Ohio","2015","Girls","High Jump","Division II","5-07.00"
"Ohio","2015","Boys","High Jump","Division II","6-10.00"
"Ohio","2015","Girls","Pole Vault","Division II","12-08.00"
"Ohio","2015","Boys","Pole Vault","Division II","16-06.25"
"Ohio","2015","Girls","100m","Division III","12.20"
"Ohio","2015","Boys","100m","Division III","10.55"
"Ohio","2015","Girls","1600m","Division III","4:58.87"
"Ohio","2015","Boys","1600m","Division III","4:17.78"
"Ohio","2015","Girls","800m","Division III","2:16.07"
"Ohio","2015","Boys","800m","Division III","1:54.02"
"Ohio","2015","Girls","High Jump","Division III","5-08.00"
"Ohio","2015","Boys","High Jump","Division III","6-08.00"
"Ohio","2015","Girls","Pole Vault","Division III","12-04.00"
"Ohio","2015","Boys","Pole Vault","Division III","15-08.00"
"Ohio","2016","Girls","100m","Division I","11.87"
"Ohio","2016","Boys","100m","Division I","10.86"
"Ohio","2016","Girls","1600m","Division I","4:53.08"
"Ohio","2016","Boys","1600m","Division I","4:09.24"
"Ohio","2016","Girls","800m","Division I","2:07.42"
"Ohio","2016","Boys","800m","Division I","1:49.16"
"Ohio","2016","Girls","High Jump","Division I","5-07.00"
"Ohio","2016","Boys","High Jump","Division I","6-10.00"
"Ohio","2016","Girls","Pole Vault","Division I","13-04.00"
"Ohio","2016","Boys","Pole Vault","Division I","16-08.00"
"Ohio","2016","Girls","100m","Division II","11.98"
"Ohio","2016","Boys","100m","Division II","10.77"
"Ohio","2016","Girls","1600m","Division II","4:55.30"
"Ohio","2016","Boys","1600m","Division II","4:05.62"
"Ohio","2016","Girls","800m","Division II","2:09.76"
"Ohio","2016","Boys","800m","Division II","1:53.38"
"Ohio","2016","Girls","High Jump","Division II","5-07.00"
"Ohio","2016","Boys","High Jump","Division II","6-10.00"
"Ohio","2016","Girls","Pole Vault","Division II","11-09.00"
"Ohio","2016","Boys","Pole Vault","Division II","16-00.00"
"Ohio","2016","Girls","100m","Division III","12.26"
"Ohio","2016","Boys","100m","Division III","10.94"
"Ohio","2016","Girls","1600m","Division III","4:49.06"
"Ohio","2016","Boys","1600m","Division III","4:14.34"
"Ohio","2016","Girls","800m","Division III","2:10.67"
"Ohio","2016","Boys","800m","Division III","1:54.77"
"Ohio","2016","Girls","High Jump","Division III","5-10.00"
"Ohio","2016","Boys","High Jump","Division III","6-07.00"
"Ohio","2016","Girls","Pole Vault","Division III","12-04.00"
"Ohio","2016","Boys","Pole Vault","Division III","15-06.00"
"Ohio","2017","Girls","100m","Division I","11.61"
"Ohio","2017","Boys","100m","Division I","10.68"
"Ohio","2017","Girls","1600m","Division I","4:43.25"
"Ohio","2017","Boys","1600m","Division I","4:08.38"
"Ohio","2017","Girls","800m","Division I","2:07.47"
"Ohio","2017","Boys","800m","Division I","1:53.28"
"Ohio","2017","Girls","High Jump","Division I","5-08.00"
"Ohio","2017","Boys","High Jump","Division I","6-10.00"
"Ohio","2017","Girls","Pole Vault","Division I",NA
"Ohio","2017","Boys","Pole Vault","Division I","15-08.00"
"Ohio","2017","Girls","100m","Division II","11.98"
