Column1,Column2,Column3
"2003Norwell High School, MA",(B) 880y / 800m1:53.95,Vagner SantosBrockton
"2003Norwell High School, MA",(B) Long Jump21-09.50,Rosell Lopez-PittsMashpee
"2003Norwell High School, MA",(B) Triple Jump45-07.00,Travis SuberLongmeadow
"2003Norwell High School, MA",(G) Pole Vault13-00.00,Anna McFarlaneConcord-Carlisle
"2003Norwell High School, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.56,Katie ShermanDennis-Yarmouth
"2003Norwell High School, MA",(G) 2 MILE10:45.15,Amber SayerAmherst-Pelham
"2003Norwell High School, MA",(B) Discus166-07,Rob ChiacchioXaverian Brothers
"2003Norwell High School, MA",(B) 4X8007:58.31,#NAME?
"2003Norwell High School, MA",(B) 220y / 200M22.28,Hafiz GreigreAttleboro
"2003Norwell High School, MA",(B) 180y / 330y / 300M / 400M Hurdles38.68,Terry YoungMansfield
"2003Norwell High School, MA",(G) Javelin130-09,Laura DudekPalmer
"2003Norwell High School, MA",(B) Javelin182-06,Andrea HeaneyReading Memorial
"2003Norwell High School, MA",(B) 440y / 400M48.54,Dan SaltzmanFoxboro
"2003Norwell High School, MA",(B) Pole Vault13-00.00,Thomas SimmonsNew Bedford
"2003Norwell High School, MA",(G) 180y / 330y / 300M / 400M Hurdles43.25,Colleen FarleyMt. Greylock
"2003Norwell High School, MA",(G) High Jump5-06.00,Julie ReganMarblehead
"2003Norwell High School, MA",(G) Long Jump18-05.50,Kara DickmanWestborough
"2003Norwell High School, MA",(B) 100y / 100M11.17,Tim HardingCambridge Rindge & Latin
"2003Norwell High School, MA",(B) 2 MILE9:04.34,Chris BarnicleNewton North
"2003Norwell High School, MA",(G) 4X8009:31.55,#NAME?
"2003Norwell High School, MA",(B) 4x440 / 4x4003:22.46,#NAME?
"2003Norwell High School, MA",(B) 1 MILE4:09.58,Victor GrasBelmont
"2003Norwell High School, MA",(G) Triple Jump38-08.50,Tiana RielHopkinton
"2003Norwell High School, MA",(G) 1 MILE4:37.23,Ari LambieBromfield
"2003Norwell High School, MA",(G) 880y / 800m2:13.44,Meredith LeenhoutsFranklin
"2003Norwell High School, MA",(B) High Jump7-00.50,Jean Washington MorissetQuincy
"2003Norwell High School, MA",(B) 4x110y / 4x100M43.34,#NAME?
"2002Worcester State, MA",(G) Pole Vault12-6,Samantha ShepardWeston
"2002Worcester State, MA",(B) 880y / 800m1:53.52,John BauerConcord-Carlisle
"2002Worcester State, MA",(G) 220y / 200M24.88,Jordine KimbrelBoston Latin Academy
"2002Worcester State, MA",(B) Team Champion28,New BedfordNew Bedford
"2002Worcester State, MA",(G) Javelin134-03,Kate TexeiraSeekonk
"2002Worcester State, MA",(G) Triple Jump38-10.24,Tiana RielHopkinton
"2002Worcester State, MA",(B) Shot Put56-07.25,Sean HutchinsonBillerica Memorial
"2002Worcester State, MA",(B) Triple Jump45-7,Michael WileyAmherst-Pelham
"2002Worcester State, MA",(G) High Jump5-6.00,Jennifer HarlowEast Bridgewater
"2002Worcester State, MA",(G) Long Jump19-3.5,Kara DickmanWestborough
"2002Worcester State, MA",(G) 4x440 / 4x4003:56.46,#NAME?
"2002Worcester State, MA",(G) 1 MILE4:53.98,Lindsay DonaldsonLincoln-Sudbury
"2002Worcester State, MA",(B) Long Jump22-10,Tim HardingCambridge Rindge & Latin
"2002Worcester State, MA",(B) 220y / 200M21.73,Hafiz GreigereBishop Feehan
"2002Worcester State, MA",(B) 4x440 / 4x4003:23.47,"Gibbons, Hansberry, Steinhauser, WesternWestford Academy"
"2002Worcester State, MA",(B) 100y / 100M10.94,Chris SpiveyConcord-Carlisle
"2002Worcester State, MA",(G) 4x110y / 4x100M49.28,#NAME?
"2002Worcester State, MA",(G) 2 MILE11:01.07,Emily JohnsonNewton South
"2002Worcester State, MA",(B) 2 MILE9:17.02,Abdulgani AbdiBrockton
"2002Worcester State, MA",(G) Team Champion39,HopkintonHopkinton
"2002Worcester State, MA",(G) 180y / 330y / 300M / 400M Hurdles43.56,Kourtney TrainorNotre Dame Academy-Hingham
"2002Worcester State, MA",(G) Discus133-10,Amber JacksonAmherst-Pelham
"2002Worcester State, MA",(G) 440y / 400M56.45,Akilah KingMedford
"2002Worcester State, MA",(G) 4X8009:32.01,#NAME?
"2002Worcester State, MA",(B) 180y / 330y / 300M / 400M Hurdles38.74,Chris OrrHingham
"2002Worcester State, MA",(B) 4x110y / 4x100M42.74,#NAME?
"2002Worcester State, MA",(B) 440y / 400M47.82,Chris BonnerXaverian Brothers
"2002Worcester State, MA",(B) Discus162-07,Jim UnisGloucester
"2002Worcester State, MA",(B) High Jump7-0.25,Miguel BonillaSpringfield
"2002Worcester State, MA",(B) 4X8008:00.09,"Hansberry, Severo, Smith, SteinhauserWestford Academy"
"2002Worcester State, MA",(B) Javelin181-09,Anthony NardozziSeekonk
"2002Worcester State, MA",(G) Shot Put39-09.25,Megan FrederickIpswich
"2002Worcester State, MA",(B) Pole Vault14-0,Justin Alden-DunnDover-Sherborn
"2002Worcester State, MA",(B) 1 MILE4:18.94,Victor GrasBelmont
"2002Worcester State, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.49,Luis MoreiraSomerville
"2002Worcester State, MA",(G) 880y / 800m2:08.74,Ari LambieBromfield
"2002Worcester State, MA",(G) 100y / 100M12.20,Carrie PlittHamilton-Wenham
"2002Worcester State, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.80,Tiana RielHopkinton
"2001Worcester State, MA",(B) 880y / 800m1:51.10,Said AhmedEnglish
"2001Worcester State, MA",(B) 4x440 / 4x4003:23.90,#NAME?
"2001Worcester State, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles15.20,Aquila JudgeScituate
"2001Worcester State, MA",(B) 220y / 200M21.90,Bruce BrownAndover
"2001Worcester State, MA","(B) Long Jump21'-11.75""",Derek SwartAlgonquin
"2001Worcester State, MA",(B) Javelin--,Brian CassidyWhitman Hanson
"2001Worcester State, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.50,Mike DelgadoBridgewater-Raynham
"2001Worcester State, MA",(G) 4x110y / 4x100M50.11,#NAME?
"2001Worcester State, MA",(G) 4X8009:28.37,#NAME?
"2001Worcester State, MA",(B) 180y / 330y / 300M / 400M Hurdles38.64,Chad NattiGloucester
"2001Worcester State, MA",(B) 1 MILE4:17.30,Josh PalazolaGloucester
"2001Worcester State, MA",(G) Pole Vault--,----
"2001Worcester State, MA","(B) Triple Jump46'-7""",Xavier GarciaStoneham
"2001Worcester State, MA","(B) High Jump6'-6""",Miguel BonillaSpring Sch Science
"2001Worcester State, MA",(G) 880y / 800m2:13.70,Colleen FarleyMt. Greylock
"2001Worcester State, MA",(B) Pole Vault--,----
"2001Worcester State, MA",(B) 4x110y / 4x100M42.92,--St. John's Prep
"2001Worcester State, MA",(G) 4x440 / 4x4003:54.37,#NAME?
"2001Worcester State, MA",(G) Javelin--,----
"2001Worcester State, MA",(G) 440y / 400M56.98,Daviann BrownSilver Lake
"2001Worcester State, MA",(B) Discus--,James UnisGloucester
"2001Worcester State, MA",(G) Team Champion--,----
"2001Worcester State, MA",(B) 4X8007:58.81,#NAME?
"2001Worcester State, MA",(B) 440y / 400M49.70,Chris BonnerXaverian
"2001Worcester State, MA",(G) 1 MILE4:53.80,Ari LambieBromfield School
"2001Worcester State, MA",(B) Team Champion32,BrocktonBrockton
"2001Worcester State, MA",(B) 2 MILE9:21.78,Neal GravesMohawk Trail
"2001Worcester State, MA",(B) Team Champion--,----
"2001Worcester State, MA",(B) Shot Put--,Derek AndersonXaverian
"2001Worcester State, MA","(G) Triple Jump36'-6.5""",Tiana RielHopkinton
"2001Worcester State, MA",(G) 100y / 100M12.20,Katie FultonConcord-Carlisle
"2001Worcester State, MA",(B) 100y / 100M10.7,Ryan LaCasseStoughton
"2001Worcester State, MA",(G) 180y / 330y / 300M / 400M Hurdles43.75,Beth SmithApponequet
"2001Worcester State, MA",(G) Discus--,----
"2001Worcester State, MA",(G) Shot Put--,----
"2001Worcester State, MA",(G) 220y / 200M24.90,Christine MoschellaHopkinton
"2001Worcester State, MA",(G) 2 MILE10:49.66,Natasha RoetterLexington
"2001Worcester State, MA","(G) Long Jump17'-10.5""",Kara DickmanWestborough
"2001Worcester State, MA","(G) High Jump5'-2""",Shawna RossiniHolliston
"2000Norwell High School, MA",(B) 2 MILE9:13.20,Matt EmondMarshfield
"2000Norwell High School, MA",(B) 4X8008:01.29,#NAME?
"2000Norwell High School, MA",(G) 2 MILE11:12.25,Kate PolizzottoNashoba
"2000Norwell High School, MA",(G) Team Champion38,HopkintonHopkinton
"2000Norwell High School, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles15.32,Reggie PoyauBrockton
"2000Norwell High School, MA",(B) 4x110y / 4x100M42.96,#NAME?
"2000Norwell High School, MA",(G) 880y / 800m2:13.86,Melissa ShermanDennis Yarmouth
"2000Norwell High School, MA",(G) Javelin132-09,Lindsey ReganFoxboro
"2000Norwell High School, MA",(B) 100y / 100M11.09,Roger ReddickCambridge
"2000Norwell High School, MA",(B) Shot Put67-10.75,Jeff ChakouianSeekonk
"2000Norwell High School, MA",(B) 880y / 800m1:54.76,Ahmed SharifnoorEastBoston
"2000Norwell High School, MA",(B) 4x440 / 4x4003:20.05,#NAME?
"2000Norwell High School, MA",(B) Triple Jump45-2.25,Rihley OlsenReading
"2000Norwell High School, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles15.44,Shannon JacksonBridgewater Raynham
"2000Norwell High School, MA",(G) High Jump5-4,Nicole ParkerDighton Rehoboth
"2000Norwell High School, MA",(G) 180y / 330y / 300M / 400M Hurdles43.66,Beth SmithApponequet
"2000Norwell High School, MA",(G) 4x440 / 4x4003:54.27,#NAME?
"2000Norwell High School, MA",(G) Discus119-06,Maggie FitzpatrickBourne
"2000Norwell High School, MA",(G) 100y / 100M12.55,Kyanna StallingsNewburyport
"2000Norwell High School, MA",(B) Discus170-4,Derek AndersonXaverian
"2000Norwell High School, MA",(G) 220y / 200M25.17,Christina MoschellaHopkinton
"2000Norwell High School, MA",(G) Triple Jump40-4.50,Chi-Chi AdubaMedfield
"2000Norwell High School, MA",(B) Team Champion49,BrocktonBrockton
"2000Norwell High School, MA",(B) 180y / 330y / 300M / 400M Hurdles38.42,Jarrod GomesNashoba
"2000Norwell High School, MA",(B) 220y / 200M22.68,Adam BenabdallahXaverian
"2000Norwell High School, MA",(B) Javelin217-02,Sean FureyMethuen
"2000Norwell High School, MA",(B) Long Jump22-5.5,Jeff RoseWareham
"2000Norwell High School, MA",(G) Pole Vault--,----
"2000Norwell High School, MA",(G) Long Jump18-08.25,Chi-Chi AdubaMedfield
"2000Norwell High School, MA",(G) 440y / 400M57.03,Sara O'BrienReading
"2000Norwell High School, MA",(B) 1 MILE4:19.90,Tristan ColangeloGloucester
"2000Norwell High School, MA",(B) High Jump6-8,Kevin DevoePeabody
"2000Norwell High School, MA",(G) Shot Put41-1,Jess TitusHopkinton
"2000Norwell High School, MA",(B) 440y / 400M49.27,Phil WebsterConcored-Carlisle
"2000Norwell High School, MA",(G) 4X8009:38.57,#NAME?
"2000Norwell High School, MA",(B) Pole Vault--,----
"2000Norwell High School, MA",(G) 1 MILE4:52.38,Shalane FlanaganMarblehead
"2000Norwell High School, MA",(G) 4x110y / 4x100M49.86,#NAME?
"1999Smith College, MA",(B) 440y / 400M48.63,BrianLemieuxCentral Catholic
"1999Smith College, MA",(G) 440y / 400M54.98,Jen VendettiFranklin
"1999Smith College, MA",(G) 4x110y / 4x100M46.33,BrooklineBrookline
"1999Smith College, MA",(G) 180y / 330y / 300M / 400M Hurdles43.39,Lauren WarmanEast Bridgewater
"1999Smith College, MA",(G) Long Jump18-6.50,Uza AdubaMedfield
"1999Smith College, MA",(G) 1 MILE4:46.22,Sheela AgrawalCase
"1999Smith College, MA",(G) 4x440 / 4x4003:57.47,#NAME?
"1999Smith College, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.77,Niall MurphyCentral Catholic
"1999Smith College, MA",(B) 1 MILE4:06.65,Andy PowellOliver Ames
"1999Smith College, MA",(B) Javelin192-04,Sean FureyMethuen
"1999Smith College, MA",(G) Javelin136-50,Lindsey ReganFoxboro
"1999Smith College, MA",(B) 4x110y / 4x100M42.95,#NAME?
"1999Smith College, MA",(B) 220y / 200M22.05,Scott KimballBridgewater-Raynham
"1999Smith College, MA",(G) 100y / 100M12.46,Monique TubbsBoston Latin
"1999Smith College, MA",(G) Discus137-20,Jill KornetskyBurlington
"1999Smith College, MA",(G) 220y / 200M25.73,Christine MoshellaHopkinton
"1999Smith College, MA",(B) Long Jump22-7.5,Roger ReddickCambridge
"1999Smith College, MA",(G) Pole Vault11-6,Samantha ShephardWeston
"1999Smith College, MA",(G) 2 MILE10:24.21,Shalane FlanaganMarblehead
"1999Smith College, MA",(B) 880y / 800m1:53.74,Said AhmedBoston English
"1999Smith College, MA",(G) Triple Jump36-11.75,Christina ReganNeedham
"1999Smith College, MA",(B) 4x440 / 4x4003:23.64,#NAME?
"1999Smith College, MA",(B) 180y / 330y / 300M / 400M Hurdles38.57,Jarrod GomesNashoba Regional
"1999Smith College, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles15.17,Lauren CarrollBrookline
"1999Smith College, MA",(G) Shot Put43-6.50,Heather OldhamWoburn
"1999Smith College, MA",(B) Discus157-1,Mathew OkolitaOld Rochester
"1999Smith College, MA",(B) Triple Jump45-5.5,Matt CronanBlackston-Millville
"1999Smith College, MA",(B) Pole Vault13-6,Greg PrattWestborough
"1999Smith College, MA",(G) 4x110y / 4x100M49.27,#NAME?
"1999Smith College, MA",(G) High Jump5-8,Nicole ParkerDighton Rehoboth
"1999Smith College, MA",(B) 100y / 100M11.24,Derrick KnightXaverian
"1999Smith College, MA",(G) 880y / 800m2:10..47,Maura McCuskerStoneham
"1999Smith College, MA",(B) Team Champion44,CambridgeCambridge
"1999Smith College, MA",(B) 2 MILE9:01.99,Franklyn SanchezLynn Tech
"1999Smith College, MA",(B) Shot Put59-9.5,Jeff ChakourianSeekonk
"1999Smith College, MA",(B) 4X8007:59.07,#NAME?
"1999Smith College, MA",(B) High Jump6-10,Craig MielcarzSalem
"1999Smith College, MA",(G) 4X8009:28.92,#NAME?
"1998Norwell High School, MA","(B) Javelin200'-10""",Derek VoterHaverhill
"1998Norwell High School, MA","(B) Pole Vault14'-0""",Wesley ShawSt. John's/Shrewsbury
"1998Norwell High School, MA","(G) Triple Jump39'-3""",Theresa WilliamsSt. Clare
"1998Norwell High School, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.67,Luke MerstersNorwood
"1998Norwell High School, MA",(B) 440y / 400M49.15,Brain LemieuxCentral Catholic
"1998Norwell High School, MA",(G) 2 MILE10:57.40,Ellen DwyerWalpole
"1998Norwell High School, MA","(B) Triple Jump46'-2""",Matt CronanBlackstone-Millville
"1998Norwell High School, MA",(G) 180y / 330y / 300M / 400M Hurdles45.1,Kerry KavanaghCathedral/Springfield
"1998Norwell High School, MA","(B) Discus162'-1""",Steve AndersonOakmont Regional
"1998Norwell High School, MA",(B) 180y / 330y / 300M / 400M Hurdles38.21,Naill MurphyCentral Catholic
"1998Norwell High School, MA","(G) Long Jump18'-8.75""",Abby RubinoSouthwick-Tolland
"1998Norwell High School, MA","(G) Shot Put44'-9""",Heather OldhamWoburn
"1998Norwell High School, MA",(B) 100y / 100M11.05,Jonathan WinstonBrockton
"1998Norwell High School, MA",(G) 4x110y / 4x100M49.88,#NAME?
"1998Norwell High School, MA","(B) Shot Put58'-4.5""",James RooneyCarver
"1998Norwell High School, MA",(B) 4x110y / 4x100M42.95,#NAME?
"1998Norwell High School, MA","(B) High Jump6'-6""",Craig MielcarzSalem
"1998Norwell High School, MA",(B) Team Champion--,Haverhill / FoxboroHaverhill / Foxboro
"1998Norwell High School, MA",(G) 4x440 / 4x4003:54.30,#NAME?
"1998Norwell High School, MA",(B) 4X8007:53.86,#NAME?
"1998Norwell High School, MA",(B) 4x440 / 4x4003:22.15,#NAME?
"1998Norwell High School, MA",(B) 880y / 800m1:52.44,Abdirizak MohamudBoston English
"1998Norwell High School, MA","(B) Long Jump23'-9.5""",Mark JellisonReading
"1998Norwell High School, MA",(B) 1 MILE4:15.81,Bill SpierdowisFoxboro
"1998Norwell High School, MA","(G) Javelin138'-1""",Lindsay ReganFoxboro
"1998Norwell High School, MA","(G) High Jump5'-6""",Nicole ParkerDighton-Rehoboth
"1998Norwell High School, MA",(B) 220y / 200M22.16,Scott KimballBridgewater-Raynham
"1998Norwell High School, MA","(G) Pole Vault11'-0""",Andrea LiChelmsford
"1998Norwell High School, MA",(G) 880y / 800m2:12.99,Melissa ShermanDennis-Yarmouth
"1998Norwell High School, MA",(G) 1 MILE5:01.12,Kate O'NeillMilton
"1998Norwell High School, MA",(G) 440y / 400M55.46,Jen VendettiFranklin
"1998Norwell High School, MA",(G) 4X8009:18.00,#NAME?
"1998Norwell High School, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles15.43,Lauren KnightBarnstable
"1998Norwell High School, MA",(G) Team Champion--,----
"1998Norwell High School, MA",(G) 100y / 100M12.28,Ebony JackLexington
"1998Norwell High School, MA","(G) Discus127'-5""",Liz PerryOld Rochester
"1998Norwell High School, MA",(B) 2 MILE9:01.49,Andy PowellOliver Ames
"1998Norwell High School, MA",(G) 220y / 200M25.43,Alison CulleyFoxboro
"1997Shrewbury High School, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.53,Arthur FergussonGloucester
"1997Shrewbury High School, MA","(G) Shot Put42'-11""",Mary Kate MarchandSomerset
"1997Shrewbury High School, MA","(G) Long Jump18'-0""",Jill CroftGardner
"1997Shrewbury High School, MA",(B) 4x110y / 4x100M42.56,#NAME?
"1997Shrewbury High School, MA",(G) 440y / 400M56.99,Chenelle BruceO'Bryant
"1997Shrewbury High School, MA","(G) Triple Jump36'-8.5""",Amanda LoganWalpole
"1997Shrewbury High School, MA","(B) Triple Jump47'-6.75""",Phil McGagainAgawam
"1997Shrewbury High School, MA",(G) Team Champion28,MedfieldMedfield
"1997Shrewbury High School, MA",(G) 180y / 330y / 300M / 400M Hurdles45.22,Emily EsteyNorth Attleboro
"1997Shrewbury High School, MA","(B) Javelin203'-8""",Jess AustinNorth Attleboro
"1997Shrewbury High School, MA",(B) 4X8008:07.66,#NAME?
"1997Shrewbury High School, MA","(G) Pole Vault11'-7""",Melissa FeinsteinWeston
"1997Shrewbury High School, MA",(B) 1 MILE4:15.0,Andy PowellOliver Ames
"1997Shrewbury High School, MA",(G) 4x110y / 4x100M49.64,#NAME?
"1997Shrewbury High School, MA",(G) 4X8009:40.66,#NAME?
"1997Shrewbury High School, MA","(G) Discus128'-10""",Liz PerryOld Rochester
"1997Shrewbury High School, MA","(B) Discus173'-4""",David PulokaArlington
"1997Shrewbury High School, MA",(G) 100y / 100M12.21,Uzo AdubaMedfield
"1997Shrewbury High School, MA",(G) 880y / 800m2:14.91,Lauren WarmanEast Bridgewater
"1997Shrewbury High School, MA","(B) High Jump6'-8""",Phil McGagainAgawam
"1997Shrewbury High School, MA",(B) Team Champion46,GloucesterGloucester
"1997Shrewbury High School, MA","(G) Javelin131'-2""",Lindsay ReganFoxboro
"1997Shrewbury High School, MA",(B) 100y / 100M10.75,Jonathan WinstonBrockton
"1997Shrewbury High School, MA",(G) 220y / 200M25.17,Alison CulleyFoxboro
"1997Shrewbury High School, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.60,Kate SullivanRandolph
"1997Shrewbury High School, MA","(B) Shot Put59'-8""",Josh BenderOld Rochester
"1997Shrewbury High School, MA",(B) 440y / 400M3:24.29,#NAME?
"1997Shrewbury High School, MA",(B) 880y / 800m1:52.97,Jonathon RileyBrookline
"1997Shrewbury High School, MA","(G) High Jump5'-4""",Jaclyn CostonisWinthrop
"1997Shrewbury High School, MA",(B) 2 MILE9:26.17,Scott EstabrookNorth Middlesex
"1997Shrewbury High School, MA","(B) Pole Vault14'-0""",ShawSt. John's Shrewsbury
"1997Shrewbury High School, MA",(G) 4x440 / 4x4004:00.56,#NAME?
"1997Shrewbury High School, MA",(G) 1 MILE5:07.73,Caitlin KlickChelmsford
"1997Shrewbury High School, MA",(G) 2 MILE10:55.75,Millie CrisostimoMilford
"1997Shrewbury High School, MA",(B) 220y / 200M22.89,George RileyHyde Park
"1997Shrewbury High School, MA",(B) 440y / 400M49.32,Andy AlsupHaverhill
"1997Shrewbury High School, MA",(B) 180y / 330y / 300M / 400M Hurdles38.67,Yusef WhiteNew Bedford
"1997Shrewbury High School, MA","(B) Long Jump22'-6""",Mark JellisonReading
"1996Bridgewater State, MA",(G) Team Champion37,ReadingReading
"1996Bridgewater State, MA",(G) 180y / 330y / 300M / 400M Hurdles45.29,Ryan SheaMedfield
"1996Bridgewater State, MA",(B) Shot Put57-06.75,Joshua BenderOld Rochester
"1996Bridgewater State, MA",(B) 4X8007:58.93,#NAME?
"1996Bridgewater State, MA",(B) Triple Jump45-05.25,Albasi BaileyHingham
"1996Bridgewater State, MA",(B) Javelin205-04,Tim LyonsWakefield
"1996Bridgewater State, MA",(G) Discus121-5,Jen BullenOxford
"1996Bridgewater State, MA",(G) High Jump5-8,Heather FrancisDartmouth
"1996Bridgewater State, MA",(B) Discus165-04,David PulokaArlington
"1996Bridgewater State, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.64,Andrea ComeauReading
"1996Bridgewater State, MA",(G) Pole Vault12-0.5,Melissa FeinsteinWeston
"1996Bridgewater State, MA",(G) 1 MILE5:03.76,Kate MoynihanMilton
"1996Bridgewater State, MA",(G) Long Jump17-5,Alison SaundersDanvers
"1996Bridgewater State, MA",(G) 4X8009:35.10,#NAME?
"1996Bridgewater State, MA",(G) Triple Jump39-04,Melissa BruleBromfield
"1996Bridgewater State, MA",(B) 2 MILE9:25,Bryce LaPierreWoburn
"1996Bridgewater State, MA",(G) Shot Put41-2,Mary Kate MarchandSomerset
"1996Bridgewater State, MA",(B) 100y / 100M10.9,Antone McCattyWellesley
"1996Bridgewater State, MA",(B) Long Jump21-09.75,Willie BrownMohawk
"1996Bridgewater State, MA",(B) 4x440 / 4x4003:21.97,#NAME?
"1996Bridgewater State, MA",(G) 440y / 400M58.56,Julie WurieReading
"1996Bridgewater State, MA",(B) Pole Vault13-0,Peter EllisAndover
"1996Bridgewater State, MA",(G) 4x110y / 4x100M50.21,#NAME?
"1996Bridgewater State, MA",(G) 2 MILE11:05.75,Erin DromgooleMillbury
"1996Bridgewater State, MA",(B) 880y / 800m1:55.25,John JonesMilton
"1996Bridgewater State, MA",(G) 100y / 100M12.18,Princess FentonSomerville
"1996Bridgewater State, MA",(G) 220y / 200M24.53,Allison CulleyFoxboro
"1996Bridgewater State, MA",(B) 220y / 200M21.79,Jeremy CollinsCambridge
"1996Bridgewater State, MA",(B) 180y / 330y / 300M / 400M Hurdles38.8,Matt CollinsActon-Boxborough
"1996Bridgewater State, MA",(G) 4x440 / 4x4003:55.69,--O'Bryant
"1996Bridgewater State, MA",(B) Team Champion55,Brockton Brockton
"1996Bridgewater State, MA",(B) 4x110y / 4x100M43.08,#NAME?
"1996Bridgewater State, MA",(G) Javelin131-2,Regan StevermanScituate
"1996Bridgewater State, MA",(B) 1 MILE4:12.55,Jonathon RileyBrookline
"1996Bridgewater State, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.97,Tyrone BouardBrighton
"1996Bridgewater State, MA",(B) High Jump6-8,Phil McGeoghanAgawam
"1996Bridgewater State, MA",(G) 880y / 800m2:16.54,Claudia SolariWellesley
"1996Bridgewater State, MA",(B) 440y / 400M47.9,Greg YoungWilmington
"1995Smith College, MA",(B) Long Jump22-3.25,Sekou DildayNatick
"1995Smith College, MA",(B) Team Champion38,New BedfordNew Bedford
"1995Smith College, MA",(B) 880y / 800m1:54.6,Tim BrennanWayland
"1995Smith College, MA",(B) 220y / 200M21.4,Charles BerkeleyPittsfield
"1995Smith College, MA",(B) 4x440 / 4x4003:22.6,#NAME?
"1995Smith College, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.9,Kate SullivanRandolph
"1995Smith College, MA",(B) 440y / 400M48,Justin NelsonSouthwick-Tolland
"1995Smith College, MA",(B) 180y / 330y / 300M / 400M Hurdles37.4,Dan ClarkTewksbury
"1995Smith College, MA",(B) High Jump6-8,Kevin PearsonDurfee
"1995Smith College, MA",(G) 1 MILE4:49.6,Mary CobbPittsfield
"1995Smith College, MA",(B) 2 MILE9:39.8,Brendan TrombleyMinnichaug
"1995Smith College, MA",(B) Shot Put56,Jan StevensGardner
"1995Smith College, MA",(G) 100y / 100M12.1,Princess FentonSomerville
"1995Smith College, MA",(B) 4X8008:02.9,#NAME?
"1995Smith College, MA",(G) 2 MILE11:00.1,Alison WhiteMount Greylock
"1995Smith College, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.9,Jarris JonesNew Bedford
"1995Smith College, MA",(G) Shot Put39-8.75,Launa BotelhoOliver Ames
"1995Smith College, MA",(B) Triple Jump45-6.75,Shariff rudolphWeston
"1995Smith College, MA",(G) 880y / 800m2:16.1,Jessica ShawWestford Academy
"1995Smith College, MA",(G) High Jump5-8,Heather FrancisDartmouth
"1995Smith College, MA",(G) 220y / 200M24.7,Dianne MowattMetheun
"1995Smith College, MA",(B) 1 MILE4:19.5,Kevin HorganOakmont
"1995Smith College, MA",(G) Long Jump17-4.25,Sheland IrishRandolph
"1995Smith College, MA",(B) 4x110y / 4x100M42.4,#NAME?
"1995Smith College, MA",(G) Triple Jump37-10.25,Tabitha PylesNorthampton
"1995Smith College, MA",(B) Discus149-7,Pat CorthellCarver
"1995Smith College, MA",(G) 440y / 400M56.85,Kristin SbarraFalmouth
"1995Smith College, MA",(G) Pole Vault--,----
"1995Smith College, MA",(G) Team Champion--,----
"1995Smith College, MA",(G) Discus123-2,Lorry DesjardinsBlackston Valley
"1995Smith College, MA",(B) Pole Vault13-6,Mathew ButlerBrookline
"1995Smith College, MA",(G) 4X8009:41.5,#NAME?
"1995Smith College, MA",(G) Javelin129-8,Sara SkribiskiFrontier Regional
"1995Smith College, MA",(G) 4x440 / 4x4003:55.8,#NAME?
"1995Smith College, MA",(B) Javelin186-7,Victor MorencyDartmouth
"1995Smith College, MA",(G) 4x110y / 4x100M49.1,#NAME?
"1995Smith College, MA",(G) 180y / 330y / 300M / 400M Hurdles45.1,Tabitha PylesNorthampton
"1995Smith College, MA",(B) 100y / 100M10.8,Antone McCattyWellesley
"1994Bridgewater State, MA",(B) 4x440 / 4x4003:25.09,#NAME?
"1994Bridgewater State, MA",(B) 2 MILE9:17,Kifle AlemuBoston English
"1994Bridgewater State, MA",(G) 4x440 / 4x4004:00.51,#NAME?
"1994Bridgewater State, MA",(G) 180y / 330y / 300M / 400M Hurdles44.9,Beth bowlerArlington
"1994Bridgewater State, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.57,Katie KiladisFramingham
"1994Bridgewater State, MA",(B) Discus154-2,Pat CurthellCarver
"1994Bridgewater State, MA",(G) 440y / 400M56.36,Johanna RussellWayland
"1994Bridgewater State, MA",(B) Shot Put55-9.75,Jan SteevensGardner
"1994Bridgewater State, MA",(B) 4x110y / 4x100M42.76,#NAME?
"1994Bridgewater State, MA",(B) 100y / 100M10.53,Johann jackLexington
"1994Bridgewater State, MA",(G) Pole Vault--,----
"1994Bridgewater State, MA",(B) Triple Jump44-10.5,Sharif RudolphWeston
"1994Bridgewater State, MA",(B) High Jump6-10,Phil AlessiNorth Attleboro
"1994Bridgewater State, MA",(G) 1 MILE5:02.02,Sara MajkaFalmouth
