Column1,Column2,Column3
"2017Bridgewater State, MA",(G) 220y / 200M24.85,Brooke-Lynn WilliamsNorton
"2017Bridgewater State, MA",(B) 4x110y / 4x100M43.00,#NAME?
"2017Bridgewater State, MA",(B) Discus149-11,Hayden DillowXaverian Brothers
"2017Bridgewater State, MA",(B) 180y / 330y / 300M / 400M Hurdles55.54,Jake CarlsonBillerica Memorial
"2017Bridgewater State, MA",(B) 220y / 200M21.36,Davonte BurnettNeedham
"2017Bridgewater State, MA",(B) Team Champion41,Newton NorthNewton North
"2017Bridgewater State, MA",(B) 4X8007:50.97,#NAME?
"2017Bridgewater State, MA",(G) 2 MILE10:43.61,Grace ConnollyNatick
"2017Bridgewater State, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.10,Erick DuffyNorth Andover
"2017Bridgewater State, MA",(B) Pole Vault16-07.00,Erick DuffyNorth Andover
"2017Bridgewater State, MA",(G) Shot Put45-05.75,Abbie MokwuahLongmeadow
"2017Bridgewater State, MA",(G) 4X8009:21.53,"Rachel Sessa, Emily Sessa, Lauren Polimeno, McKenzie ClarkTewksbury Memorial"
"2017Bridgewater State, MA",(B) Shot Put54-05.00,Manny TeoMarlborough
"2016Westfield State, MA",(G) 2 MILE10:27.59,Margie CullenNeedham
"2016Westfield State, MA",(G) 180y / 330y / 300M / 400M Hurdles1:02.68,Cynthia ArokePeabody
"2016Westfield State, MA",(B) Triple Jump45-09.50,Nate HobbsSt. Johns Prep
"2016Westfield State, MA",(G) Javelin137-04,Devan WalshDanvers
"2016Westfield State, MA",(B) Discus158-11,Noah MalhiPentucket
"2016Westfield State, MA",(B) Pole Vault15-00.00,Erick DuffyAndover
"2016Westfield State, MA",(G) 4X8009:19.78,#NAME?
"2016Westfield State, MA",(G) 440y / 400M55.47,Ashley LewisBoston Latin
"2016Westfield State, MA",(G) 4x110y / 4x100M48.45,#NAME?
"2016Westfield State, MA",(G) 100y / 100M11.89,Brooke-Lynn WilliamsNorton
"2016Westfield State, MA",(B) High Jump6-08.00,Justin LewisLynn Technical
"2016Westfield State, MA",(B) Team Champion41,Newton NorthNewton North
"2016Westfield State, MA",(G) Long Jump19-00.75,Adja SackorWorcester Vo Tech
"2016Westfield State, MA",(G) 1 MILE4:53.94,Rachel SessaTewksbury Memorial
"2016Westfield State, MA",(B) 4x440 / 4x4003:18.51,"Lucas Holt, Matthew Walak, Brian Holihan, Myles HoltNatick"
"2016Westfield State, MA",(B) 100y / 100M10.77,Smith CharlesMilton
"2016Westfield State, MA",(G) 880y / 800m2:11.55,Sarah EdwardsBellingham
"2016Westfield State, MA",(B) Long Jump23-09.50,Anthony DeNittoNewton South
"2016Westfield State, MA",(G) Team Champion36,Tewksbury & MiltonTewksbury & Milton
"2016Westfield State, MA",(B) 1 MILE4:17.60,Isu Alemseged Cambridge Ringe & Latin
"2016Westfield State, MA",(G) 4x440 / 4x4003:54.73,"Elise O'Leary, Colette O'Leary, Alexis BelashMilton"
"2016Westfield State, MA",(G) Triple Jump38-07.50,Adja SackorWorcester Vo Tech
"2016Westfield State, MA",(G) Discus135-10,Skylar BarthelmesDartmouth
"2016Westfield State, MA",(B) Shot Put57-07.00,Mike MunroeQuincy
"2016Westfield State, MA",(G) 220y / 200M24.46,Alyssa ZeeAshland
"2016Westfield State, MA",(G) High Jump5-06.00,Caroline HitchcockAgawam
"2016Westfield State, MA",(B) 180y / 330y / 300M / 400M Hurdles55.57,William McManusSharon
"2016Westfield State, MA",(B) 220y / 200M21.64,Nikolas SmithNorthampton
"2016Westfield State, MA",(G) Pentathlon3028,Caitlyn HalloranHopkinton
"2016Westfield State, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.75,William McManusSharon
"2016Westfield State, MA",(G) Shot Put41-05.75,Abbie MokwuahLongmeadow
"2016Westfield State, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.78,Madelyn SesslerPlymouth South
"2016Westfield State, MA",(B) 440y / 400M48.20,Rodney Agyare-MayBurncoat
"2016Westfield State, MA",(B) Javelin199-07,Connor FinneganBillerica Memorial
"2016Westfield State, MA",(B) 4X8007:51.64,--Saint John's Shrewsbury
"2016Westfield State, MA",(B) 2 MILE9:00.52,Thomas RatcliffeConcord-Carlisle
"2016Westfield State, MA",(B) 4x110y / 4x100M42.13,#NAME?
"2016Westfield State, MA",(G) Pole Vault12-04.00,Julia ValentiNorth Reading
"2016Westfield State, MA",(B) 880y / 800m1:51.17,AJ ErnstMarblehead
"2016Westfield State, MA",(B) Pentathlon3305,Hunter GrayLittleton
"2015Fitchburg State, MA",(B) 2 MILE9:21.59,Dan RomanoMansfield
"2015Fitchburg State, MA",(G) 2 MILE10:41.42,Margie CullenNeedham
"2015Fitchburg State, MA",(B) 880y / 800m1:52.72,Peter GarmonBillerica Memorial
"2015Fitchburg State, MA",(B) High Jump6-06.00,Kevin HackNipmuc
"2015Fitchburg State, MA",(B) 220y / 200M21.40,Taj-Amir TorresAmherst-Pelham
"2015Fitchburg State, MA",(B) Pole Vault13-09.00,Erick DuffyNorth Andover
"2015Fitchburg State, MA",(G) 440y / 400M56.03,Sierra IrvinHingham
"2015Fitchburg State, MA",(B) Team Champion62,AndoverAndover
"2015Fitchburg State, MA",(G) Javelin127-09,Stephanie McFadriesBurlington
"2015Fitchburg State, MA",(G) Shot Put41-05.25,Skylar BarthelmesDartmouth
"2015Fitchburg State, MA",(G) Team Champion51,Cambridge Ringe & LatinCambridge Ringe & Latin
"2015Fitchburg State, MA",(G) Discus129-07,Emily MikoudPlymouth South
"2015Fitchburg State, MA",(B) Long Jump22-05.25,Anthony DeNittoNewton South
"2015Fitchburg State, MA",(G) 100y / 100M11.97,Brianna DuncanCambridge Ringe & Latin
"2015Fitchburg State, MA",(G) 1 MILE4:53.82,Ariel KeklakLincoln-Sudbury
"2015Fitchburg State, MA",(B) Javelin182-05,John LongSt. Johns Prep
"2015Fitchburg State, MA",(G) 4X8009:19.64,"Alexa Babick, Morgane Butler, Ariel Keklak, Nicole KerriganLincoln-Sudbury"
"2015Fitchburg State, MA",(B) 4x440 / 4x4003:20.04,"Allen Vance, Joseph Tarvares, Kelzy Rodrigues, Taj-Amir TorresAmherst-Pelham"
"2015Fitchburg State, MA",(G) Pole Vault11-09.00,Julie ValentiNorth Reading
"2015Fitchburg State, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.90,Isabella DiMareNotre Dame Academy-Hingham
"2015Fitchburg State, MA",(B) 4x110y / 4x100M42.77,"Kevin Chen, Sean Roselle, Raymond Gorzela, Kaleb JonesAndover"
"2015Fitchburg State, MA",(B) Shot Put56-07.50,Leonardo RamirezFitchburg
"2015Fitchburg State, MA",(G) Long Jump18-08.75,Brianna DuncanCambridge Ringe & Latin
"2015Fitchburg State, MA",(B) Triple Jump45-07.00,ODmark OzitSomerville
"2015Fitchburg State, MA",(G) 4x110y / 4x100M49.05,"Tatiana Jarostchuk, Rachelle Parker, Julie Greenwald, Ally IsleyWellesley"
"2015Fitchburg State, MA",(B) 1 MILE4:15.85,AJ ErnstMarblehead
"2015Fitchburg State, MA",(B) Pentathlon3281,Dennis PearyWoburn
"2015Fitchburg State, MA",(G) High Jump5-09.00,Katherine MillerFrontier
"2015Fitchburg State, MA",(B) Discus159-01,Wyatt BoelensNashoba
"2015Fitchburg State, MA",(B) 4X8007:47.73,#NAME?
"2015Fitchburg State, MA",(G) 180y / 330y / 300M / 400M Hurdles1:02.53,Jessica MakiTaunton
"2015Fitchburg State, MA",(G) Pentathlon2755,Abby TaussigActon-Boxborough
"2015Fitchburg State, MA",(G) 880y / 800m2:10.27,Clare MartinNewton South
"2015Fitchburg State, MA",(G) Triple Jump38-06.00,Brianna DuncanCambridge Ringe & Latin
"2015Fitchburg State, MA",(B) 440y / 400M48.35,Rodney Agyare-MayBurncoat
"2015Fitchburg State, MA",(B) 180y / 330y / 300M / 400M Hurdles55.01,Sean CaveneyAndover
"2015Fitchburg State, MA",(B) 100y / 100M10.69,Taj-Amir TorresAmherst-Pelham
"2015Fitchburg State, MA",(G) 4x440 / 4x4003:57.33,"Jacqueline Dickmann, Rachel Stier, Katie Rowe, Mikaila AmerantesMansfield"
"2015Fitchburg State, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.21,Sebastian SilveiraAndover
"2015Fitchburg State, MA",(G) 220y / 200M24.93,Brooke-Lynn WilliamsNorton
"2014Bridgewater State, MA",(B) Long Jump22-00.75,Kevin SacconeOld Rochester
"2014Bridgewater State, MA",(B) Team Champion38,WoburnWoburn
"2014Bridgewater State, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles15.04,Cole GodzinskiNorth Reading
"2014Bridgewater State, MA",(G) 4x110y / 4x100M48.83,#NAME?
"2014Bridgewater State, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.44,Nick FofanaNewton North
"2014Bridgewater State, MA",(B) Discus165-03,Eric MellusiFramingham
"2014Bridgewater State, MA",(B) 100y / 100M10.68,Taj-Amir TorresAmherst-Pelham
"2014Bridgewater State, MA",(G) 2 MILE10:48.98,Abbie McNultyBishop Feehan
"2014Bridgewater State, MA",(B) 4x110y / 4x100M42.48,#NAME?
"2014Bridgewater State, MA",(B) 4x440 / 4x4003:19.48,#NAME?
"2014Bridgewater State, MA",(G) 100y / 100M12.08,Jessica ScottHopkinton
"2014Bridgewater State, MA",(G) Javelin130-03,Ellie BucknellNew Bedford
"2014Bridgewater State, MA",(B) Javelin193-03,Andrew ConnollyWeston
"2014Bridgewater State, MA",(G) 4x440 / 4x4003:50.14,"Maddie Oldow, Rachel Stier, Lindsay Goulet, Mikaila AmerantesMansfield"
"2014Bridgewater State, MA",(G) Pentathlon2767,Abby TaussigActon-Boxborough
"2014Bridgewater State, MA",(B) Triple Jump46-09.00,Kurt RobakiewiczNipmuc
"2014Bridgewater State, MA",(B) Pole Vault13-09.00,Jack ChumaWestborough
"2014Bridgewater State, MA",(G) Team Champion42,Newton NorthNewton North
"2014Bridgewater State, MA",(G) Triple Jump38-08.00,Kerstin DarsneyTriton
"2014Bridgewater State, MA",(B) Shot Put56-09.00,Evan DombrowskiSt. Johns Prep
"2014Bridgewater State, MA",(G) 880y / 800m2:07.14,Karina ShepardDracut
"2014Bridgewater State, MA",(G) Shot Put43-11.00,Michaela SmithNewton North
"2014Bridgewater State, MA",(B) 880y / 800m1:52.97,PJ GarmonBillerica Memorial
"2014Bridgewater State, MA",(G) 220y / 200M24.75,Isabella DiMareNotre Dame Academy-Hingham
"2014Bridgewater State, MA",(G) 180y / 330y / 300M / 400M Hurdles1:03.10,Kate FredaHingham
"2014Bridgewater State, MA",(G) Discus122-09,Michaela SmithNewton North
"2014Bridgewater State, MA",(G) 440y / 400M54.51,Sierra IrvinHingham
"2014Bridgewater State, MA",(B) Pentathlon3231,Mark HamalianBridgewater-Raynham
"2014Bridgewater State, MA",(G) 1 MILE4:56.20,Sarah ArmstrongNeedham
"2014Bridgewater State, MA",(G) Long Jump18-04.25,Brianna DuncanCambridge Rindge & Latin
"2014Bridgewater State, MA",(B) 180y / 330y / 300M / 400M Hurdles54.68,Ben ColelloLincoln-Sudbury
"2014Bridgewater State, MA",(B) 2 MILE9:01.47,Paul HoganBurlington
"2014Bridgewater State, MA",(G) Pole Vault11-09.00,Carly RailingAlgonquin
"2014Bridgewater State, MA",(B) High Jump6-08.00,Adam CouittSomerset Berkley
"2014Bridgewater State, MA",(G) 4X8009:17.17,#NAME?
"2014Bridgewater State, MA",(G) High Jump5-06.00,Ellen DiPietroMarshfield
"2014Bridgewater State, MA",(B) 220y / 200M21.68,Craig GreenFalmouth
