2006 Girls Track & Field State Champions,x,x,x
AAAA,Moriarty,4.02.17,
AAA,Ruidoso,4.06.75,
AA,Santa Fe Prep,04:16.3,
A,Cimarron,04:20.4,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Nicole Zarrella,Rio Rancho,120’-06”,
AAAA  Tami Williams,Artesia,114’-05”,
AAA Deidra Brown,Bloomfield,129’-10”,
AA Jamie Jones,Tucumcari,117’-06”,
A Sloane Dunnahoo,Hagerman,116’-07”,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Deanna Young,Highland,18’-00.25”,
AAAA  Hannah Rhoten,St. Pius,17’-06.50”,
AAA Alissa Horacek,Grants,16’-10.75”,
AA Lily Miller,Santa Fe Prep,16’-11.00”,
A Claudia Navarrette,Jal,17’-00.25”,
,,,
High Jump,,,
Class Name,School,Distance,
AAAAA Ebony Bunton,Clovis,5’-04.00”,
AAAA  Lindsey Shepard,Albuquerque Academy,5’-04.25”,
AAA Sheena Meech,Grants,5’-00.00”,
AA Traci Lopez,Santa Fe Prep,5’-00.00”,
A Claudia Navarrette,Jal,5’-00.00”,
Triple Jump,,,
Class Name,School,Distance,
AAAAA Deanna Young,Highland,38’-08.00”,
AAAA  Chantelle Riddle,Roswell,38’-00.25”,
AAA Alissa Horacek,Grants,35’-05.50”,
AA Dayna Galindo,Estancia,32’-05.00”,
A Whitney Whittaker,Carrizozo,32’-07.00”,
,,,
Pole Vault,,,
Class Name,School,Distance,
AAAAA Alex Berlin,Eldorado,11’-00.00”,
AAAA  Tara Blanco,Piedra Vista,10’.00-00”,
AAA Sunni Barid,Bloomfield,9’-00.00”,
AA LaDon Mendez,Tularosa,8’-00.00”,
A Sara Lee,House,9’-06.00”,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Noel Cardon,Alamogordo,39’-02.75”,
AAAA  Christina Sanchez,Artesia,38’-06.25 “,
AAA Deidra Brown,Bloomfield,41’-05.75”,
AA Brooke Bailey,Texico,33’-10.75”,
A Sloane Dunnahoo,Hagerman,34’-05.25”,
,,,
Javelin,,,
Class Name,School,Distance,
AAAAA Aimee Hilburn,Clovis,122’-10”,
AAAA  Sara Swiderek,Albuquerque Academy,126’-08”,
AAA Alexandria Ramirez,Ruidoso,129’-03”,
AA Natasha Gray,Hope Christian,118’-07”,
A Reahannon Lizardo,Tatum,119’-07”,
2005 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School Time,,,
AAAAA Tressi Richardson Cibola 12.83,,,
AAAA Darnisha Jones Oñate  12.84,,,
AAA Amanda Gay Bloomfield 13.17,,,
AA Kristin Smothermon Ft. Sumner Christian 13.23,,,
A Sandy Fortner Ft. Sumner 13.04,,,
,,,
200 M Dash,,,
Class Name School Time,,,
AAAAA Tressi Richardson Cibola 25.17,,,
AAAA Darnisha Jones Oñate 25.77,,,
AAA Ashley Ferguson Hot Springs 26.53,,,
AA Kristin Smothermon Ft. Sumner Christian 27.53,,,
A Sandy Fortner Ft. Sumner 26.57,,,
,,,
400 M Dash,,,
Class Name School Time,,,
AAAAA Carissa McGee Mayfield 56.65,,,
AAAA Lyndsay Harper Albuq. Academy 58.03,,,
AAA Stephanie Louis St. Michael’s 1:00.2,,,
AA Amber Parmer Texico 1:01.81,,,
A Sandy Fortner Ft. Sumner 58.25,,,
,,,
800 M Run,,,
Class Name School Time,,,
AAAAA Kelly McCabe Highland 2:20.12,,,
AAAA Lyndsay Harper Albuq. Academy 2:17.54,,,
AAA Irena Ossola St. Michael’s 2:28.40,,,
AA Traci Lopez Santa Fe Prep 2:26.35,,,
A Whitley Coca Cimarron 2:24.68,,,
,,,
1600 M Run,,,
Class Name School Time,,,
AAAAA Kelly McCabe Highland 5:16.80,,,
AAAA Aeriel Emig Albuquerque Academy 5:11.12,,,
AAA Irena Ossola St. Michael’s 5:30.72,,,
AA Ashley Quintana Pecos 5:32.31,,,
A Kelly Barmann Cimarron 5:25.80,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Vanessa Ortiz,Cibola,11:27.3,
AAAA Aeriel Emig,Albuquerque Academy,11:32.2,
AAA Irena Ossola,St. Michael’s,11:56.1,
AA Ashley Quintana,Pecos,11:40.7,
A Kelly  n,Cimarron,11:25.7,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAAA Danielle Delone,Alamogordo,15.75,
AAAA Rosalyn Leitch,Los Alamos,15.56,
AAA Dalea Martinez,Bloomfield,16.78,
AA Alyssa Flores,Santa Rosa,16.92,
A Sandy Fortner,Ft. Sumner,16.47,
,,,
300 M Hurdles,,,
Class Name7,School,Time,
AAAAA Kim Perkins,Clovis,45.81,
AAAA Lindsey Shepard,Albuquerque Academy,46.08,
AAA Corey Butler,St. Michael’s,48.16,
AA Alyssa Flores,Santa Rosa,48.35,
A Stacey McCoy,Mountainair,48.16,
,,,
400 M Relay,,,
Class School,,Time,
AAAAA Highland High School,,49.24,
AAAA Oñate High School,,49.73,
AAA Grants High School,,51.67,
AA Hope Christian School,,51.6,
A Jal High School,,52.13,
,,,
800 M Relay,,,
Class School,,Time,
AAAAA Mayfield High School,,01:44.1,
AAAA Oñate High School,,01:46.8,
AAA St. Michael’s High School,,01:47.9,
AA Hope Christian School,,01:51.4,
A Cimarron High School,,01:50.8,
,,,
1600 M Relay,,,
Class School,,Time,
AAAAA Rio Rancho High School,,04:03.3,
AAAA St. Pius X High School,,04:04.7,
AAA Ruidoso High School,,04:17.4,
AA Santa Fe Prep,,04:19.9,
A Cimarron High School,,04:27.8,
1600 M Medley Relay,,,
Class School,,Time,
AAAAA Clovis High School,,04:19.5,
AAAA Albuquerque Academy,,04:15.6,
AAA Shiprock High School,,04:30.8,
AA Cloudcroft High School,,04:31.4,
A Cimarron High School,,04:27.8,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Briana Paxton,La Cueva,41’-05.00”,
AAAA Maggie Crank,Albuq. Academy,38’-00.00”,
AAA Diedra Brown,Bloomfield,39’-02.50”,
AA Jennifer Chavez,Pecos,33’-02.75”,
A Sloane Dunnahoo,Hagerman,36’-10.75”,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Brianna Paxton,La Cueva,124’-04”,
AAAA Tami Williams,Artesia,119’-00”,
AAA Diedra Brown,Bloomfield,129’-09”,
AA Vyanca Vega,Cloudcroft,113’-07”,
A Sloane Dunnahoo,Hagerman,111’-05”,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Olivia Ndyabayge,Sandia,17’-07.75”,
AAAA Victoria Martin,Piedra Vista,17’-09.50”,
AAA Alissa Horacek,Grants,16’-04.50”,
AA Kristin Smothermon,Hope,16’-05.25”,
A Sandy Fortner,Ft. Sumner,18’-03.50”,
,,,
High Jump,,,
Class Name,School,Distance,
AAAAA Carissa McGee,Mayfield,5’-06.00”,
AAAA Kristen Hemphill,Los Alamos,5’-02.00”,
AAA Julie Franken,Robertson,5’-00.00”,
AA Emily Rogers,Bosque,5’-02.00”,
A Claudia Navarrette,Jal,4’-10.00”,
,,,
Triple Jump,,,
Class Name,School,Distance,
AAAAA Deanna Young,Highland,37’-02.25”,
AAAA Victoria Martin,Piedra Vista,36’-06.50”,
AAA Candice Gonzales,West Las Vegas,34’-03.75”,
AA Ashley Lementino,Zuni,32’-02.75”,
A Kelly Fortner,Ft. Sumner,34’-05.50”,
Pole Vault,,,
Class,Name,School,Distance
AAAAA,Alex Berlin,Eldorado,10’-00.00”
AAAA,Amy Leupold,Farmington,10’-00.00”
AAA,Yesenia Archuleta,Grants,9’-06.00”
AA,Brittany Caughron,Capitan,8’-00.00”
A,Chelsea Deck,Jal,10’-00.00”
,,,
Javelin,,,
Class,Name,School,Distance
AAAAA,Ashley Burns,Carlsbad,130’-05”
AAAA,Ashlynn Prater,Piedra Vista,138’-04”
AAA,Katie Coronado,Ruidoso,127’-04”
AA,Natasha Gray,Hope,108’-00”
A,Jessica Adams,Cimarron,122’-06”
2004 Girls Track & Field State Champions,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Tressi Richardson  Cibola  12.36,,,
AAAA  Paula Osborn St.Pius  12.70,,,
AAA Amanda Gay Bloomfield  12.91,,,
AA Janelle Hartog  Rehoboth  13.05,,,
A Ariel Burr  Carrizozo  12.26,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Tressi Richardson  Cibola  26.19,,,
AAAA  Katie Schlotterback Farmington 26.78,,,
AAA Ashley Ferguson  Hot Springs  26.64,,,
AA Kristen SmothermanHope Christian  27.15,,,
A Ariel BurrCarrizozo 25.87,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Christina Zarrella  Rio Rancho  58.12,,,
AAAA  Grace Rich St. Pius 58.99,,,
AAA Alissa Horacek  Grants  1:00.86,,,
AA Makenzi Williams  Hope  1:02.21,,,
A Ariel Burr  Carrizozo  58.58,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Anna Petrov  Eldorado  2:19.42,,,
AAAA  Kristen Hemphill Los Alamos 2:18.04,,,
AAA Irena Ossola  St. Michaels  2:26.75,,,
AA Traci Lopez  Santa Fe Prep2:24.73,,,
A Noel Carpenter  Floyd2:32.85,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Kelly McCabe  Highland  5:16.21,,,
AAAA  Aeriel Emig Albuquerque Academy 5:07.40,,,
AAA Irena Ossola  St. Michaels  5:34.12,,,
AA Monique Garcia  Laguna Acoma  5:25.91,,,
A Natasha SenaRoy  5:44.10,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Lindsay Barr,La Cueva,11:43.3,
AAAA  Kristen Hemphill,Los Alamos,11:27.1,
AAA Irena Ossola,St. Michaels,12:02.5,
AA Melorie Boone,Zuni,12:09.4,
A Kelli Johnson,Floyd,12:49.0,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAAA Danielle Delone,Alamogordo,15.74,
AAAA  Micaiah Redden,Moriarty,14.61,
AAA Robyn  North,Cobre,16.41,
AA Ashton Coburn,Estancia,16.72,
A Haily Lee,House,15.95,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Nizhoni Fairey,Gallup,45.83,
AAAA  Sarah Lacey,Farmington,44.89,
AAA Andrea Jarnagin,Lovington,48.73,
AA Ashton Coburn,Estancia,48.94,
A Sandy Fortner,Ft. Sumner,44.84,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Clovis,49.61,
AAAA,Farmington,50.11,
AAA,St. Michaels,51.88,
AA,Hope Christian,50.87,
A,Floyd,53.03,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,La Cueva,01:44.7,
AAAA,Farmington,01:45.9,
AAA,Grants,01:49.2,
AA,Sandia Prep,01:49.8,
A,Floyd,01:56.6,
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,Highland,04:17.1,
AAAA,Albuquerque Academy,04:14.5,
AAA,Grants,04:27.0,
AA,Cimarron,04:29.3,
A,Roy,04:32.9,
,,,
1600 M Relay,,,
Class,School,Time,
AAAAA,Gallup,04:05.8,
AAAA,Piedra Vista,04:05.2,
AAA,Robertson,04:16.6,
AA,Cimarron,04:15.0,
A,Mountainair,04:21.0,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Michelle Nelson,Valley,141’-11”,
AAAA  Stephanie Sanchez,Belen,109’-08”,
AAA Katie Coronado,Ruidoso,125’-07”,
AA Jessica Becker,Capitan,128’-05”,
A Laurel Herrera,Ft. Sumner,109’-10”,
,,,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Christina Zarrella,Rio Rancho,17’-09.25”,
AAAA  Morgan Dodd,Moriarty,17’-04.00”,
AAA Stephanie Louis,St. Michaels,15’-11.50”,
AA Kristin Smotherman,Hope Christian,15’-07.75”,
A Sandy Fortner,Ft. Sumner,17’-09.50”,
,,,
,,,
High Jump,,,
Class Name,School,Distance,
AAAAA Kim Frenz,Rio Rancho,5’-02.00”,
AAAA  Micaiah Redden,Moriarty,5’-04.00”,
AAA Vera Jo Bustos,West Las Vegas,5’-03.00”,
AA Jessica Denney,Tularosa,5’-04.00”,
A Sandy Fortner,Ft. Sumner,5’-00.00”,
Triple Jump,,,
Class Name,School,Distance,
AAAAA Demetri Young,Hobbs,36’-11.50”,
AAAA  Victoria Martin,Piedra Vista,36’-07.75”,
AAA Alissa Horacek,Grants,34’-11.00”,
AA Angelina Casias,Cimarron,32’-05.00”,
A Ariel Burr,Carrizozo,37’-10.50”,
,,,
Pole Vault,,,
Class Name,School,Distance,
AAAAA Alex Berlin,Eldorado,10’-06.00”,
AAAA  Carmen-Noel Hill,Los Alamos,11’-06.00”,
AAA Yesenia Archuleta,Grants,9’-06.00”,
AA Chelsea Deck,Jal,9’-00.00”,
A Kelly Armstrong,Magdalena,9’-00.00”,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Michelle Nelson,Valley,43’-04.25”,
AAAA  Maggie Crank,Albuquerque Academy,37’-11.25”,
AAA Diedra Brown,Bloomfield,37’-11.25”,
AA Jessica Becker,Capitan,39’-07.50”,
A Roxanne Ganadonegro,Alamogordo Navajo,34’-11.50”,
,,,
Javelin,,,
Class Name,School,Distance,
AAAAA Courtney Wright,Santa Fe,126’-09”,
AAAA  Randi Grimes,Farmington,131’-03”,
AAA Katie Coronado,Ruidoso,135’-04”,
AA Jessica Adams,Cimarron,130’-11”,
A Samantha Hoggan,Desert Academy,117’-08”,
2003 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Chevonne Miller Manzano 12.49,,,
AAAA  Katie Schlotterback Farmington 12.94,,,
AAA Amanda Gay Bloomfield 13.12,,,
AA Sandy Fortner  Tucumcari 12.47,,,
A Ariel Burr Carrizozo 12.44,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Chevonne Miller Manzano 25.46,,,
AAAA  Krista Meier Los Alamos 26.16,,,
AAA Amanda Gay Bloomfield 27.09,,,
AA Jennifer Gonzalez Tucumcari 26.68,,,
A Ariel Burr  Carrizozo 26.39,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Monique Walker Clovis58.69,,,
AAAA  Krista Meier Los Alamos 59.40,,,
AAA Renee Gallegos Socorro 61.68,,,
AA Jennifer Gonzalez Tucumcari 62.20,,,
A Ariel Burr Carrizozo 59.37,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Riann Lucy Cibola  2:17.36,,,
AAAA  Kristen Hemphill Los Alamos 2:17.91,,,
AAA Erin Lewis  Grants  2:24.81,,,
AA Lauren MilneSandia Prep 2:27.75,,,
A Shelley Langerstrom Bosque 2:26.94,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Jocelyn Calderon Carlsbad 5:23.72,,,
AAAA  Kristen Hemphill Los Alamos 5:11.92,,,
AAA Erin Lewis  Grants  5:27.58,,,
AA Jessie Hale  Rehoboth  5:27.98,,,
A Natasha Sena Roy 5:41.82,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Melanie Velarde,Eldorado,11:44.8,
AAAA  Kristen Hemphill,Los Alamos,11:36.7,
AAA Irene Ossola,St. Mike’s,12:06.1,
AA Jessie Hale,Rehoboth,12:13.5,
A Shawna Woody,Ramah,13:02.0,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAAA Jenna Glidden,Cibola,15.15,
AAAA  Sarah Lacy,Farmington,15.36,
AAA Samantha Serrano,Bloomfield,16.85,
AA Eileen Onsurez,Loving,16.48,
A Hailey Lee,House,16.64,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Jenna Glidden,Cibola,43.99,
AAAA  Sarah Lacy,Farmington,46.78,
AAA Kimberly Choate,Lovington,49.27,
AA Eileen Onsurez,Loving,47.24,
A Hailey Lee,House,47.7,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Clovis,48.3,
AAAA,Farmington,49.59,
AAA,Grants,52.24,
AA,Tucumcari,50.97,
A,Mountainair,53.86,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,Cibola,01:46.5,
AAAA,Farmington,01:46.3,
AAA,Grants,01:49.6,
AA,Tucumcari,01:48.4,
A,Cliff,01:54.9,
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,Carlsbad,04:18.0,
AAAA,Los Alamos,04:15.7,
AAA,Pojoaque,04:32.3,
AA,Sandia Prep,04:30.2,
A,Fort Sumner,04:34.0,
,,,
1600 M Relay,,,
Class,School,Time,
AAAAA,Cibola,04:00.1,
AAAA,Taos,04:08.0,
AAA,Socorro,04:12.7,
AA,Tucumcari,04:10.4,
A,Carrizozo,04:18.5,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Michelle Nelson,Valley,37’-09.50”,
AAAA  Mindy Parsons,Farmington,40’-05.00”,
AAA Kayla Brown,Bloomfield,38’-07.50”,
AA Jessica Becker,Capitan,37’-08.50”,
A Stephanie Bretz,Tatum,34’-06.00”,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Shellie Buckhanan,Rio Rancho,129’-02.02”,
AAAA  Jessica Ford,Aztec,136’-11.00”,
AAA Rachel Loya,Ruidoso,120’-06.00”,
AA Jessica Becker,Capitan,121’-11.00”,
A Amanda Gutierrez,Springer,103’-06.00”,
,,,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Olivia Ndyabagye,Sandia,17’-07.50”,
AAAA  Victoria Martin,Piedra Vista,17’-05.00”,
AAA Alissa Horacek,Grants,16’-09.75”,
AA Amber Palmer,Texico,16’-10.50”,
A Hailey Lee,House,16’-09.00”,
High Jump,,,
Class Name,,School,Distance
AAAAA Tori Grafeman,,La Cueva,5’-04.00”
AAAA  Micaiah Redden,,Moriarty,5’-02.00”
AAA Anne Gallegos,,Robertson,5’-01.00”
AA Sandy Fortner,,Tucumcari,5’-06.25”
A April Pullen,,San Jon,5’-00.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAAA Jade Mallory,,La Cueva,36’-10.50”
AAAA  Tiffany Ung,,Academy,36’-02.25”
AAA Helga Bhasher,,Socorro,33’-06.00”
AA Kelly Fortner,,Tucumcari,33’-04.00”
A Ariel Burr,,Carrizozo,35’-04.50”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAAA Melissa Muchmore,,Sandia,10’-06.00”
AAAA  Kelly Trinkle,,Silver City,10’-06.00”
AAA Maegan Montoya,,Grants,10’-00.00”
AA Casey Carlisle,,Cimarron,9’-06.00”
A Kelly Armstrong,,Magdalena,9’-00.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAAA Crystal Richardson,,Gallup,121’-07.00”
AAAA  Jessica Thompson,,Silver City,129’-01.00”
AAA Kayla Brown,,Bloomfield,136’-04.00”
AA Jessica Adams,,Cimarron,126’-06.00”
A Michelle Fowler,,Quemado,115’-07.00”
2002 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Donita Harmon Eldorado 11.97,,,
AAAA  K.C. Pritchard  Moriarty 12.36,,,
AAA Josephine Jaramillo Grants  13.08,,,
AA Sandy Fortner  Tucumcari 12.80,,,
A Ariel Burr Carrizozo 12.42,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Donita Harmon  Eldorado 25.82,,,
AAAA  Katie Schlotterback Farmington 26.75,,,
AAA Josephine Jaramillo Grants  28.08,,,
AA Jennifer Gonzalez Tucumcari 27.28,,,
A Ariel Burr Carrizozo 26.32,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Katie Candelaria La Cueva  58.20,,,
AAAA  Debbie Gilbert Academy  59.52,,,
AAA Josephine Jaramillo Grants  59.84,,,
AA Jennifer Gonzalez Tucumcari 60.45,,,
A Ariel Burr Carrizozo 58.96,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Anne Heiner  Las Cruces 2:16.15,,,
AAAA  Claire Walker  Los Alamos 2:17.92,,,
AAA Angelica Marchi St. Mike’s  2:26.46,,,
AA Tauna Higgins Loving  2:21.20,,,
A Tracy Gray  Reserve  2:25.00,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Rhiann Lucy  Cibola  5:22.51,,,
AAAA  Rachel Urbina  Academy  5:18.51,,,
AAA Angelica Marchi St. Mike’s  5:25.37,,,
AA Janice Tosa  Jemez 5:19.97,,,
A Jessica hale  Rehoboth  5:28.77,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Felicia Guliford,Gallup,11:36.1,
AAAA  Alicia Torres,Taos,11:19.5,
AAA Erin Lewis,Grants,11:53.2,
AA Janice Tosa,Jemez,11:53.3,
A Jessica Hale,Rehoboth,12:01.7,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAAA Aundrea Wells,Alamogordo,14.92,
AAAA  Laci Candelaria,Bloomfield,15.65,
AAA Tiffany Grigg,Socorro,15.81,
AA Kimberley Trujillo,Clayton,16.55,
A Ariel Vallejos,Carrizozo,16.46,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Nicole Hanson,Eldorado,44.84,
AAAA  Michaela Esquivel,Academy,44.71,
AAA Tiffany Grigg,Socorro,47.53,
AA Eileen Onsurez,Loving,48.21,
A Ariel Vallejos,Carrizozo,46.84,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Clovis,48.3,
AAAA,Moriarty,50.23,
AAA,Grants,52.03,
AA,Tucumcari,51.03,
A,Rehoboth,52.14,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,Clovis,01:43.9,
AAAA,Academy,01:45.0,
AAA,Grants,01:52.0,
AA,Tucumcari,01:48.1,
A,Rehoboth,01:50.1,
2001 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Donita Harmon  Eldorado 12:23,,,
AAAA  Katie Schlottback Farmington  12:61,,,
AAA Amber Rodie Lovington  13.29,,,
AA Ruth Domrzalski Menaul 12.52,,,
A Ariel Burr  Carrizozo 12.45,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Donita Harmon Eldorado 24.70,,,
AAAA  Katie Schlottback  Farmington  26.25,,,
AAA Josephine Jaramillo  Grants  26.87,,,
AA Jennifer Gonzalez Tucumcari 26.52,,,
A Ariel Burr Carrizozo 25.64,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Donita Harmon  Eldorado 55:71,,,
AAAA  Megan Bryant  Silver City  58.21,,,
AAA Victoria Martinez Robertson 58.43,,,
AA Kristi Britain Fort Sumner  60.26,,,
A Ariel Burr Carrizozo 57.47,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Felicia Guliford Gallup  2:15.24,,,
AAAA  Rachel Urbina  Albuquerque Academy  2:17.62,,,
AAA Jacquelyne Gallegos Pojoaque  2:19.30,,,
AA Tauna Higgins  Loving  2:19.96,,,
A Lindy Pate Logan2:31.94,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Felicia Guliford Gallup  5:01.23,,,
AAAA  Rachel Urbina  Albuquerque Academy 5:15.90,,,
AAA Jacquelyne Gallegos  Pojoaque  5:12.04,,,
AA Tauna Higgins  Loving  5:27.59,,,
A Natasha SenaRoy 5:38.17,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Felicia Guliford,Gallup,10:46.7,
AAAA  Alicia Torres,Taos,11:34.0,
AAA Jacquelyne Gallegos,Pojoaque,11:17.4,
AA Janice Tosa,Jemez,11:55.9,
A Jessica Hale,Rehoboth,12:13.5,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAAA Aundrea Wells,Alamogordo,15.78,
AAAA  Rachel Finch,Bloomfield,15.16,
AAA Tiffany Grigg,Socorro,16.31,
AA Melissa Smith,Lordsburg,16.74,
A Farrah Upton,Animas,16.33,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Jenna Brooks,Manzano,45.46,
AAAA  Michaela Esquivel,Albuquerque Academy,45.46,
AAA Kami Sparks,Ruidoso,48.19,
AA Jessica Atlano,Lordsburg,49.2,
A Madalyn Burr,Carrizozo,47.82,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Clovis,49.14,
AAAA,Oñate,50.25,
AAA,Lovington,50.87,
AA,Lordsburg,52.7,
A,Logan,51.16,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,Eldorado,01:43.4,
AAAA,Silver City,01:46.7,
AAA,Lovington,01:48.7,
AA,Sandia Prep,01:50.3,
A,Animas,01:50.7,
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,Las Cruces,04:18.5,
