2006 Boys Track & Field State Champions,x,x,x
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Dan Hadley Alamogordo 10.72,,,
AAA Sean Darby Academy 11.30,,,
AA Charlie Ragle  Animas 11.61,,,
A Victor Herrera  Springer 11.80,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Dan Hadley Alamogordo 21.80,,,
AAA Chris Summers Portales 22.45,,,
AA Charlie Ragle  Animas 23.38,,,
A Victor Herrera  Springer 23.78,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Damien Thorton Alamogordo 49.87,,,
AAA Nickle Samuels Cobre 49.64,,,
AA Bruce Rae Sandia Prep 50.54,,,
A Bobby Winegart Texico  52.18,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  Robert Steuhrenburg Sandia  1:55.16,,,
AAA Chris Snigula Los Alamos 1:55.46,,,
AA Damien Passalaqua Santa Fe Prep  2:02.22,,,
A Isaac Brazil Springer 2:07.11,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAA  Brandon Leslie Gallup  4:18.44,,,
AAA Marcos Morillan Artesia  4:27.47,,,
AA Jason Mooney  Laguna-Acoma 4:34.90,,,
A Imre Szomnathy Reserve 4:48.27,,,
,,,
3200 M Run,,,
Class Name School  Time,,,
AAAA  Brandon Leslie Gallup  9:15.96,,,
AAA Marcos Morillon Artesia  9:43.25,,,
AA Jason Mooney  Laguna-Acoma 10:09.30,,,
A Pat Balizan Springer 10:33.22,,,
110 M High Hurdles,,,
Class Name,School,Time,
AAAA  Chad Lee,Goddard,14.69,
AAA Randy Himes,Bloomfield,14.99,
AA Victor Trujillo,Questa,16.26,
A Mick Reed,Cliff,16.19,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Darrian Thomas,Alamogordo,38.09,
AAA Hyrum Prince,Bloomfield,38.49,
AA Chris Lykins,Dexter,40.97,
A Victor Herrera,Springer,38.67,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,Goddard,42.64,
AAA,Academy,43.89,
AA,Clayton,45.21,
A,Loving,45.35,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,Alamogordo,01:27.2,
AAA,Academy,01:31.0,
AA,Eunice,01:34.0,
A,Hagerman,01:36.1,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAA,Goddard,03:32.6,
AAA,Taos,03:35.3,
AA,Lordsburg,03:44.8,
A,Tatum,03:50.5,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,Highland,03:25.1,
AAA,Taos,03:21.9,
AA,Santa Fe Prep,03:32.7,
A,Texico,03:35.3,
Shot Put,,,
Class Name,,School,Distance
AAAA  Tim Englehart,,Alamogordo,54’-11.50”
AAA Bruce Hatch,,Bloomfield,50’-09.50”
AA Kelly Lee,,Hot Springs,45’-07.00”
A Randy Navarette,,Loving,47’-01.00”
,,,
Discus,,,
Class Name,,School,Distance
AAAA  Tim Englehart,,Almogordo,164’-10.00”
AAA Clinton Bishop,,Lovington,151’-08.00”
AA Kelly Lee,,Hot Springs,138’-08.00”
A Tory Baxley,,Hagerman,132’-01.00”
,,,
Long Jump,,,
Class Name,,School,Distance
AAAA  Julius Dickerson,,Highland,22’-05.75”
AAA Hyrum Prince,,Bloomfield,21’-09.25”
AA Eddie Caballero,,Eunice,19’-11.00”
A Victor Herrera,,Springer,21’-02.00”
,,,
High Jump,,,
Class Name,,School,Distance
AAAA  Brian Knudson,,La Cueva,6’-06.00”
AAA Kevin Dotson,,Los Alamos,7’-02.25”
AA Matt Aguilar,,Eunice,6’-00.00”
A Kent Bradley,,Melrose,6’-07.00”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAA  Tim Monroe,,Alamogordo,16’-03.00”
AAA John Schroeder,,Los Alamos,14’-07.00”
AA Damien Passalaqua,,Santa Fe Prep,12’-06.00”
A Todd Barentine,,Cliff,13’-00.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAA  Ernesto Ramos,,Alamogordo,192’-07.00”
AAA Aaron Bishop,,Lovington,177’-03.00”
AA Herbert Harvey,,Crownpoint,166’-03.00”
A Brian Miller,,Loving,168’-10.00”
1993 Boys Track & Field State Champions,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Matt Simmons La Cueva 10.72,,,
AAA Eric Schiel Artesia  11.35,,,
AA Francisco Baca Santa Rosa 11.84,,,
A Andre Smith Loving  11.61,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Dan Hadley Alamogordo 21.80,,,
AAA Eric Schiel Artesia  23.04,,,
AA Lee Arnett Clayton 23.29,,,
A Andre Smith Loving  22.83,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Damian Ortiz Alamogordo 48.58,,,
AAA James Sana West Las Vegas 50.07,,,
AA Terrill Dobbs Jal 50.36,,,
A Eric Pirtle Loving  51.48,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  David Krummenacker  Las Cruces 1:51.73,,,
AAA Mike Burgoyne Pojoaque 1:58.92,,,
AA Clemente Sanchez Laguna-Acoma 2:02.25,,,
A Jason Sweatfield Hagerman 2:10.50,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAA  Dvid Krummenacker Las Cruces 4:16.31,,,
AAA Marcos Morillan Artesia  4:24.69,,,
AA Clemente Sanchez Laguna-Acoma 4:31.11,,,
A Ramone Norris Rehoboth 4:39.65,,,
,,,
3200 M Run,,,
Class Name School  Time,,,
AAAA  Brandon Leslie Gallup  9:25.82,,,
AAA Blaine Thomas Shiprock 9:54.63,,,
AA Manuel Tosa Jemez 10:05.17,,,
A Geno Lopez Spriner 10:19.59,,,
110 M High Hurdles,,,
Class Name,School,Time,
AAAA  Eric Evans,West Mesa,14.69,
AAA Randy Himes,Bloomfield,14.69,
AA Eddie Wood,Estancia,16.55,
A Jason Peterson,Elida,16.16,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Darrian Thomas,Alamogordo,38.09,
AAA James Berry,Academy,38.06,
AA Chris Lykins,Dexter,41.96,
A Brad Richmond,Tatum,40.4,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,Sandia,42.39,
AAA,Academy,43.89,
AA,Clayton,44.88,
A,Capitan,44.88,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,Roswell,01:29.5,
AAA,Silver City,01:32.5,
AA,Animas,01:35.4,
A,Loving,01:34.0,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAA,Carlsbad,03:36.6,
AAA,Taos,03:37.2,
AA,Jemez,03:46.3,
A,Rehoboth,03:45.1,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,Alamogordo,03:18.5,
AAA,West Las Vegas,03:24.1,
AA,Clayton,03:34.7,
A,Tatum,03:33.6,
Shot Put,,,
Class Name,,School,Distance
AAAA  Clint Grey,,Albuquerque,51’-02.75”
AAA Chris Gonzalez,,Lovington,59’-02.25”
AA Frank Curley,,Navajo Pine,44’-06.00”
A Xavier Zungia,,Reserve,50’-05.00”
,,,
Discus,,,
Class Name,,School,Distance
AAAA  Mike Webner,,La Cueva,154’-07.00”
AAA Chris Gonzalez,,Lovington,169’-10.00”
AA Frank Curley,,Navajo Pine,140’-01.00”
A Rick Armendariz,,Loving,133’-10.00”
,,,
Long Jump,,,
Class Name,,School,Distance
AAAA  Julius Dickerson,,Highland,22’-05.75”
AAA Hyrum Prince,,Bloomfield,21’-07.50”
AA Anthony Archuleta,,Mesa Vista,20’-08.25”
A Victory Herrera,,Springer,20’-05.50”
,,,
High Jump,,,
Class Name,,School,Distance
AAAA  Bart Jaqua,,Farmington,6’-11.50”
AAA Kevin Dotson,,Los Alamos,6’-08.00”
AA Frank Garcia,,Hatch,5’-10.00”
A Dean Sasser,,San Jon,6’-02.00”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAA  Josh Boies,,Santa Fe,14’-00.00”
AAA John Schroeder,,Los Alamos,14’-06.00”
AA Rip Syfrett,,Tularosa,12’-06.00”
A Josh Fallon,,Cimarron,12’-00.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAA  Ernesto Ramos,,Alamogordo,183’-05.00”
AAA Baric Crum,,Kirtland,189’-01.00”
AA Nick Cruz,,Clayton,180’-11.00”
A Raul Navarette,,Loving,184’-06.00”
1992 Boys Track & Field State Champions,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Payton James Alamogordo 10.87,,,
AAA Jason Elliot Kirtland 11.15,,,
AA Lance Little Menaul 11.01,,,
A Lee Najar Carrizoso 11.27,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Earl Woods Hobbs  22.05,,,
AAA Paul Ortiz St. Mike’s 22.48,,,
AA Lance Little Menaul 22.52,,,
A Kenny Shaw Texico  22.90,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Earl Woods Hobbs  49.26,,,
AAA Nathan Erdmann Portales 48.90,,,
AA Terrell Dobbs  Jal 51.20,,,
A Kenny Shaw Texico  51.59,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  David Krummenacker  Las Cruces 1:53.27,,,
AAA Jim Marcino Shiprock 1:56.69,,,
AA Mike Kelshaw  Sandia Prep 2:01.94,,,
A Mike Balizan Springer 2:03.84,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAA  David Krummenacker  Las Cruces 4:19.08,,,
AAA Art Jimenez Tucumcari 4:22.69,,,
AA Julio Trujillo McCurdy 4:30.38,,,
A Ramone Norris Rehoboth 4:37.95,,,
,,,
3200 M Run,,,
Class Name School  Time,,,
AAAA  Brandon Leslie Gallup  9:44.18,,,
AAA Art Jimenez Tucumcari 9:36.45,,,
AA Sheldon Cheromiah Laguna-Acoma 9:57.53,,,
A Ramone Norris Rehoboth 9:57.28,,,
110 M High Hurdles,,,
Class Name,School,Time,
AAAA  Mark Herrera,Albuquerque,14.44,
AAA Tom Mescall,St. Pius,14.57,
AA Lance Little,Menaul,15.08,
A Trey Sheets,Des Moines,15.71,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Mark Herrera,Albuquerque,38.9,
AAA James Berry,Academy,39.12,
AA Lance Little,Menaul,39.28,
A Brad Richmond,Tatum,41.16,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,Alamogordo,42.34,
AAA,Belen,43.57,
AA,Clayton,45.04,
A,Texico,44.57,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,Hobbs,01:28.7,
AAA,Belen,01:30.8,
AA,Tularosa,01:45.9,
A,Hagerman,01:33.3,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAA,Hobbs,03:31.9,
AAA,Artesia,03:37.2,
AA,Lordsburg,03:47.6,
A,Rehoboth,03:45.1,
,,,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,Alamogordo,03:19.9,
AAA,Portales,03:25.6,
AA,Sandia Prep,03:26.8,
A,Tatum,03:35.6,
Shot Put,,,
Class Name,,School,Distance
AAAA  Matt Kraft,,Manzano,52’ -00.25”
AAA Shane Edison,,Ruidoso,53’-06.50”
AA Mario Mediano,,Menaul,48’-02.00”
A Xavier Zuniga,,Reserve,47’-05.00”
,,,
Discus,,,
Class Name,,School,Distance
AAAA  Matt Kraft,,Manzano,164’-00.00”
AAA Buddy Crouch,,Lovington,156’-00.50”
AA David Gurule,,Hot Springs,128’-08.00”
A Troy Green,,Hagerman,142’-04.00”
,,,
Long Jump,,,
Class Name,,School,Distance
AAAA  Dough Cavanaugh,,Clovis,22’-03.00”
AAA Tom Mescall,,St. Pius,21’-10.50”
AA Jeremy Fredrickson,,Animas,20’-06.75”
A Jamers Silva,,Carrizozo,21’-03.50”
,,,
High Jump,,,
Class Name,,School,Distance
AAAA  Jeff Geisler,,Los Alamos,6’-09.00”
AAA Tom Mescall,,St. Pius,6’-08.00”
AA Alfred Taylor,,SFIS,6’-02.00”
A Dean Sasser,,San Jon,6’-04.00”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAA  Mitch Elson,,Santa Fe,13’-06.00”
AAA Keith Tunnell,,Goddard,15’-00.00”
AA Mark Jenkins,,Clayton,12’-00.00”
A Dale Scott,,Tatum,12’-06.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAA  Louis Heckroth,,Sandia,192’-08.00”
AAA Baric Crum,,Kirtland,178’-04.00”
AA Lance Little,,Menaul,166’-05.00”
A Raul Navarette,,Loving,188’-01.00”
1991 Boys Track & Field State Champions,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Michael Thompson Clovis  10.67,,,
AAA Tad Story Silver City 11.68,,,
AA Lance Little Menaul 10.62,,,
A Jarred Hestand Melrose 10.80,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Michal Thompson Clovis  22.26,,,
AAA Joel Koplik Academy 22.42,,,
AA Lance Little Menaul 23.20,,,
A Jarred Hestand Melrose 23.38,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Trini Gonzalez Alamogordo 49.70,,,
AAA Sean King Onate 49.49,,,
AA Brad Fouts Jal 51.91,,,
A Jerred Hestand Melrose 50.42,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  David Krummenacker  Las Cruces 1:56.45,,,
AAA Tino Griego Robertson 2:00.63,,,
AA Jeremy Kie Laguna-Acoma 2:02.37,,,
A Jeff Burnett Melrose 2:09.70,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAA  Casey O’Shea  Santa Fe 4:30.38,,,
AAA Art Jimenez Tucumcari 4:24.32,,,
AA Shane Garcia Laguna-Acoma 4:21.13,,,
A Mike Balizan Springer 4:39.65,,,
,,,
3200 M Run,,,
Class Name School  Time,,,
AAAA  Jose Vergera Highland 9:51.01,,,
AAA Art Jimenez Tucumcari 9:41.52,,,
AA Shane Garcia Laguna-Acoma 9:49.84,,,
A Ramone Norris Rehoboth 10:13.16,,,
110 M High Hurdles,,,
Class Name,School,Time,
AAAA  Justin Sofaly,Los Alamos,14.77,
AAA Mario Sategna,Bloomfield,15.81,
AA Sean Wooten,Santa Rosa,15.41,
A Chris Fernandez,Hagerman,14.86,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Justin Sofaly,Los Alamos,38.43,
AAA Mario Sategna,Bloomfield,40.05,
AA Lance Little,Menaul,39.89,
A Robert Zamora,Mountainair,41.71,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,Highland,42.01,
AAA,Artesia,43.46,
AA,Estancia,45.12,
A,Texico,45.47,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,Highland,01:28.7,
AAA,Artesia,01:29.2,
AA,Jal,01:33.4,
A,Springer,01:36.0,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAA,Los Lunas,03:38.2,
AAA,Silver City,03:39.6,
AA,Jal,03:48.5,
A,Cloudcroft,03:55.8,
,,,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,Del Norte,03:22.6,
AAA,Artesia,03:23.4,
AA,Jal,03:33.1,
A,Melrose,03:38.7,
Shot Put,,,
Class Name,,School,Distance
AAAA  Darius Holland,,Mayfield,56’-02.00”
AAA Brian Hidalgo,,Belen,48’-02.25”
AA Andres Nieto,,Santa Rosa,47’-09.00”
A Ken Frazier,,Loving,47’-01.00”
,,,
Discus,,,
Class Name,,School,Distance
AAAA  Bob Koski,,Highland,152’-00.00”
AAA Matt Hagen,,Academy,159’-06.00”
AA Harvey Tavarez,,Jal,124’-00.00”
A Ken Frazier,,Loving,128’-08.00”
,,,
Long Jump,,,
Class Name,,School,Distance
AAAA  Swayne Payton,,Clovis,21’-07.75”
AAA Mario Sategna,,Bloomfield,23’-08.50”
AA Juan Bejarano,,Dexter,21’-02.50”
A Raul Navarrette,,Loving,20’-07.25”
,,,
High Jump,,,
Class Name,,School,Distance
AAAA  Jeff Geisler,,Los Alamos,6’-10.00”
AAA Brad King,,Belen,6’-06.00”
AA Alfred Taylor,,SFIS,6’-07.00”
A Josh Tye,,Cliff,6’-04.00”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAA  Mitch Elson,,Santa Fe,14’-06.00”
AAA Mario Sategna,,Bloomfield,17’-01.50”
AA Chad Fouts,,Jal,13’-00.00”
A Waylon Rains,,Melrose,12’-06.00”
,,,
,,,
Javelin,,,
Class Name,,School,Distance
AAAA  G.W. Posey,,Farmington,195’-01.00”
AAA Chris Palomino,,Raton,194’-07.00”
AA Lance Little,,Menaul,173’-02.00”
A Raul Navarette,,Loving,167’-02.00”
1990 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Michael Thompson Clovis  10.68,,,
AAA Dale Ward Grants  10.81,,,
AA Lance Little Menaul 10.62,,,
A Magnus Kemast Mosquero 11.83,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Michael Thompson Clovis  21.74,,,
AAA Dale Ward Grants  21.86,,,
AA Carlos Martinez Jal 23.05,,,
A Luis Barela Hagerman 23.15,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Pete Lewis Hobbs  49.26,,,
AAA Sean King Onate 49.66,,,
AA David Sanchez Laguna-Acoma 50.28,,,
A Jerred Hestand Melrose 50.68,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  Pat Sandoval Del Norte 1:56.01,,,
AAA Phillip Castillo Grants  1:57.52,,,
AA Jeremy Kie Laguna-Acoma 1:57.80,,,
A Mike Kelshaw  Sandia Prep 2:04.74,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAA  Casey O’Shea  Santa Fe 4:30.38,,,
AAA Art Jimenez Tucumcari 4:25.97,,,
AA Shane Garcia Laguna-Acoma 4:19.86,,,
A Manny Ganpot Sandia Prep 4:43.11,,,
,,,
3200 M Run,,,
Class Name School  Time,,,
AAAA  Jon Biles Manzano 9:38.44,,,
AAA Phillip Castillo Grants  9:36.69,,,
AA Shane Garcia Laguna-Acoma 9:20.82,,,
A Mike Balizan Springer 10:20.89,,,
110 M High Hurdles,,,
Class Name,School,Time,
AAAA  Keith Corbin,Alamogordo,14.08,
AAA Mario Sdategna,Bloomfield,14.43,
AA Joseph Montoya,Clayton,15.76,
A Chris Fernandez,Hagerman,15.35,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Mike Perry,Roswell,38.64,
AAA Mario Sategna,Bloomfield,38.68,
AA Patrick Archuleta,Clayton,39.98,
A Chris Fernandez,Hagerman,40.85,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,Del Norte,42.42,
AAA,Academy,43.1,
AA,Jal,44.68,
A,Hagerman,44.94,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,Clovis,01:28.5,
AAA,Grants,01:29.7,
AA,Jal,01:33.1,
A,Hagerman,01:33.0,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAA,Los Lunas,03:38.2,
AAA,Grants,03:37.5,
AA,Jal,03:42.0,
A,Tatum,03:46.4,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,Del Norte,03:18.4,
AAA,Silver City,03:24.4,
AA,Jal,03:33.1,
A,Sandia Prep,03:35.5,
Shot Put,,,
Class Name,,School,Distance
AAAA  Darius Holland,,Mayfield,56’-02.00”
AAA Scott Perkins,,Academy,53’-05.25”
AA Richard Ortiz,,Pecos,43’ -04.50”
A Joe Draper,,Melrose,43’ -06.00”
,,,
Discus,,,
Class Name,,School,Distance
AAAA  Brad Smith,,Sandia,165’-04.00”
AAA Cord Ermis,,Artesia,169’-07.00”
AA David Martinez,,Animas,138’-01.00”
A Tappan Mahoney,,Roy,138’-11.00”
,,,
,,,
Long Jump,,,
Class Name,,School,Distance
AAAA  Sylvester Journey,,Clovis,22’-07.25”
AAA Mario Sategna,,Bloomfield,23’-01.00”
AA Juan Bejarano,,Dexter,20’-01.05”
A Chris Fernandez,,Hagerman,20’-05.75”
,,,
High Jump,,,
Class Name,,School,Distance
AAAA  Jeff Geisler,,Los Alamos,6’-06.00”
AAA Peter Brown,,Silver City,6’-08.00”
AA Alfred Taylor,,SFIS,6’-06.00”
A Brandon Holst,,Cimarron,6’-05.00”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAA  Greg Tucker,,Farmington,13’-06.00”
AAA Mario Sategna,,Bloomfield,16’-00.25”
AA Jason McKinley,,Tularosa,13’-06.00”
A Bobby Stearns,,Tatum,13’-08.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAA  Ray Torres,,Sandia,192’-08.00”
AAA Tony DeHerrera,,Bloomfield,183’-10.00”
AA Jason Franzoy,,Hatch,171’-11.00”
A Leonard Arias,,Roy,162’-10.00”
1989 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Charles Hamilton Las Cruces 11.12,,,
AAA Dale Ward Grants  11.09,,,
AA Bobby Sutherland Estancia 11.20,,,
A Chris McCarty Capitan 11.20,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Zach Wesley Manzano 21.52,,,
AAA Dale Ward Grants  21.99,,,
AA Bobby Sutherland Estancia 22.89,,,
A Roger Martinez Springer 22.68,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Jorge Contreras Gadsden 48.38,,,
AAA Mike Baca Belen 49.09,,,
AA Fabian Lopez Clayton 50.82,,,
A Roger Martinez Springer 50.37,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  Anthony Alexander La Cueva 1:57.19,,,
AAA Ira Sago Ruidoso 1:59.13,,,
AA Myron Salvador Laguna Acoma 1:55.82,,,
A Jay Draper Melrose 2:01.41,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAA  David List La Cueva 4:29.87,,,
AAA Arthur Jiminez Tucumcari 4:21.25,,,
AA Rony Riley Santa Fe Indian School 4:21.06,,,
A Jay Draper Melrose 4:40.75,,,
,,,
3200 M Run,,,
Class Name School  Time,,,
AAAA  Larry Otero Los Lunas 9:46.54,,,
AAA Marvin Hood Wingate 9:31.00,,,
AA Phillip Magdalena Jemez Valley 9:40.22,,,
A Richard Garcia Wagon Mound 10:45.34,,,
,,,
110 M High Hurdles,,,
Class Name,School,Time,
AAAA  Reggie Stewart,Mayfield,14.25,
AAA Mario Sategna,Bloomfield,14.76,
AA Craig Glaze,Tularosa,15.2,
A Keith Harrison,Texico,15.34,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Justin Sofaly,Los Alamos,39,
AAA Mario Sategna,Bloomfield,38.7,
AA Heath Boatman,Eunice,40.46,
A Keith Harrison,Texico,40.58,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,Highland,42.63,
AAA,Albuquerque Academy,43.01,
AA,Estancia,44.15,
A,Capitan,44.2,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,West Mesa,01:29.6,
AAA,Albuquerque Academy,01:30.6,
AA,Clayton,01:31.7,
A,Capitan,01:32.2,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAA,Farmington,03:35.0,
AAA,Artesia,03:36.4,
AA,Laguna Acoma,03:39.3,
A,Capitan,03:49.4,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,Highland,03:19.3,
AAA,Artesia,03:23.9,
AA,Laguna Acoma,03:27.3,
A,Melrose,03:29.7,
Shot Put,,,
Class Name,,School,Distance
AAAA  Keith Caldwell,,Highland,55’-06.00”
AAA Michael Banks,,Bloomfield,52’-01.25”
AA Mark Lesperance,,Estancia,47’-08.50”
A Robert Dunnahoo,,Hagerman,53’-09.00”
,,,
Discus,,,
Class Name,,School,Distance
AAAA  Dante Smith,,Highland,156’-10.00”
AAA Michael Banks,,Bloomfield,172’-00.00”
AA J.R. Aruizo,,Lordsburg,139’-00.00”
A Robert Dunnahoo,,Hagerman,152’-10.00”
,,,
Long Jump,,,
Class Name,,School,Distance
AAAA  Charles Hamilton,,Las Cruces,22’-02.50”
AAA Dale Ward,,Grants,21’-10.50”
AA Vance Lee,,Lordsburg,21’-00.75”
A Brent Derrick,,Cloudcroft,20’-04.25”
,,,
High Jump,,,
Class Name,,School,Distance
AAAA  Mickey Reeves,,Roswell,6’-10.25”
AAA Mark Satterfield,,Moriarty,6’-10.00”
AA James Vermillion,,Newcomb,6’-02.00”
A Rooney Bone,,San Jon,6’-09.00”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAA  Ed Parks,,Highland,13’-06.00”
AAA Mario Sategna,,Bloomfield,15’-00.00”
AA Vance Lee,,Lordsburg,13’-09.00”
A Matt McGayghey,,Ft. Sumner,13’-00.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAA  Rich Gelhar,,Sandia,185’-02.00”
AAA Wilton Rogers,,Robertson,175’-09.00”
AA Jason Franzoy,,Hatch,168’-00.00”
A Robert Dunnahoo,,Hagerman,168’-07.00”
1988 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  David Jordan Farmington 10.78,,,
AAA Kyle Lee Albuquerque Academy 10.80,,,
AA Paul Ragle Animas 11.41,,,
A Chris McCarthy Capitan 11.42,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  David Jordan Farmington 21.68,,,
AAA Kyle Lee Albuquerque Academy 22.72,,,
AA Paul Joseph Hot Springs 23.25,,,
A Roger Martinez Springer 23.42,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Willie Garcia Del Norte 48.32,,,
AAA Nathan Ivy Albuquerque Academy 48.72,,,
AA Fabian Lopez Clayton 50.76,,,
A Jered Hestano  Melrose 50.98,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  Mike Romero  Valley  1:53.79,,,
AAA Daniel Gallegos Pojoaque 1:55.45,,,
AA Andy Gallegos Lordsburg 2:00.33,,,
A Jay Draper Melrose 2:02.74,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAA  Chip Smith Sandia  4:15.02,,,
AAA Jeff Newland Bloomfield 4:21:47,,,
AA Tony Riley Santa Fe Indian School 4:39.69,,,
A Jay Draper Melrose 4:37.40,,,
,,,
3200 M Run,,,
Class Name School  Time,,,
AAAA  Jessie Taylor Los Alamos 9:39.80,,,
AAA Jeff Newland Bloomfield 9:36.06,,,
AA Chris Sanchez  Penasco 9:56.47,,,
A Dominic Pruitt St. Catherine’s 10:27.38,,,
,,,
110 M High Hurdles,,,
Class Name,School,Time,
AAAA  Clarence Holland,Alamogordo,14.44,
AAA Corey Sanchez,Kirtland Central,15.21,
AA Derek Hill,Animas,15.37,
A Keith Harrison,Texico,16.65,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Sheldon Elias,Eldorado,38.78,
AAA Mario Sategna,Bloomfield,39.96,
AA Jimmy Caton,Cuba,41.06,
A Keith Harrison,Texico,41.12,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,Highland,42.34,
AAA,Albuquerque Academy,43.08,
AA,Clayton,44.54,
A,Capitan,45.03,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,Del Norte,01:29.2,
AAA,Albuquerque Academy,01:30.5,
AA,Animas,01:31.4,
A,Capitan,01:31.9,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAA,La Cueva,03:32.0,
AAA,Belen,03:38.3,
AA,Animas,03:43.4,
A,Capitan,03:53.0,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,Hobbs,03:20.0,
AAA,Grants,03:24.9,
AA,Clayton,03:32.6,
A,Springer,03:35.3,
Shot Put,,,
Class Name,,School,Distance
AAAA  Keith Caldwell,,Highland,53’-00.75”
AAA Marty Brown,,Cobre,52’-05.75”
AA Mark Lesperance,,Estancia,45’-03.00”
A Robert Dunnahoo,,Hagerman,49’-10.50”
,,,
Discus,,,
Class Name,,School,Distance
