2007 Girls Track & Field State Champions,x,x,x
AAAA  Kourtni Ashcroft,Kirtland Central,45.87,
AAA Krista Armstead,Sandia Prep,45.02,
AA Jennie Pearson,Eunice,48.29,
A BreeAnna Lucero,Fort Sumner,47.43,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Clovis,49.17,
AAAA,Los Alamos,50.32,
AAA,Pojoaque,51.91,
AA,Monte del Sol,50.65,
A,Fort Sumner,51.55,
,,,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,Clovis,01:43.5,
AAAA,St. Pius X,01:47.0,
AAA,Ruidoso,01:48.7,
AA,Monte del Sol,01:47.9,
A,Fort Sumner,01:49.3,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,Clovis,04:17.4,
AAAA,St. Pius X,04:21.2,
AAA,West Las Vegas,04:32.1,
AA,Cloudcroft,04:32.1,
A,Fort Sumner,04:36.7,
,,,
1600 M Relay,,,
Class,School,Time,
AAAAA,Clovis,04:03.3,
AAAA,Los Alamos,04:08.9,
AAA,Pojoaque,04:09.0,
AA,Rehoboth,04:15.6,
A,Fort Sumner,04:15.1,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Madison Bean,Valley,40-00.00,
AAAA  Melanie Heslop,Kirtland Central,39-11.00,
AAA Brooklyn Gallegos,Cobre,40-06.00,
AA Larissa Bookout,Tularosa,37-02.00,
A Rita Herrera,Fort Sumner,36-02.00,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Meagan Baglein,Clovis,122-11,
AAAA  Alex Membreno,St. Pius X,116-05,
AAA Alicia Garcia,Robertson,114-03,
AA Yesenia Gonzales,Jal,101-03,
A DeLisa Luce,Fort Sumner,109-10,
,,,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Lesly Torres,Los Lunas,17-05.00,
AAAA  Chantelle Riddle,Roswell,17-11.75,
AAA Kimberly Babicke,Pojoaque,16-10.75,
AA Yeshemabet Turner,Pecos,17-01.25,
A Dawna Walter,Animas,16-04.50,
,,,
High Jump,,,
Class Name,,School,Distance
AAAAA Zoe Meade,,Las Cruces,5-05.00
AAAA  Lindsay Benage,,Los Alamos,5-02.00
AAA Marin Schweigert,,Robertson,5-08.00
AA Katlin Luscombe,,Texico,5-00.00
A BreeAnna Lucero,,Fort Sumner,5-05.00
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAAA Lesly Torres,,Los Lunas,36-04.00
AAAA  Chantelle Riddle,,Roswell,36-04.25
AAA Aasha Marler,,Hope Christian,35-05.25
AA Yeshemabet Turner,,Pecos,36-08.25
A Kelsi Gray,,Floyd,33-09.25
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAAA Anicka Newell,,Highland,9-09.00
AAAA  Brittany Clark,,Artesia,9-06.00
AAA Sunni Baird,,Bloomfield,10-01.00
AA Erin Deck,,Jal,8-00.00
A Annie Stirling,,Cimarron,9-00.00
,,,
Javelin,,,
Class Name,,School,Distance
AAAAA Kristie Covarrubia,,Onate,122-08
AAAA  Alex Membreno,,St. Pius X,127-00
AAA Felicia Chavez,,Cuba,121-09
AA Katlin Luscombe,,Texico,117-10
A Tori Tucker,,Floyd,124-00
2010 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Amber BattleCibola  12.32,,,
