2007 Boys Track & Field State Champions,x,x,x
5A,Jackson Morris,ABQ. Academy,180’-08.00”
4A,Nicholas Gurule,W. Las Vegas,177’-08.00”
3A,Oliver Schultz,Capitan,160’-07.00”
2A,Chris Cooke-Lovato,Mountainair,154’-02.00”
1A,Ivan Davila,SF Waldorf,147’-01.00”
2017 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
6A Jordan Byrd Manzano 10.58,,,
5A Omaury Samuels Los Lunas 11.22,,,
4A Jonah VigilTaos 11.38,,,
3A Patrick BoydSF Prep 11.16,,,
2A Nathan Toddy  Cloudcroft11.69,,,
1A Joseph Benavidez San Jon 11.77,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
6A Jordan Byrd Monzano  21.31,,,
5A Devon Sparkman Valencia 22.38,,,
4A LaVaughn Smooth Ruidoso 22.55,,,
3A Patrick BoydSF Prep 23.92,,,
2A Waylon Hinds  Escalante 24.34,,,
1A Joseph Benavidez San Jon 23.93,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
6A Abram Schaap Volcano Vista  48.53,,,
5A George Kennedy St. Pius X 49.58,,,
4A Jonah VigilTaos 49.24,,,
3A Alejandro Trujillo Capitan 51.35,,,
2A Frankie OrtizMesa Vista 52.09,,,
1A Isiac Johnston  Reserve 52.78,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
6A Harrison Smith III Eldorado 1.56.07,,,
5A Aric Kedge ABQ. Academy1:56.13,,,
4A Miguel CocaWest Las Vegas 2:02.46,,,
3A Ryan Bowekaty Zuni 1:57.59,,,
2A Jude Segura Fort Sumner 2:01.43,,,
1A Jared Lee Melrose 2:03.13,,,
1600 M Run,,,
Class Name,School,Time,
6A Jericho Cleveland,Volcano Vista,04:17.5,
5A Jordan Lesansee,ABQ. Academy,04:19.1,
4A Isiah Padilla,East Mountain,04:24.5,
3A Julian Garcia,Pecos,04:40.9,
2A Martin Flores,Hagerman,04:47.1,
1A Jared Lee,Melrose,04:49.3,
,,,
,,,
3200 M Run,,,
Class Name,School,Time,
6A Jericho Cleveland,Volcano Vista,09:30.5,
5A Jordan Lesansee,ABQ. Academy,09:31.2,
4A Miguel Coca,West Las Vegas,10:01.6,
3A Julian Garcia,Pecos,10:16.2,
2A Martin Flores,Hagerman,10:15.6,
1A Jared Lee,Melrose,10:36.8,
,,,
110 M Hurdles,,,
Class Name,School,Time,
6A Daniel Johnson,Cleveland,15.2,
5A Chase Thompson,Artesia,15.47,
4A Adrian Gibson,Shiprock,15.5,
3A Seth Martinez,Tucumcari,15.85,
2A Freddy Carrillo,Jal,15.93,
1A Job Sarellano,Animas,17.13,
,,,
300 M Hurdles,,,
Class Name,School,Time,
6A Veto Virgin,Cleveland,38.16,
5A Alex Alton,Alamogordo,39.5,
4A Arjay Ortiz,Robertson,39.77,
3A Seth Martinez,Tucumcari,41.01,
2A Julian Vidrio,Logan,40.92,
1A Job Sarellano,Animas,40.78,
400 M Relay,,,
Class School,,,Time
6A Volcano Vista,,,41.56
5A Los Lunas,,,42.89
4A Silver,,,44.02
3A Academy Tech/Classics,,,44.7
2A Lordsburg,,,45.53
1A Melrose,,,45.79
,,,
800 M Relay,,,
Class School,,,Time
6A Monzano,,,01:27.5
5A Los Lunas,,,01:28.8
4A Portales,,,01:32.8
3A McCurdy,,,01:33.9
2A Cloudcroft,,,01:35.7
1A Melrose,,,01:34.5
,,,
1600 M Relay Medley,,,
Class School,,,Time
6A Cleveland,,,03:32.5
5A Farmington,,,03:36.3
4A East Mountain,,,03:38.2
3A Capitan,,,03:45.8
2A Fort Sumner,,,03:50.5
1A Elida,,,03:56.1
,,,
1600 M Relay,,,
Class School,,,Time
6A Cleveland,,,03:16.2
5A Alamogordo,,,03:26.3
4A Taos,,,03:28.5
3A Texico,,,03:31.0
2A Cloudcroft,,,03:49.2
1A Melrose,,,03:42.8
,,,
Shot Put,,,
Class Name,,School,Distance
6A Forrest McKee,,Onate,57’-02.75”
5A Jackson Morris,,ABQ. Academy,58’-06.00”
4A Trenton Small,,Portales,50’-09.50”
3A Kobe Leal,,Clayton,48’-00.00”
2A Jerome Earle,,Logan,47’-10.00”
1A Wade Cauzza,,Quemado,46’-05.00”
Discus,,,
Class Name,,School,Distance
6A Grayson Hertrich,,Eldorado,163’-00”
5A Jackson Morris,,ABQ. Academy,179’-00”
4A Trenton Small,,Portales,139’-09”
3A Sam Cooksey,,Loving,135’-10”
2A Logan Franklin,,Hagerman,128’-00”
1A Deven Thompson,,NMSD,127’-09”
,,,
,,,
Long Jump,,,
Class Name,,School,Distance
6A Austin Atencio,,Carlsbad,22’-01.75”
5A Brandon Perez,,Roswell,22’-02.00”
4A Marvin Encinias,,Moriarty,22’-00.00”
3A Keiran Freeman,,Cottonwood,21’-04.75”
2A Joe Gonzales,,Lordsburg,20’-07.75”
1A Joseph Benavidez,,San Jon,20’-07.00”
,,,
High Jump,,,
Class Name,,School,Distance
6A Zach Marshall,,Hobbs,7’-00.00”
5A Lucas McNatt,,Captial,6’-00.00”
4A Arjay Ortiz,,Robertson,6’-02.00”
3A Andrew Corley,,Laguna Acoma,6’-00.00”
2A Tyson Hughes,,Cloudcroft,6’-02.00”
1A Brenden Goetz,,Reserve,6’-02.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
6A Miles Brinson,,Cibola,45’-11.00”
5A Lucas Jepsen,,ABQ. Academy,46’-02.00”
4A Alejandro Salazar,,Taos,43’-04.75”
3A Stephen Sanchez,,Santa Rosa,42’-00.00”
2A Caleb May,,Lordsburg,40’-10.75”
1A Joseph Benevidez,,San Jon,40’-06.50”
,,,
Pole Vault,,,
Class Name,,School,Distance
6A Burgin Foster,,Clovis,14’-00.00”
5A Liam Johnson,,Los Alamos,15’-00.00”
4A Aaron Murphy,,Moriarty,12’-06.00”
3A Stephen Sanchez,,Santa Rosa,13’-00.00”
2A Steven Coronado,,Logan,13’-00.00”
1A Oran Pierson,,Quemado,13’-00.00”
Javelin,,,
Class,Name,School,Distance
6A,Gabriel Sidwell,Onate,183’-07.00”
5A,Jackson Morris,ABQ. Academy,195’-10.00”
4A,Gabe Pedraza,Cobre,158’-04.00”
3A,Xavier Garcia,Tucumcari,164’-11.00”
2A,Isaac Morales,Hagerman,148’-08.00”
1A,Kaull Burton,Elida,155’-11.00”
2018 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
6A Jordan Byrd Manzano 10.50,,,
5A Caezar Chavez Deming 10.76,,,
4A Jonah VigilTaos 11.05,,,
3A Gustavo MaciasDexter  11.34,,,
2A Frankie Ortiz Mesa Vista 11.86,,,
1A DJ Mathis Quemado 11.62,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
6A Jordan Byrd Manzano  21.67,,,
5A Chamar Norman Alamogordo 22.37,,,
4A Jonah VigilTaos 21.91,,,
3A Gustavo MaciasDexter  22.78,,,
2A Brant West Fort Sumner 23.09,,,
1A DJ Mathis Quemado 23.33,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
6A Isaac Cole Manzano 48.59,,,
5A Zakarri Fields  Gallup  49.44,,,
4A Jonah VigilTaos 47.01,,,
3A Wyatt Lawrence Capitan 51.04,,,
2A Brant West Fort Sumner 49.97,,,
1A Billy Baca Reserve 51.48,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
6A Jericho Cleveland Volcano Vista  1:52.59,,,
5A Elijah Velasquez Los Alamos 1:56.70,,,
4A Miguel CocaWest Las Vegas 1:56.18,,,
3A Tyler Gibson Cottonwood Classical  1:58.43,,,
2A Martin Flores Hagerman 1:59.32,,,
1A Will Haley Elida 2:03.40,,,
1600 M Run,,,
Class Name,School,Time,
6A Jericho Cleveland,Volcano Vista,04:12.5,
5A Kashon Harrison,Kirtland Central,04:22.9,
4A Miguel Coca,West Las Vegas,04:24.5,
3A Tyler Gibson,Cottonwood Classical,04:33.2,
2A Martin Flores,Hagerman,04:31.6,
1A Ryan Johnson,Roy,04:50.7,
,,,
,,,
3200 M Run,,,
Class Name,School,Time,
6A Jericho Cleveland,Volcano Vista,09:45.2,
5A Kashon Harrison,Kirtland Central,09:48.8,
4A Miguel Coca,West Las Vegas,09:51.8,
3A Isaiah Armijo,Pecos,10:11.2,
2A Martin Flores,Hagerman,10:03.1,
1A Emitt Falcon,Elida,10:36.0,
,,,
110 M Hurdles,,,
Class Name,School,Time,
6A Noah Fay,Rio Rancho,14.57,
5A Kale Mauritsen,Artesia,14.89,
4A Vince Quezada,Hope Christian,15.32,
3A Martin Madrid,Santa Rosa,15.47,
2A Kasey Reese,Mountainair,15.95,
1A Devon Bailey,Melrose,16.26,
,,,
300 M Hurdles,,,
Class Name,School,Time,
6A Noah Fay,Rio Rancho,38.45,
5A Kale Mauritsen,Artesia,38.28,
4A Arjay Ortiz,Robertson,39.24,
3A Seth Martinez,Tucumcari,40.01,
2A Kasey Reese,Mountainair,40.74,
1A Devon Bailey,Melrose,42.32,
,,,
400 M Relay,,,
Class School,,,Time
6A Manzano,,,41.47
5A Chaparral,,,42.42
4A Taos,,,43.71
3A Eunice,,,44.12
2A Fort Sumner,,,45.49
1A Reserve,,,46.36
,,,
800 M Relay,,,
Class School,,,Time
6A Manzano,,,01:27.1
5A Artesia,,,01:31.4
4A St. Michael’s,,,01:30.5
3A Dexter,,,01:32.7
2A Fort Sumner,,,01:33.5
1A Melrose,,,01:36.8
,,,
1600 M Relay Medley,,,
Class School,,,Time
6A Eldorado,,,03:32.7
5A Aztec,,,03:41.8
4A Silver,,,03:41.1
3A Cottonwood Classical,,,03:38.9
2A Fort Sumner,,,03:52.8
1A Elida,,,03:54.5
,,,
1600 M Relay,,,
Class School,,,Time
6A Rio Rancho,,,03:21.2
5A Academy,,,03:23.5
4A Taos,,,03:26.4
3A Tucumcari,,,03:30.5
2A Fort Sumner,,,03:35.1
1A Reserve,,,03:36.6
,,,
Shot Put,,,
Class Name,,School,Distance
6A Michael Honigmann,,Hobbs,57’-01.25”
5A Jonathan Flores,,Goddard,52’-03.75”
4A Tyler McClendon,,Ruidoso,50’-01.50”
3A Kobe Leal,,Clayton,51’-06.75”
2A Alex Moyer,,Fort Sumner,41’-07.50”
1A Deven Thompson,,N.M.S.D.,46’-04.25”
,,,
Discus,,,
Class Name,,School,Distance
6A Michael Honigmann,,Hobbs,160’-04”
5A Jonathan Flores,,Goddard,148’-00”
4A Chris Cruz,,Silver,143’-07”
3A Kobe Leal,,Clayton,129’-09”
2A Alex Moyer,,Fort Sumner,116’-06”
1A Deven Thompson,,NMSD,130’-02”
,,,
,,,
Long Jump,,,
Class Name,,School,Distance
6A Ryan Allin,,La Cueva,22’-07.50”
5A Lucas Jepsen,,ABQ. Academy,22’-10.25”
4A Jonah Vigil,,Taos,23’-02.75”
3A Gustavo Macias,,Dexter,22’-09.00”
2A Andres Blea,,Escalante,20’-02.75”
1A Isiac Johnston,,Reserve,20’-02.50”
,,,
High Jump,,,
Class Name,,School,Distance
6A Jackson Kinney,,Hobbs,6’-08.00”
5A Jasia Reese,,Roswell,6’-00.00”
4A Arjay Ortiz,,Robertson,6’-02.00”
3A Sean Coles,,Santa Fe Prep,6’-02.00”
2A Osbaldo Najera,,Hagerman,5’-10.00”
1A Ben Fletcher,,Reserve,6’-04.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
6A Chris Mar-yuen,,Mayfield,45’-00.25”
5A Lucas Jepsen,,ABQ. Academy,45’-01.00”
4A Caleb Flaming,,Moriarty,44’-02.75”
3A Sam Sparks,,Santa Fe Prep,42’-02.25”
2A Jordan Evans,,Logan,40’-02.75”
1A Ryan Johnson,,Roy,42’-04.50”
,,,
Pole Vault,,,
Class Name,,School,Distance
6A Burgin Foster,,Clovis,14’-06.00”
5A Kale Mauritsen,,Artesia,13’-00.00”
4A Aiden Cabeldue,,Portales,13’-00.00”
3A Gustavo Macias,,Dexter,13’-00.00”
2A Steven Coronado,,Logan,13’-00.00”
1A Kaull Burton,,Elida,12’-06.00”
Javelin,,,
Class,Name,School,Distance
6A,Garrett Wade,Cleveland,180’-01.00”
5A,Teagun Glenn,ABQ. Academy,190’-01.00”
4A,Darren Salazar,Silver,180’-08.00”
3A,Paden McDermid,Texico,163’-03.00”
2A,Jude Segura,Fort Sumner,149’-07.00”
1A,Kaull Burton,Elida,150’-10.00”
2019 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
5A Montez Wright Clovis  10.69,,,
4A Jonah Vigil Taos 10.51,,,
3A Jalil Brown NMMI  11.22,,,
2A Ahbedoh White Eagle  ATC 11.15,,,
1A Dyson Day Logan  11.31,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
5A Montez Wright Clovis  21.60,,,
4A Jonah Vigil Taos 21.30,,,
3A Sam Sparks Santa Fe Prep  22.49,,,
2A Ahbedoh White Eagle  ATC 22.64,,,
1A Jantzen Paris Logan  23.28,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
5A Anthony Bisetti Cleveland 49.01,,,
4A Jonah Vigil Taos 47.75,,,
3A Hayden Lee St. Michael’s 50.75,,,
2A Wyatt Lowrance Capitan 50.50,,,
1A Jantzen Paris Logan  50.62,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
5A Jerrick Maldonado Clovis  1:55.27,,,
4A Julian Garcia ABQ Academy 1:56.66,,,
3A Isaiah Paiz West Las Vegas 1:58.84,,,
2A Martin Flores Hagerman 1:58.59,,,
1A Jude Segura Fort Sumner 2:00.46,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
5A TJ Gregg Clovis  4:26.05,,,
4A Kashon Harrison Kirtland Central 4:21.32,,,
3A Epherem Zerai Sandia Prep 4:30.12,,,
2A Martin Flores Hagerman 4:33.31,,,
1A Ryan Johnson  Roy 4:53.44,,,
3200 M Run,,,
Class Name,School,Time,
5A Stevie Salas,La Cueva,09:44.2,
4A Kashon Harrison,Kirtland Central,09:26.4,
3A Chris Humetewa,Santa Fe Indian,09:54.6,
2A Galvin Curley,Navajo Pine,09:37.8,
1A Ryan Johnson,Roy,10:35.8,
,,,
110 M Hurdles,,,
Class Name,School,Time,
5A Tommy Lopez,Cleveland,14.56,
4A Kale Mauritsen,Artesia,14.77,
3A Seth Martinez,Tucumcari,15.69,
2A Martin Madrid,Santa Rosa,15.64,
1A Devon Bailey,Melrose,15.73,
,,,
300 M Hurdles,,,
Class Name,School,Time,
5A Connor O’Toole,La Cueva,38.36,
4A Kale Mauritsen,Artesia,38.35,
3A Seth Martinez,Tucumcari,40.12,
2A Andres Blea,Escalante,40.32,
1A Devon Bailey,Melrose,41.39,
,,,
400 M Relay,,,
Class School,,Time,
5A Cleveland,,42.03,
4A Los Alamos,,43.3,
3A St. Michael’s,,44.1,
2A ATC,,44.44,
1A Fort Sumner,,45.8,
,,,
800 M Relay,,,
Class School,,Time,
5A Volcano Vista,,01:28.1,
4A Artesia,,01:29.7,
3A St. Michael’s,,01:31.8,
2A Eunice,,01:33.2,
1A Logan,,01:36.1,
1600 M Medley Relay,,,
Class School,,Time,
5A Clovis,,03:33.6,
4A Los Alamos,,03:39.4,
3A St. Michael’s,,03:43.0,
2A Mesa Vista,,03:49.2,
1A Fort Sumner,,03:57.6,
,,,
1600 M Relay,,,
Class School,,Time,
5A Cleveland,,03:20.2,
4A Taos,,03:19.4,
3A St. Michael’s,,03:26.9,
2A Capitan,,03:34.1,
1A Logan,,03:37.8,
,,,
Shot Put,,,
Class Name,School,Distance,
5A Konner Babb,Hobbs,51’-07.5”,
4A Teagun Glenn,ABQ Academy,53’-09”,
3A Juan Chairez,Hatch Valley,45’-10”,
2A Kobe Leal,Clayton,48’-01”,
1A Deven Thompson,NMSD,49’-06.5”,
,,,
Discus,,,
Class Name,School,Distance,
5A Andre Romero,Cleveland,147’-00”,
4A Chris Cruz,Silver,167’-02”,
3A DeShaun Garcia,Thoreau,135’-05”,
2A Kobe Leal,Clayton,120’-02”,
1A Cory Terrell,Fort Sumner,128’-04”,
,,,
Long Jump,,,
Class Name,School,Distance,
5A Austin Atencio,Carlsbad,23’-01.75”,
4A Jonah Vigil,Taos,22’-10.25”,
3A Samuel Montanez,Dexter,21’-07.25”,
2A Stephen Sanchez,Santa Rosa,20’-06”,
1A Dustin Bryant,San Jon,20’-01”,
High Jump,,,
Class Name,,School,Distance
5A Owen Olney,,Rio Rancho,6’-06”
4A Adam Giron,,Valley,6’-06”
3A Derek McQuiston,,St. Michael’s,6’-02”
2A Avante Stevens,,Eunice,5’-08”
1A Aron Sakelaris,,Des Moines,5’-10”
,,,
Triple Jump,,,
Class Name,,School,Distance
5A Brad Thomas,,La Cueva,46’-04”
4A Lucas Jepsen,,ABQ Academy,45’-04.75”
3A Sam Sparks,,Santa Fe Prep,42’-10.25”
2A Cameron Santa Cruz,,Eunice,42’-06.25”
1A Adrian Lackey,,Quemado,42’-03”
,,,
Pole Vault,,,
Class Name,,School,Distance
5A Holden Mueller,,La Cueva,13’-06”
4A Aiden Cabeldue,,Portales,14’-00”
3A Gustavo Macias,,Dexter,11’-06”
2A Brian Walker,,Estancia,12’-06”
1A Owen Burton,,Springer,12’-00”
,,,
Javelin,,,
Class Name,,School,Distance
5A Dylan Tucker,,Roswell,172’-07”
4A Zach Jaramillo,,ABQ Academy,188’-10”
3A Dominic Morgan,,St. Michael’s,154’-04”
2ACruz Moreno,,Estancia,158’-02”
1A Jude Segura,,Fort Sumner,165’-07”
