2007 Boys Track & Field State Champions,x,x,x
AA,Clayton,03:47.3,
A,Hagerman,03:53.9,
,,,
1600 M Relay,,,
Class,School,Time,
AAAAA,Cibola,03:19.2,
AAAA,Farmington,03:24.3,
AAA,Hope Christian,03:27.4,
AA,Texico,03:37.5,
A,Hagerman,03:39.5,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Richard Chavez,Clovis,52’-06.50”,
AAAA  Ruben Martinez,Los Alamos,50’-09.00”,
AAA Jacob Brady,Portales,49’-07.50”,
AA Tyler Koch,Tucumcari,48’-03.50”,
A Bill Squire,Hagerman,51’-08.00”,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Marcus Oakley,Alamogordo,151’-00.00”,
AAAA  Paul Shay,Piedra Vista,145’-11.00”,
AAA Jacob Brady,Protales,140’-03.00”,
AA Tyler Koch,Tucumcari,132’-00.00”,
A Bill Squire,Hagerman,154’-01.00”,
,,,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Rolando Trammel,Highland,23’-05.50”,
AAAA  Curtis Beach,Albuquerque Academy,23’-01.00”,
AAA Dan Fuller,Dexter,22’-04.00”,
AA Michael Fazekas,Tucumcari,20’-02.75”,
A Jason Hardwick,Desert Academy,20’-01.25”,
High Jump,,,
Class Name,,School,Distance
AAAAA Brandon Simpson,,Cibola,6’-07.00”
AAAA  Curtis Beach,,Albuquerque Academy,6’-03.00”
AAA Matthew McCullough,,Hope Christian,6’-02.00”
AA David Ortiz,,Estancia,6’-00.00”
A Keeson Bell,,Clovis Christian,6’-02.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAAA Manuel Robles,,Clovis,48’-04.85”
AAAA  Kyle Ntiforo,,Belen,44’-03.75”
AAA Lance Dettmer,,Ruidoso,41’-10.25”
AA Josh Wiklund,,Cloudcroft,44’-06.50”
A Dustin Glover,,Melrose,42’-06.75”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAAA Daniel Gooris,,Cibola,16’-04.00”
AAAA  Chris Bever,,Artesia,13’-09.00”
AAA Billy Pinto,,Bloomfield,11’-06.00”
AA Issac Ramirez,,Jal,11’-06.00”
A KC Armstrong,,Magdalena,14’-00.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAAA John Mader,,Cibola,193’-01.00”
AAAA  Ruben Martinez,,Los Alamos,191’-10.00”
AAA Blake Young,,Lovington,169’-07.00”
AA Ben Faust,,Cloudcroft,164’-11.00”
A Matthew Chavez,,Mountainair,159’-06.00”
2009 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Derek Montoya Highland 11.35,,,
AAAA  Jason Reagor Los Alamos 11.27,,,
AAA Estevan Vigil Robertson 11.33,,,
AA Chris Simpson Cloudcroft 11.41,,,
A Mark LeBlanc  Carrizozo 11.44,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Rolando Trammel Highland 22.22,,,
AAAA  Curtis Beach ABQ. Academy 21.84,,,
AAA Estevan Vigil Robertson 21.93,,,
AA Bryan Norris Hagerman 22.84,,,
A Mark LeBlanc  Carrizozo 23.44,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Marcus Dowdican La Cueva 48.94,,,
AAAA  Curtis Beach ABQ. Academy 47.99,,,
AAA Bronson Duran Sandia Prep 49.32,,,
AA Bryan Norris Hagerman 49.35,,,
A Mark LeBlanc  Carrizozo 51.00,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Gabe Aragon Valley  1:54.94,,,
AAAA  Gareth Gilna Los Alamos 1:56.13,,,
AAA Bronson Duran Sandia Prep 1:56.01,,,
AA Sam Miller Bosque School 2:01.09,,,
A Skylar McMath Fort Sumner 2:03.42,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Zach Duran Highland 4:20.82,,,
AAAA  Gareth Gilna Los Alamos 4:12.60,,,
AAA Eric Fenton Hope Christian  4:27.34,,,
AA Thomas Martinez Navajo Pine 4:38.71,,,
A Daniel Hand Magdalena 4:42.23,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Bryce Palmer,Eldorado,09:43.6,
AAAA  Gareth Gilna,Los Alamos,09:27.4,
AAA Dustin Walthall,Thoreau,09:52.3,
AA Mario Armijo,Pecos,10:10.1,
A Reynaldo Balizan,Maxwell,11:02.0,
,,,
110 M High Hurdles,,,
Class Name,School,Time,
AAAAA Rolando Trammel,Highland,14.61,
AAAA  Curtis Beach,ABQ. Academy,14.53,
AAA Eric Myers,St. Michael’s,16.01,
AA Ilyas Seisov,Estancia,15.69,
A Berry Stinnett,Fort Sumner,15.64,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Charles Lewis,Highland,39.05,
AAAA  Garrett Nygren,ABQ. Academy,41,
AAA Skyler Evans,NMMI,39.84,
AA Ilyas Seisov,Estancia,41.14,
A Caleb West,Fort Sumner,42.08,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Cibola,42.76,
AAAA,Los Alamos,43.65,
AAA,Lovington,44.34,
AA,Tucumcari,44.84,
A,Clovis Christian,45.48,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,La Cueva,01:30.1,
AAAA,Los Alamos,01:31.1,
AAA,Socorro,01:32.6,
AA,Hagerman,01:32.7,
A,Fort Sumner,01:32.5,
